,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000102575,0.0,1.7229239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773317,0.0,0.0,0.57236767,0.0,0.48089433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6326404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075624,5.1211324,4.7802954,2.2367604,2.2209742,2.710411,2.0884762,1.3826579,2.4336596,3.0204546,3.6588302,2.3664622,2.5693758,2.6218235,2.8378434,3.2686503,3.0559165,3.1870143,3.0447593,5.271078,4.656255,5.025265,3.5287201,4.7765903,2.7043743,1.8676078,3.5958452,4.768753,4.61672,4.9517164,2.86543,2.8738458,2.8983102
ENSG00000184009,3.7313719,3.7755563,2.3468802,1.9742509,2.3228574,1.6923524,0.73958665,2.3269145,2.4361916,3.2383158,2.2236633,2.128171,2.2666664,2.5174668,2.8718238,2.6437836,2.701668,2.4894748,3.5567856,2.966108,2.8054426,2.1986747,2.852437,2.3985868,1.6841345,3.5698378,3.0078568,3.0274506,2.9429045,2.4879498,2.5783412,1.8586648
ENSG00000072110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27299985,0.85436136,1.7435745,1.348381,0.6681421,0.68074405,1.2671646,1.4591748,1.3761759,1.271694,0.0,0.0,0.0,0.0,1.223944,0.0,0.85779154,0.0,1.2464144,0.0,2.0813754,0.0,0.0,0.0,0.0
ENSG00000138071,0.0,0.5912174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7770386,0.53815377,0.0,0.0,0.0,0.33511543,0.17848119,0.0,0.0,1.0814555,0.6305081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1146598,0.0,0.0,0.0,0.0
ENSG00000115091,1.4987313,1.748803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97883725,0.0,0.0,0.0,0.0,0.0,0.33306032,0.0,0.0,1.4150679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3208756,0.0,0.0,0.0
ENSG00000137845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1574918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
