Cell_type_annotation_level3,mean_silhouette,std_silhouette,median_silhouette,count
Basal 1,0.52430815,0.1953147,0.5919669,931
Basal 1 KHDRBS2+,0.4851971,0.22252758,0.56908906,71
Basal 2,0.23933832,0.29883513,0.32961082,3702
Cycling basal,-0.13988827,0.25790283,-0.05223947,176
Cycling hillock,0.5285178,0.11946056,0.5465407,13
Hillock,0.30588785,0.2600865,0.39581993,141
Squamous,0.8343058,0.05919345,0.8499564,55
Secretory,0.06288678,0.2903067,0.10832567,2527
Secretory GALNT4+,0.032304306,0.3836969,0.13861401,936
Duct,0.07914268,0.26026425,0.17217085,103
Club,0.25776136,0.35089627,0.42591602,24
Goblet 1,-0.24090323,0.15731093,-0.24965413,1758
Goblet 2 BPIFA2+,0.057964668,0.28729126,0.1051816,2395
Goblet 2 PLAU+,0.036334906,0.31321466,0.1317948,1189
Goblet 2 inflammatory,0.28020483,0.25173306,0.3523574,470
Transit epi 1,-0.42019096,0.2014101,-0.411501,164
Transit epi 2,0.61516005,0.23611608,0.6848348,3485
Deuterosomal,-0.41187456,0.19677322,-0.38226762,141
Ciliated 1,0.39756864,0.3057454,0.5215048,1305
Ciliated 2,0.3671389,0.47492418,0.6260479,413
Ionocyte,0.8903589,0.09793285,0.9087195,351
T naive,0.27887812,0.4047274,0.49766868,9
MAIT,0.20670669,0.24868871,0.30608267,38
T CD8 mem 1,-0.24974374,0.19006312,-0.29231936,103
T CD8 mem 2,0.27304465,0.22136651,0.36389956,5
B mem,0.08502906,0.26957753,0.090676,23
B mem exhausted,0.23213917,0.27508682,0.30219358,18
Mac,-0.21638215,0.304617,-0.3894337,17
LC,0.33999342,0.17230847,0.36781782,30
Mono IL6+,0.4783203,0.4282679,0.69117457,34
pDC,0.85229695,0.07514393,0.8877981,16
Mast,0.6966008,0.20908806,0.7732562,13
