,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
ENSG00000196735,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142541,0.10089435577392578,0.11400981346766154,0.07031019926071166,0.13172045548756917,0.229802664120992,0.11860713958740235,0.09203528165817261,0.26404784123102826,0.07210569779078166,0.06666666666666667,0.0888779083887736,0.09836255311965943,0.0,0.09729727506637573,0.11521281798680623,0.13162537813186645
ENSG00000125968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,0.6484626372655232,0.0,0.0,0.0,0.6076779246330262,0.0,0.642505164941152,0.6649613658587138,0.0,0.0,0.6107238372166951,0.0,0.0,0.0,0.630198884010315,0.6
ENSG00000169442,0.7910508712132772,0.742414120833079,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7721998492876688,0.0,0.0,0.0,0.7670685291290283
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.9518110036849976,0.0,0.0,0.0,0.0,0.0
ENSG00000185885,0.0,0.0,0.0,0.0,0.8828503688176473,0.8,0.0,0.0,0.0,0.0,0.8029435555140177,0.0,0.0,0.0,0.0,0.8697123964627583
ENSG00000101608,0.19003250201543173,0.16828327576319377,0.0,0.1671789050102234,0.2014399488766988,0.18134212891260784,0.17295325994491578,0.0,0.18006412188212076,0.13333333333333333,0.14102801481882732,0.1567758282025655,0.14552788337071737,0.18538816372553507,0.18124994436899822,0.20661539634068807
ENSG00000125740,0.0,0.0,0.0,0.0,0.8290202260017395,0.8379407405853272,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8336397767066955,0.0
ENSG00000164032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187520742416382,0.0,0.0,0.84254576365153,0.0,0.8,0.0,0.0,0.8120289166768392
ENSG00000092009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221983,0.5595238327980041,0.5598092555999756,0.0,0.5573534886042277,0.0,0.0,0.0,0.5423444787661235,0.0,0.0,0.554911728700002,0.5511728008588155,0.0,0.5333333333333333,0.0,0.5488219658533732
ENSG00000164111,0.938817310333252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156482,0.378195317586263,0.291800057888031,0.26666666666666666,0.3107954462369283,0.348934268951416,0.2701743324597677,0.28107664982477826,0.3294771671295166,0.0,0.0,0.29636005163192747,0.2952770908673604,0.26860066254933673,0.0,0.0,0.31565924485524494
ENSG00000136156,0.0,0.0,0.0,0.0,0.0,0.7156578501065572,0.7115617314974467,0.0,0.7030266086260478,0.7376630266507467,0.6666666666666666,0.0,0.0,0.698689067363739,0.0,0.0
ENSG00000142669,0.6009936412175496,0.5333333333333333,0.0,0.5539742390314738,0.0,0.0,0.0,0.0,0.0,0.5405863722165426,0.5462103247642517,0.6108667333920796,0.0,0.0,0.5494430700937907,0.5431992053985596
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9447283148765564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000234745,0.3603179136912028,0.3333333333333333,0.0,0.3398723483085632,0.0,0.3814407547314962,0.349107817808787,0.0,0.0,0.39522207180658975,0.49487173159917197,0.3555827498435974,0.3579917828241984,0.36792893409729005,0.0,0.3605555733044942
ENSG00000184076,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9654722213745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9451726794242858,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161970,0.21530095338821412,0.1873661438624064,0.15884439945220946,0.22588245073954263,0.18753113746643066,0.19635159571965535,0.30090270439783734,0.28757779598236083,0.20986290375391642,0.0,0.13333333333333333,0.20150145292282104,0.0,0.1895888129870097,0.1999893625577291,0.213520081837972
