,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
ENSG00000196735,0.0,0.0,0.0,3.2215686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142541,3.1493726,3.234365,2.729593,3.323232,3.786538,3.2593188,3.0686674,3.9627323,2.7679136,2.5804126,3.0290327,3.1310413,0.0,3.1220112,3.2414207,3.322802
ENSG00000125968,0.0,0.0,0.0,0.0,2.915173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,3.856432,0.0,0.0,0.0,3.1345382,0.0,3.7774348,4.046339,0.0,0.0,3.2124076,0.0,0.0,0.0,3.5808492,2.773537
ENSG00000169442,3.4335034,2.4465575,0.0,2.1133075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1493726,0.0,0.0,0.0,3.0521755
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1638021,2.993494,0.0,0.0,0.0,0.0,0.0
ENSG00000185885,0.0,0.0,0.0,0.0,2.9556878,1.2394845,0.0,0.0,0.0,0.0,1.2967399,0.0,0.0,0.0,0.0,2.6576414
ENSG00000101608,3.1709895,3.0294108,0.0,3.0182397,3.2204132,3.1287756,3.0686674,0.0,3.1206298,2.3165638,2.6188297,2.889145,2.7161098,3.1493726,3.1282532,3.2414207
ENSG00000125740,0.0,0.0,0.0,0.0,2.915173,3.131207,0.0,0.0,0.0,0.0,1.6461883,0.0,0.0,0.0,3.0502548,0.0
ENSG00000164032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8327153,0.0,0.0,3.2607808,0.0,2.192926,0.0,0.0,2.6757152
ENSG00000092009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6619222,0.0,0.0,0.0,0.0,0.0
ENSG00000127324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221983,3.0894213,3.0914245,0.0,3.0715876,0.0,0.0,0.0,2.8090873,0.0,0.0,3.04753,3.001737,0.0,2.429391,0.0,2.9634924
ENSG00000164111,2.2954166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156976,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156482,3.7493577,3.1886563,2.766516,3.344973,3.5808492,2.883706,3.0531068,3.4654691,0.0,0.0,3.234472,3.2250404,2.8491702,0.0,0.0,3.3785636
ENSG00000136156,0.0,0.0,0.0,0.0,0.0,3.0182397,2.962493,0.0,2.8079755,3.2714138,1.3967292,0.0,0.0,2.6877544,0.0,0.0
ENSG00000142669,3.3758314,2.4719892,0.0,2.9574163,0.0,0.0,0.0,0.0,0.0,2.7737622,2.8780398,3.461483,0.0,0.0,2.915173,2.8324609
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,0.0,3.5361285,0.0,4.2651477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000234745,3.0676718,2.4322278,0.0,2.696738,0.0,3.2089481,2.9085948,0.0,0.0,3.291131,3.940392,3.0145464,3.0445542,3.1220112,0.0,3.0696275
ENSG00000184076,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5614924,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161970,3.1493726,2.9118779,2.1416118,3.2013793,2.915173,3.0173268,3.574087,3.5072384,3.1178734,0.0,1.3220898,3.0618289,0.0,2.9436815,3.0502548,3.1398094
