author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
Activated CD4 T,-0.0063173273,0.19921044,0.046080787,567
Activated CD8 T,-0.36615315,0.15997787,-0.3884801,2256
Adult Glia,0.73400694,0.352993,0.8335551,275
BEST2+ Goblet cell,-0.11488696,0.14501354,-0.08805248,3007
BEST4+ epithelial,0.27784216,0.32989964,0.4133715,3822
CD8 Tmem,-0.38853142,0.13107713,-0.37494934,191
CX3CR1+ CD8 Tmem,-0.32630742,0.18664774,-0.33730492,73
Colonocyte,-0.010515714,0.24788465,0.020852925,11969
Contractile pericyte (PLN+),0.4633085,0.2022217,0.5406327,1028
Cycling B cell,-0.17293078,0.22237118,-0.18683097,178
D cells (SST+),0.0626397,0.45535043,0.38273293,5
EC cells (TAC1+),-0.6943331,0.17672583,-0.744625,42
EECs,-0.713848,0.15023386,-0.7016802,14
Enterocyte,-0.099224195,0.30180934,-0.019154169,9649
Goblet cell,0.01839047,0.1956076,0.09109466,699
I cells (CCK+),0.4033824,0.19740221,0.438393,6
ILC3,0.1728953,0.3358282,0.31446505,208
IgA plasma cell,0.014003389,0.13272487,0.020312645,14494
IgG plasma cell,0.03744062,0.123460725,0.067037925,422
L cells (PYY+),-0.74802136,0.15537266,-0.79217595,33
LEC1 (ACKR4+),-0.34722447,0.16271222,-0.37024182,194
LEC3 (ADGRG3+),-0.061624102,0.28898296,0.08191907,198
LEC4 (STAB2+),0.255308,0.25846276,0.33640853,5
LEC5 (CLDN11+),0.17183062,0.26354763,0.32501838,47
LEC6 (ADAMTS4+),-0.109353006,0.24914023,-0.049491752,489
LYVE1+ Macrophage,-0.16190293,0.16995087,-0.122038156,420
Lymphoid DC,-0.56668645,0.20271525,-0.57210237,24
MAIT cell,0.22481292,0.24091193,0.31419492,48
Macrophages,0.0425951,0.20335914,0.08010934,638
Mast cell,-0.4599906,0.24321893,-0.32636663,151
Mature arterial EC,-0.05118625,0.41181087,0.17339706,1224
Mature venous EC,0.09789791,0.40362528,0.33109584,1673
Memory B,-0.028679973,0.25974607,0.10203461,1039
Mesothelium (PRG4+),0.9188707,0.030976074,0.93078154,25
Microfold cell,-0.33138704,0.17173289,-0.30937397,348
Monocytes,0.20838957,0.30658713,0.3590252,164
N cells (NTS+),-0.7082678,0.23597209,-0.76554406,5
NK cell,-0.3456484,0.15217738,-0.3242014,73
Naive B,0.35788077,0.24273972,0.44886753,517
Paneth,0.5638931,0.26901257,0.6671952,2655
Pericyte,0.09158911,0.22102484,0.14251971,45
SELL+ CD4 T,-0.09241991,0.27300283,-0.0582161,305
SELL+ CD8 T,-0.027584532,0.18058015,0.004815565,78
Stem cells,-0.24544151,0.23700339,-0.25311005,1022
Stromal 1 (ADAMDEC1+),-0.10188996,0.3543868,-0.001398902,165
Stromal 1 (CCL11+),0.4113603,0.27583483,0.50531715,573
Stromal 2 (NPY+),-0.38704565,0.25608099,-0.2811633,226
Stromal 3 (C7+),-0.8003641,0.1311219,-0.8287491,173
T reticular,-0.830366,0.11005305,-0.86695576,53
TA,-0.1557478,0.21439856,-0.15483502,43485
TRGV2 gdT,-0.093647316,0.2041584,-0.0714563,502
TRGV4 gdT,0.20076549,0.24716662,0.27068812,468
TRGV5/7 gdT,-0.10543322,0.2648161,-0.07863073,552
Th17,-0.49284077,0.118376076,-0.54073656,14
Transitional Stromal 3 (C3+),-0.0967698,0.26216808,-0.035694085,3638
Treg,-0.1578151,0.12254133,-0.15168281,198
Tuft,0.4672759,0.396451,0.624621,569
arterial capillary,0.08095553,0.3637837,0.23158841,439
cDC1,0.3251609,0.23230354,0.3866028,56
cDC2,-0.21310766,0.20191565,-0.22511645,318
cycling EC,0.3857468,0.23566103,0.4810159,5
gdT,-0.2371392,0.23760791,-0.25543675,1047
mLN Stroma (FMO2+),-0.04281975,0.3164635,0.0153787015,129
myofibroblast,0.30452797,0.2791147,0.39641732,126
myofibroblast (RSPO2+),0.4375284,0.29738915,0.5624782,114
venous capillary,-0.2638412,0.16679306,-0.23813024,7
