filename,s3_path
cluster_stats.log,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/cluster_stats.log
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_2D_projection.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_2D_projection.html
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_2D_projection.svg,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_2D_projection.svg
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_X_umap_dataset_summary.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_X_umap_dataset_summary.csv
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_adata_filtered.h5ad,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_adata_filtered.h5ad
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_annotation.json,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_annotation.json
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores.csv
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores.pkl
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores_symbols.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores_symbols.csv
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores_symbols.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_binary_scores_symbols.pkl
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_f_score.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_f_score.html
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_onTarget.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_onTarget.html
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_precision.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_precision.html
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_recall.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_boxplot_recall.html
kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_cluster_cid_mapping.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f9fd42a63d479d5c4d9f13/results/kidney_Han_Nature_2020_author_cell_type_X_umap_5c7ea7_cluster_cid_mapping.csv
