cluster,count
PT,5036
TAL,4435
DCT1,2761
CNT,1805
ICA,1107
PC,1022
ENDO,1008
PEC,552
DCT2,489
PODO,463
PT_VCAM1,449
ICB,349
MES,239
FIB,207
LEUK,63
