,CNT,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PT_VCAM1,TAL
PRDM16,0.7857142857142857,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.7857142857142857
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.9285714285714286,0.0,0.0
RERE,0.0790864782673972,0.24054777196475438,0.0790864782673972,0.0790864782673972,0.0,0.24054777196475438,0.0790864782673972,0.0,0.0790864782673972,0.0790864782673972,0.0790864782673972,0.24054777196475438,0.0,0.0790864782673972,0.0790864782673972
KIF1B,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS13D,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KAZN,0.6219656254564013,0.42857142857142855,0.42857142857142855,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.7075126852308001,0.6219656254564013,0.0,0.0,0.42857142857142855,0.5603822256837573
TMEM51,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
CLCNKB,0.0,0.7857142857142857,0.7857142857142857,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857
ARHGEF10L,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
CAPZB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA5B1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.0
RSRP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EYA3,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
PHACTR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZMYM4,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
MACF1,0.1581729565347944,0.0,0.0,0.28839955585343496,0.1581729565347944,0.28839955585343496,0.28839955585343496,0.1581729565347944,0.0,0.0,0.1581729565347944,0.28839955585343496,0.0,0.1581729565347944,0.0
SMAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCMH1,0.6428571428571429,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.6428571428571429,0.0
HIVEP3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBNA1BP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRABD2B,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0
AGBL4,0.72194362112454,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.7648227683135441,0.6428571428571429,0.0,0.0,0.7648227683135441,0.6428571428571429
FAF1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.3877744844981602,0.3877744844981602,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
EPS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
OSBPL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NRDC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFYVE9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TUT4,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
ACOT11,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP24,0.7857142857142857,0.8384386045592171,0.8384386045592171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857
PLPP3,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKAA2,0.0,0.0,0.8571428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FYB2,0.0,0.0,0.0,0.0,0.0,0.9098671759877887,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
FGGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.9285714285714286,0.0
NFIA,0.0,0.0,0.0,0.7483057805470058,0.8005370540278298,0.0,0.0,0.0,0.6428571428571429,0.0,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429,0.0
PATJ,0.24830578054700578,0.24830578054700578,0.24830578054700578,0.0,0.14285714285714285,0.24830578054700578,0.24830578054700578,0.14285714285714285,0.14285714285714285,0.24830578054700578,0.14285714285714285,0.0,0.48688885143824984,0.24830578054700578,0.24830578054700578
DOCK7,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
ROR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CACHD1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SGIP1,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098671759877887,0.0,0.0,0.8571428571428571
GNG12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTGER3,0.5714285714285714,0.6505150496959686,0.6505150496959686,0.0,0.0,0.8252575312341962,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.6505150496959686
ZRANB2,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000230027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ST6GALNAC3,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9611683402742658,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL2,0.7142857142857143,0.7142857142857143,0.7933721925531115,0.7933721925531115,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
LINC01725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DDAH1,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKN2,0.0,0.0,0.8571428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF644,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FNBP1L,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.7032393685409001,0.7032393685409001,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714
BCAR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARHGAP29,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.8197343519755772,0.7142857142857143,0.0,0.0,0.0
