cell_type,mean,std,median,count,q1,q3,f_score
keratinocyte,0.9309333598557655,0.01870761702213144,0.9362554924454944,77,0.9177722529807943,0.9473581740896728,
professional antigen presenting cell,0.8770601277789674,0.043832667552051535,0.8961639545780027,84,0.8702892828047204,0.9063343745068146,0.8695652173913043
ionocyte,0.7190305353551862,0.15585088637679625,0.7810834364854885,341,0.7179072298148788,0.8055782977719392,0.8341013824884793
T cell,0.7079428326779603,0.28493973807243117,0.7721346327235401,214,0.7452257659895826,0.7857952869486026,0.8255269320843092
respiratory tract multiciliated cell,0.6784272925771365,0.27817404554102054,0.7579938398747892,4462,0.7114404759833532,0.7821180098943857,0.9136338946224878
keratinizing barrier epithelial cell,0.6878074873321829,0.13106026765223272,0.707473865038935,820,0.6813853445484755,0.7366577261591905,0.6084758942457231
nasal mucosa goblet cell,0.5934418475016512,0.19155215051564162,0.6624405734048271,2814,0.5742053063430289,0.7043462897963193,0.6072602330445175
club cell,0.5416773012209918,0.19736886994618102,0.6022205579936714,2000,0.5001815957091201,0.6619794559424498,0.2541866028708134
respiratory basal cell,0.3697847159665093,0.25750334400995795,0.46136100699303034,5004,0.27903865137941297,0.5662509913389717,0.7308248914616498
glandular secretory epithelial cell,0.008629195289287607,0.26850676685342023,0.041704739635230845,5310,-0.18745838894733807,0.2342841168265017,0.469857465534699
respiratory tract epithelial cell,-0.4017354762869082,0.17889643179508632,-0.3811770489635822,13707,-0.5319564004945324,-0.26771882909248235,0.4963973378802046
