,T cell,club cell,glandular secretory epithelial cell,ionocyte,keratinizing barrier epithelial cell,keratinocyte,nasal mucosa goblet cell,professional antigen presenting cell,respiratory basal cell,respiratory tract epithelial cell,respiratory tract multiciliated cell
HES4,0.0,0.0,0.0,0.0,0.9,0.0,0.949942368099516,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.32182747883500223,0.344240229422106,0.3761965531103528,0.35893788699340756,0.0,0.3,0.0,0.3037958082701978,0.31477931222096217,0.3228311818266718
MRPL20,0.0,0.4482042117589128,0.4302912213409543,0.4430883908916198,0.0,0.0,0.42004802721793755,0.0,0.4,0.40062185431797354,0.46312635493087007
SSU72,0.0,0.3969270055824056,0.34080840692715686,0.30936201930266083,0.3793170447384753,0.0,0.3437282338715427,0.0,0.3020694640816424,0.32867315349512327,0.3
RER1,0.0,0.36403352268704203,0.3763893367244202,0.3031629702282304,0.39666784410521005,0.0,0.31743522949104463,0.0,0.3,0.3445103097743251,0.3442271874001179
RPL22,0.21900100802096273,0.14784855799975896,0.13032015097460176,0.14163094806055238,0.1,0.0,0.15287231245029892,0.26347471453324767,0.24826018026206836,0.14685051158248769,0.1273290133666433
CAMTA1,0.0,0.7439011622185097,0.7,0.8680581353050332,0.7484936197478158,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.2,0.2474228083582986,0.2135264455448226,0.29498124080614546,0.0,0.0,0.2393878061178067,0.31433949815578605,0.28145749075310134,0.22653488464901797,0.32447247362092624
ENO1,0.3929094903704601,0.22980160935211252,0.32981453271435984,0.39271107869051286,0.2,0.0,0.0,0.44431242604006993,0.43734524408635167,0.26012924637738327,0.2507369459520786
CLSTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PGD,0.0,0.0,0.7122651615932662,0.7539716515600119,0.7162795757972973,0.0,0.0,0.0,0.0,0.7,0.0
DHRS3,0.0,0.6241563693504237,0.6,0.0,0.0,0.0,0.6002093298458208,0.0,0.6351280931323975,0.607693392350108,0.0
EFHD2,0.0,0.6203457836351608,0.673779558317988,0.0,0.7975269871423317,0.0,0.6,0.0,0.0,0.6451023587642648,0.0
CLCNKB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHA2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.5331753314949743,0.32592084554093975,0.0,0.46416228707799717,0.4991988198639813,0.0,0.3498390065505828,0.62640759530207,0.41725357688483966,0.3,0.0
HP1BP3,0.0,0.7119792355637949,0.7,0.8775382041930044,0.0,0.0,0.0,0.0,0.7735844192568575,0.0,0.0
CDC42,0.206193738279016,0.12441532029864869,0.1285552404619895,0.24400399691350466,0.2642455717824631,0.0,0.1,0.24099369958570693,0.1286687303257789,0.10571231505573042,0.24327677327163802
TCEA3,0.0,0.9,0.0,0.0,0.0,0.0,0.9515073036862767,0.0,0.0,0.0,0.0
RPL11,0.21481761409969274,0.16367443497331613,0.1343353639603247,0.13087744012949226,0.1,0.0,0.17331881231726148,0.2507959973617955,0.2584485086962867,0.16065308709230153,0.12563766993253983
GALE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SRRM1,0.23800069533540702,0.35040820642086346,0.30764788285894645,0.3521281237607855,0.2,0.0,0.2544286585939649,0.0,0.32715598326544304,0.25563233719804423,0.2760404107415847
SYF2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.12187018001522824,0.20332822895585578,0.25708840355616364,0.11912959104288726,0.15479394762242854,0.0,0.1,0.25560794644627705,0.1083242232491596,0.16540432936713084,0.10212256418837447
SH3BGRL3,0.4908512824353444,0.15521773007295536,0.1937807372383245,0.14708573559092158,0.3770265726225136,0.0,0.1380855857189097,0.4831708672772093,0.2889230246299537,0.18547701741176095,0.1
CD52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.3218583502487776,0.24204095013388524,0.2,0.317607506625101,0.0,0.0,0.27424743285486963,0.4417520820298078,0.3543502152512238,0.22457616837021047,0.3745162764764225
SFN,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9292728589408121,0.0,0.0
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WASF2,0.0,0.6394075943607372,0.0,0.6929706420736278,0.7311420942566873,0.0,0.0,0.0,0.736255670477882,0.6,0.0
IFI6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,0.19572480642755932,0.1999409118066468,0.20927891935145762,0.2882310861507987,0.15850258153585325,0.0,0.18759277100365862,0.1,0.1983725450403317,0.20318794270751256,0.5247499410567216
PHACTR4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9677185643000232,0.0,0.0,0.0
SERINC2,0.0,0.49009111877822775,0.5114602932170919,0.4605257608370602,0.4,0.0,0.5169935745574721,0.0,0.43853255698672344,0.5087310438645544,0.0
PTP4A2,0.0,0.7838320954094236,0.811000441238129,0.0,0.7,0.0,0.8364991371443603,0.0,0.0,0.0,0.0
NHSL3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.0,0.4893816220159719,0.0,0.4880241290557608,0.4,0.0,0.4158519530127925,0.6049831597174729,0.6359995006449071,0.0,0.5059124063480556
TRAPPC3,0.0,0.0,0.0,0.9715016307056314,0.9,0.0,0.0,0.0,0.0,0.0,0.0
OSCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DNALI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C1orf122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.1621117545324062,0.18696350422731847,0.20909162698884098,0.41644896412990506,0.10477211719166135,0.0,0.1425192528824204,0.1,0.21838209229246228,0.18064302557239384,0.20784522857077029
CAP1,0.7540159817913387,0.0,0.0,0.0,0.8405398448158163,0.0,0.7,0.8153866680265127,0.0,0.0,0.0
YBX1,0.1701423407688944,0.18367691852761206,0.1448690833625668,0.16187433638278215,0.1,0.0,0.1414453735838841,0.3137996799689611,0.2825198939382537,0.15974860049955905,0.1250903595961907
CFAP144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PTPRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP6V0B,0.1,0.15342789127914197,0.20743966033576858,0.5268529492000773,0.28233068224013824,0.0,0.14213188752674705,0.218899233135096,0.11003705137015399,0.16626113114418564,0.12408940597338738
RPS8,0.1420811552391053,0.15289370177990663,0.12185080953543917,0.12206726070172161,0.1,0.0,0.16355143073873446,0.20372508641096737,0.26282597398772695,0.14812812313540705,0.13439227416925664
DYNLT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRDX1,0.1158401070265089,0.2499475471582262,0.23560999557430348,0.20835098338587157,0.22502572802362125,0.0,0.154105744388717,0.1,0.22738095390796348,0.24410797030167225,0.32948900230052686
AKR1A1,0.0,0.5259101803077676,0.4593954630062106,0.4,0.0,0.0,0.4657494210472712,0.0,0.5022114756452953,0.5065076597521274,0.5077546003102473
CCDC17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TSPAN1,0.0,0.4471215741694607,0.42202310377240576,0.3,0.33644416636332497,0.0,0.5110309675890892,0.0,0.3276304669707842,0.4577739233121063,0.5505221493804544
UQCRH,0.1,0.16054684440871445,0.19827971581993023,0.28049354176202607,0.11454362172928975,0.0,0.12151881022757163,0.21831766742950642,0.2927570547607843,0.16584215649356643,0.11285779120052045
CYP4B1,0.0,0.7,0.0,0.0,0.0,0.0,0.7281938048610194,0.0,0.7605921984823107,0.0,0.8249166951062484
SCP2,0.0,0.8,0.0,0.0,0.0,0.0,0.8367886590695036,0.0,0.8194157769273627,0.0,0.0
IFT25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LDLRAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TMEM59,0.13911136028986165,0.17758641741517622,0.21635350228954206,0.16830330813467115,0.20259121473915834,0.0,0.1605567096835189,0.1,0.13518013258850264,0.18180907154785692,0.2119997758950131
DHCR24,0.0,0.8058473245648866,0.0,0.8688361601079067,0.0,0.0,0.8,0.0,0.0,0.0,0.0
TMEM61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSND,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACSTD2,0.0,0.37194922936444175,0.36078001271716603,0.3,0.44710690650017115,0.0,0.3185730538164274,0.0,0.48515517100090133,0.385676240828595,0.34016757462373426
JUN,0.30880689426978186,0.4431799401667341,0.3,0.3883082248490535,0.0,0.0,0.39314550047566654,0.0,0.435803369768626,0.3371501191863243,0.30685253375288507
NFIA,0.0,0.9,0.0,0.0,0.0,0.0,0.984856637588255,0.0,0.0,0.0,0.0
JAK1,0.9541573392574421,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
SERBP1,0.25755956110800493,0.33340188544826077,0.20811753091541246,0.25884086816341334,0.10815317911551577,0.0,0.21126955435868938,0.1,0.4414176883381441,0.24986277217674485,0.2219044688811747
SRSF11,0.0,0.3849899338694313,0.3297191713395923,0.5218109820063048,0.3,0.0,0.33708662004818324,0.0,0.4808285533127232,0.354206393229588,0.39765787510474787
ERICH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GNG5,0.1,0.16473281009301405,0.1545515822950424,0.11276650292928721,0.27815072328812346,0.0,0.11774391194251196,0.2978022394608925,0.1340676483883399,0.1571723226230724,0.12592711687287853
LMO4,0.0,0.6553759074022446,0.6215061334056416,0.6,0.0,0.0,0.0,0.0,0.660488978772878,0.6178652840177803,0.0
RPL5,0.18637052627736542,0.16679120941080822,0.13851326498548622,0.155322215100225,0.1,0.0,0.15830859639955583,0.26757530920015044,0.3070882354607381,0.16353681092212807,0.13287636818654563
F3,0.0,0.49479373334165794,0.44207212842836185,0.0,0.5156505263239268,0.0,0.4731343061526433,0.0,0.461671300714221,0.4954838873823961,0.4
