,T cell,club cell,glandular secretory epithelial cell,ionocyte,keratinizing barrier epithelial cell,keratinocyte,nasal mucosa goblet cell,professional antigen presenting cell,respiratory basal cell,respiratory tract epithelial cell,respiratory tract multiciliated cell
HES4,0.0,0.0,0.0,0.0,0.574062579428968,0.0,1.1468033097734645,0.0,0.0,0.0,0.0
AURKAIP1,0.0,1.1139785779564115,1.1694107861585974,1.2344099625969205,1.201177193160627,0.0,0.9867002754950356,0.0,1.0256312721448444,1.0864507478994598,1.116943042613818
MRPL20,0.0,0.9945767023393116,0.9493998931486289,0.9834409024460242,0.0,0.0,0.9146621940024136,0.0,0.8204094932775601,0.825543169121478,1.0222204805059403
SSU72,0.0,0.9580048765654101,0.8657326417135837,0.7817970122417337,0.9308244485842634,0.0,0.8712727379491197,0.0,0.7529924730282807,0.8374398179911269,0.7374095642614895
RER1,0.0,0.9959917978431903,1.019494545781743,0.7997073682881064,1.053760625368781,0.0,0.8622256233861281,0.0,0.7744128623161886,0.953301567205965,0.9525429341865658
RPL22,2.5514271671141855,2.269859912696229,2.1382651614238446,2.2318734445184107,1.5269805848475762,0.0,2.290701882675082,2.721042235077868,2.665970800451256,2.2648606230324906,2.101224512819091
CAMTA1,0.0,0.45804258761478783,0.25695656819616086,0.8995824952064091,0.47192676283389773,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.9306271604037432,1.2416263118877566,1.0761985745435307,1.3785446949130122,0.0,0.0,1.2139609407019698,1.4241107231632943,1.3425918201563607,1.1569045054890412,1.4454725159162947
ENO1,1.2603852087503746,0.701590451069233,1.045729155338096,1.2597712093667313,0.49250520558985605,0.0,0.0,1.398759529696385,1.381439117755554,0.8313184276013552,0.7999941206319692
CLSTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8270785747967545,0.0,0.0
PGD,0.0,0.0,0.6092015326413704,0.7178833324887561,0.6225129937724136,0.0,0.0,0.0,0.0,0.5344819802342515,0.0
DHRS3,0.0,0.7776409865002685,0.7048754948700982,0.0,0.0,0.0,0.7063541048286845,0.0,0.8010247054022515,0.733843530882739,0.0
EFHD2,0.0,0.5977456172258538,0.7811653676866956,0.0,1.2585979122688498,0.0,0.4761295872564252,0.0,0.0,0.6932805405654774,0.0
CLCNKB,0.0,0.0,0.0,0.7020136097655868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHA2,0.0,0.0,0.0,0.0,0.8126182268406399,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,1.0530428304311836,0.453713228217616,0.0,0.863228260414383,0.9637748248730742,0.0,0.5259822362697599,1.3158360931751436,0.72001539903778,0.3361069231325162,0.0
HP1BP3,0.0,0.35412710306349293,0.3117053831922741,0.9738006550107499,0.0,0.0,0.0,0.0,0.5267012834506837,0.0,0.0
CDC42,1.0783007318646929,0.8871354665308557,0.9006655490852458,1.166101599972631,1.1981825932163161,0.0,0.7559381456864602,1.1600530383406573,0.9009408192249655,0.8017358217388315,1.164810315276423
TCEA3,0.0,0.545284836743313,0.0,0.0,0.0,0.0,1.1244679677442453,0.0,0.0,0.0,0.0
RPL11,3.580285805441881,3.283080952303866,3.0258375886402087,2.9869589605867968,2.1544237334593372,0.0,3.343199430607692,3.7787024731959162,3.81769715373383,3.2605035097703694,2.8971977229665646
GALE,0.0,0.0,0.0,0.0,0.0,0.0,0.7726846406155528,0.0,0.0,0.0,0.0
SRRM1,0.6726260240549466,0.9377323956325483,0.8640221295846924,0.9402218110040215,0.4170234579071649,0.0,0.7485329677101792,0.0,0.8996690445520767,0.7522200067698889,0.7996066615505781
SYF2,0.0,0.0,0.0,0.0,0.23596050134709246,0.0,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.8759216816904696,1.0203446502142333,1.1053237959319815,0.869618904564653,0.9406976247309463,0.0,0.7939408298888448,1.1031255128302178,0.8374031607381559,0.9593681105822702,0.8111581829921042
SH3BGRL3,2.6512519831226635,1.250713191918365,1.3990665411366177,1.2104988022750978,2.0817430174312532,0.0,1.1432122009632888,2.611852664024812,1.7228754599334155,1.371040455577309,0.7078131382163813
CD52,2.181232277256635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,1.3440773034363225,1.0083623784094007,0.6848274271437818,1.329135947279942,0.0,0.0,1.1522181313136644,1.677763502025057,1.4420725898487765,0.9079722049990643,1.4974138360877127
SFN,0.0,0.0,0.0,0.0,1.3505638493923926,0.0,0.0,0.0,1.9095411311227408,0.0,0.0
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4694216400086633
WASF2,0.0,0.5093390730324197,0.0,0.7642387902636734,0.937000049563754,0.0,0.0,0.0,0.9551669659156208,0.30862079721106417,0.0
IFI6,0.0,0.0,0.27646960742388216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,1.301104663877409,1.3176715336804783,1.3399589076576535,1.512888026458429,0.994040997516402,0.0,1.2512917207546694,0.41250135244455993,1.3125259884324536,1.3262834828557228,2.265810697135123
PHACTR4,0.0,0.0,0.0,0.0,0.9156440841449232,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.7869485845749942,0.0,0.0,0.0,0.0,0.0,0.0,2.4377744282778666,0.0,0.0,0.0
SERINC2,0.0,1.0047646788290594,1.0765746915580419,0.8807169838450023,0.4676172804232738,0.0,1.0889078414677265,0.0,0.7607560319733353,1.0690651748079425,0.0
PTP4A2,0.0,0.4122464095898439,0.5380903258765087,0.0,0.06665160618056264,0.0,0.6220079355451769,0.0,0.0,0.0,0.0
NHSL3,0.0,0.0,0.0,0.5265025124838696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM54,0.0,0.0,0.0,0.0,0.372618194775565,0.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.0,0.580381840826552,0.0,0.5766650769342894,0.29506997763640425,0.0,0.3506557646920335,0.8188610521564226,0.8886358838142896,0.0,0.6130053422868557
TRAPPC3,0.0,0.0,0.0,0.3442017324051654,0.09809188081843805,0.0,0.0,0.0,0.0,0.0,0.0
OSCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417228417822056
DNALI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3610092634953974
C1orf122,0.0,0.0,0.0,1.0097432522707672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,1.3190145842486674,1.416908217031129,1.4801419539847003,2.0095484866331534,0.9830224632797595,0.0,1.218646709339379,0.9361114793116933,1.5003163175283138,1.3955528117610574,1.4770264735748846
CAP1,0.6469401734993683,0.0,0.0,0.0,1.2922350455738194,0.0,0.29748908718109446,1.1161707483359584,0.0,0.0,0.0
YBX1,1.6879370374763134,1.725004471379592,1.5846784088942476,1.6620028147233494,1.0618295346411073,0.0,1.5636945300141736,2.0923539237338624,2.001134135920995,1.6539779020818812,1.417480485712105
CFAP144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8758537655687615
PTPRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405416064066078,0.0,0.0
ATP6V0B,1.069398838585865,1.4182508821257893,1.5822886242763747,2.6986739719953596,1.7791893833579895,0.0,1.373484202089362,1.6134920793626046,1.188710302266685,1.4602133509428978,1.2836686461936067
RPS8,3.4212523061355884,3.497235316604961,3.196887186161485,3.2007761273571695,2.4983414560504786,0.0,3.5557987071282184,3.7609611079443064,4.062485757182939,3.4670356441116086,3.3493019609068337
DYNLT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1393452891088145
PRDX1,1.8517912089486357,3.3373112953020856,3.2577961059979756,2.9990980710892186,3.180966702359843,0.0,2.3374852520434573,1.5584654995436886,3.2010727468393245,3.3075983472546366,3.7332102404378706
AKR1A1,0.0,1.611440961034584,1.2292522218394926,0.49913217316379477,0.0,0.0,1.287431613692982,0.0,1.524767940170202,1.5470877178708191,1.5520058798783478
CCDC17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802891285066595
TSPAN1,0.0,2.3730431404948753,2.158781617969347,1.0010620803575607,1.4578059104129935,0.0,2.781934906263256,0.0,1.3832645292231307,2.446908008735659,3.026356065089117
UQCRH,1.01207613735069,1.3394389807897804,1.443430308047983,1.6430122406442909,1.1719648817884476,0.0,1.2013193813527496,1.4931539889042447,1.6715018878099406,1.3557757751791528,1.1614074870187756
CYP4B1,0.0,0.5663297141980835,0.0,0.0,0.0,0.0,0.7886919967030067,0.0,0.9719841329892536,0.0,1.3290849434801761
SCP2,0.0,0.5593542090352241,0.0,0.0,0.0,0.0,0.7680090884050841,0.0,0.6941237226187956,0.0,0.0
IFT25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291386658413532
LDLRAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4657715598239334
TMEM59,1.5423343894884833,1.757510682331323,1.8688680032051561,1.7197175650034138,1.8334693333897367,0.0,1.6804710640251384,0.975893667463062,1.5055471515666257,1.771832352855631,1.8585424478251604
DHCR24,0.0,0.7512733745203328,0.0,1.1120575287082706,0.0,0.0,0.7073439819425538,0.0,0.0,0.0,0.0
TMEM61,0.0,0.0,0.0,1.3756642665971026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSND,0.0,0.0,0.0,1.1602028763644663,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACSTD2,0.0,2.301663737885889,2.2258787549798216,1.470066113336891,2.700462865407236,0.0,1.8053803835682452,0.0,2.900033531343931,2.3779204424972082,2.049300377688896
JUN,1.9079055110967036,2.754620747961104,1.7591834109365974,2.4605478146782445,0.0,0.0,2.48980237124816,0.0,2.718605549041728,2.1136358498479595,1.888600390127182
NFIA,0.0,0.08691690062607552,0.0,0.0,0.0,0.0,0.5739603812074394,0.0,0.0,0.0,0.0
JAK1,0.8520711131025108,0.0,0.0,0.0,0.3906120696649203,0.0,0.0,0.0,0.0,0.0,0.0
SERBP1,0.9467215365995824,1.073841122860388,0.8163510956494657,0.9489630971923702,0.3909804393023829,0.0,0.8299851321860101,0.3591031037794292,1.2814950507422926,0.9305337711949705,0.8617253795039734
SRSF11,0.0,0.7031970619775911,0.572972017997564,0.9437550337378535,0.4026894822409484,0.0,0.5988835911004202,0.0,0.8692567661209374,0.6405964386248929,0.725337570034754
ERICH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0916609244057707
GNG5,1.2800325412831184,1.687824134778572,1.659958948355146,1.4673635521518809,1.995663185776813,0.0,1.5074372125052982,2.05151327470416,1.586981638948895,1.6679731332247354,1.5524459251106595
LMO4,0.0,1.0670205991670998,0.9372520445290577,0.7544209164909091,0.0,0.0,0.0,0.0,1.0830900406178023,0.9185164975236834,0.0
RPL5,2.6667863367852664,2.58432719300942,2.3545026467484527,2.516252997522744,1.5271215951591846,0.0,2.5382450371731595,3.0092078278029732,3.180806309872078,2.5686496392043927,2.2750878549052027
F3,0.0,1.9079857947975993,1.4854062188311303,0.0,1.9908185274933414,0.0,1.781555030792761,0.0,1.6958667562877348,1.9112410522889012,0.8604642067616237
CNN3,0.0,0.0,0.0,0.8477171276285638,0.10686036070734745,0.0,0.0,0.0,0.0,0.0,0.0
CFAP276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4815195603617517
ELAPOR1,0.0,0.0,0.0,0.0,0.0,0.0,0.7728536851968459,0.0,0.0,0.0,0.0
LAMTOR5,0.0,1.4481756029791157,1.1738394934920287,1.2339782931179437,0.8410066488788055,0.0,1.3008852296799729,0.9147486510018643,1.0089675052236105,1.3694342131532937,1.1120575333503726
CIMAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0416586362403684
ATP5PB,0.0,1.0800783988118976,0.9553692456914691,1.2983141091604398,0.45851101845717934,0.0,0.8997267638549291,0.8822917898417186,1.2479623618682172,1.001279863483017,1.0274331233234388
CSDE1,0.0,0.9069604426945219,0.9245750831656459,1.0913323094612624,0.93551731183164,0.0,0.8126883585054356,0.0,0.9878625529447431,0.8581870499419502,0.8775870091304303
ATP1A1,1.0812561467478607,1.3533558920453115,1.5334314481012359,2.0503320291492884,0.7328692538727433,0.0,1.0923846458394906,0.0,1.5162088111615628,1.397268927275203,1.3550459087610798
CD2,1.6168917197437627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM8A,0.8250395544185873,1.1012529808537472,1.0094106084458727,0.8395264358175356,1.2299379275285638,0.0,0.7098823897000393,0.9246268876880276,1.179230825946457,1.0029893861302268,0.909829780156403
TXNIP,1.5809401545760053,1.080222959228533,1.2533525695119092,1.2633996405580843,0.0,0.0,0.915722053660345,0.3625286285390022,1.5571339114213063,1.2446889079789458,1.1105535595679643
APH1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9274765936478562,0.0,0.0,0.0
MRPS21,0.0,0.7218323670540903,0.704901517765519,0.9485267353072241,0.0,0.0,0.6716317069232458,0.0,0.8572357607935454,0.6500221331916072,1.1093600372077996
MCL1,0.773313215128449,0.9607949149518551,0.0,0.0,0.8593167567064507,0.0,0.6703999346515763,0.9242397543091425,0.9452436550884281,0.513668363290332,0.0
ENSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674909031156571,0.0,0.0
CTSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855124342724881,0.0,0.0,0.7151514001716169
SELENBP1,0.0,0.8308910072943338,0.0,0.0,0.0,0.0,0.6806890149075124,0.0,0.0,0.0,0.0
S100A10,1.8253483614361135,2.043383774780353,2.0816935506114627,1.450139103789819,3.0706830973159227,0.0,1.0300919118512657,1.8575709782921472,2.3220555236525198,1.9284579948230962,2.379420015267201
