clusterName,gene
respiratory tract multiciliated cell,CIMIP1
respiratory tract multiciliated cell,SPMIP6
ionocyte,ASCL3
ionocyte,STAP1
T cell,CCL5
professional antigen presenting cell,TYROBP
professional antigen presenting cell,HLA-DPB1
respiratory basal cell,KRT5
keratinizing barrier epithelial cell,SPRR3
keratinizing barrier epithelial cell,CST6
glandular secretory epithelial cell,DUOXA2
glandular secretory epithelial cell,DUOX2
club cell,HPGD
club cell,CYP2A13
club cell,CRYM
club cell,KLF2
respiratory tract epithelial cell,ASRGL1
nasal mucosa goblet cell,KLK11
nasal mucosa goblet cell,TFF1
