cluster,n_cells,percentage
T cell,214,0.61
professional antigen presenting cell,84,0.24
glandular secretory epithelial cell,5310,15.24
club cell,2000,5.74
keratinizing barrier epithelial cell,820,2.35
keratinocyte,77,0.22
respiratory tract epithelial cell,13707,39.35
nasal mucosa goblet cell,2814,8.08
respiratory basal cell,5004,14.37
ionocyte,341,0.98
respiratory tract multiciliated cell,4462,12.81
