cluster_name,skos,manual_mapped_cid,cell_ontology_id
Aberrant erythroid,,,CL:0000764
CD11c+ memory B cells,,,CL:0000787
CD4+ cytotoxic T cells,,,CL:0000934
CD4+ memory T cells,,,CL:0000897
CD4+ naive T cells,,,CL:0000895
CD56brightCD16- NK cells,,,CL:0000938
CD56dimCD16+ NK cells,,,CL:0000939
CD69+PD-1+ memory CD4+ T cells,,,CL:0000897
CD8+ central memory T cells,,,CL:0000907
CD8+ effector memory T cells,,,CL:0000913
CD8+ naive T cells,,,CL:0000900
CD8+CD103+ tissue resident memory T cells,,,CL:0000909
Class switched memory B cells,,,CL:0000972
Classical Monocytes,,,CL:0000860
Conventional dendritic cell 1,,,CL:0000990
Conventional dendritic cell 2,,,CL:0000990
Early erythroid progenitor,,,CL:0000038
Early promyelocytes,,,CL:0002154
Eosinophil-basophil-mast cell progenitors,,,CL:0002028
Erythro-myeloid progenitors,,,CL:0000050
GammaDelta T cells,,,CL:0000798
HSCs & MPPs,,,CL:0000837
Immature B cells,,,CL:0000816
Late erythroid progenitor,,,CL:0000038
Late promyelocytes,,,CL:0002151
Lymphomyeloid prog,,,CL:0000838
Mature naive B cells,,,CL:0000788
Megakaryocyte progenitors,,,CL:0000553
Mesenchymal cells_1,,,CL:0008019
Myelocytes,,,CL:0002193
NK T cells,,,CL:0000623
NK cell progenitors,,,CL:0000937
Non-classical monocytes,,,CL:0000875
Nonswitched memory B cells,,,CL:0000970
Plasma cells,,,CL:0000786
Plasmacytoid dendritic cell progenitors,,,CL:0001029
Plasmacytoid dendritic cells,,,CL:0000784
Pre-B cells,,,CL:0000817
Pre-pro-B cells,,,CL:0002045
Pro-B cells,,,CL:0000826
