,Aberrant erythroid,CD11c+ memory B cells,CD4+ cytotoxic T cells,CD4+ memory T cells,CD4+ naive T cells,CD56brightCD16- NK cells,CD56dimCD16+ NK cells,CD69+PD-1+ memory CD4+ T cells,CD8+ central memory T cells,CD8+ effector memory T cells,CD8+ naive T cells,CD8+CD103+ tissue resident memory T cells,Class switched memory B cells,Classical Monocytes,Conventional dendritic cell 1,Conventional dendritic cell 2,Early erythroid progenitor,Early promyelocytes,Eosinophil-basophil-mast cell progenitors,Erythro-myeloid progenitors,GammaDelta T cells,HSCs & MPPs,Immature B cells,Late erythroid progenitor,Late promyelocytes,Lymphomyeloid prog,Mature naive B cells,Megakaryocyte progenitors,Mesenchymal cells_1,Myelocytes,NK T cells,NK cell progenitors,Non-classical monocytes,Nonswitched memory B cells,Plasma cells,Plasmacytoid dendritic cell progenitors,Plasmacytoid dendritic cells,Pre-B cells,Pre-pro-B cells,Pro-B cells
ENSG00000184009,0.0,3.8107126,3.6513112,4.559522,4.602822,4.6151204,4.301629,4.524811,4.323757,4.1912317,4.866503,4.563493,3.9491374,4.5114927,5.3419394,5.0008826,4.8679247,5.3564615,5.0020013,5.3991833,4.4830027,5.057747,4.585859,3.3838992,5.4049187,5.055754,3.3365636,5.242648,5.344916,4.9033365,4.0448456,4.9008064,4.5517015,3.620698,3.6961212,5.8837934,5.191168,5.6476865,6.175142,5.644059
ENSG00000205336,0.0,0.0,3.2332306,0.0,0.0,0.0,3.9971762,0.0,0.0,3.3383965,0.0,0.0,0.0,0.0,0.0,0.0,2.1817317,0.0,0.0,2.5519695,0.0,2.5405617,0.0,1.8996445,0.0,2.244915,0.0,2.4753652,0.0,0.0,0.0,3.0258121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9408462,3.080313,2.9962385,1.2960919,3.3622887,2.6897295,3.4922543,0.0,3.8082676,0.0,0.0,3.0903935,3.6053362,0.0,3.2169971,0.0,2.5566556,0.0,2.7683036,4.168598,0.0,0.0,2.5696037,0.0,1.9381459,3.3923461,2.291431
ENSG00000206560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7646743,0.0,0.0,0.0,0.0,1.4165144,0.0,1.1083734,0.0,1.3572025,0.0,0.0,0.0,0.0,0.0,0.3762583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94193715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17826892,0.0,0.0
ENSG00000143401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9373026,0.0,2.2815506,1.2716507,1.8309349,0.0,0.0,0.0,0.0,2.5049686,1.7728354,1.7646775,0.0,2.3252625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4363425,0.0,3.4452672,0.0,2.4792225
ENSG00000182718,0.0,0.0,2.8591902,0.0,0.0,0.0,0.0,2.8588748,0.0,2.4200037,0.0,0.0,2.125207,3.5196183,4.1869864,3.91638,0.0,0.0,0.6931972,0.0,0.0,0.0,0.0,0.0,3.4641562,0.0,0.0,0.0,3.743702,3.6836095,0.0,0.0,3.572104,0.0,1.3900967,1.6421157,1.9645715,0.0,0.0,0.0
ENSG00000136250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46114686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99948645,0.0,0.0,0.0,0.0,0.0,0.0,1.0222205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109321,0.0,0.0,0.0,0.0,0.0,3.362973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9728317,1.1177018,0.0,1.9995452,0.0,0.0,0.0,2.0006533,0.0,0.0,0.0,2.0575933,0.0,0.0,0.0,0.0,0.0,3.5091615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
