,Aberrant erythroid,CD11c+ memory B cells,CD4+ cytotoxic T cells,CD4+ memory T cells,CD4+ naive T cells,CD56brightCD16- NK cells,CD56dimCD16+ NK cells,CD69+PD-1+ memory CD4+ T cells,CD8+ central memory T cells,CD8+ effector memory T cells,CD8+ naive T cells,CD8+CD103+ tissue resident memory T cells,Class switched memory B cells,Classical Monocytes,Conventional dendritic cell 1,Conventional dendritic cell 2,Early erythroid progenitor,Early promyelocytes,Eosinophil-basophil-mast cell progenitors,Erythro-myeloid progenitors,GammaDelta T cells,HSCs & MPPs,Immature B cells,Late erythroid progenitor,Late promyelocytes,Lymphomyeloid prog,Mature naive B cells,Megakaryocyte progenitors,Mesenchymal cells_1,Myelocytes,NK T cells,NK cell progenitors,Non-classical monocytes,Nonswitched memory B cells,Plasma cells,Plasmacytoid dendritic cell progenitors,Plasmacytoid dendritic cells,Pre-B cells,Pre-pro-B cells,Pro-B cells
TAGLN2,0.0,0.0,0.22205663797182915,0.20427149381393042,0.0,0.2735248849942134,0.17271483250153372,0.1731907572501745,0.1282051282051282,0.230011658790784,0.0,0.17523075219912407,0.25135039824705857,0.1381756006143032,0.31827552960469174,0.20215876133013994,0.26900625228881836,0.1862455224379515,0.22949955249444032,0.28301983918899143,0.20087958452029106,0.19556353795222747,0.17972685740544245,0.2543295285640619,0.22384353631582016,0.20694797466962767,0.1626413174164601,0.40687606884883,0.0,0.14378727552218315,0.16581650116504768,0.15740940051201063,0.1475693124991197,0.19310239950815836,0.13463190580025697,0.20056673807975572,0.3591566773561331,0.1558582828595088,0.1896386742591858,0.1815864642461141
TAL1,0.8467212518056234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8843478591014178,0.0,0.8461538461538461,0.8712949324876834,0.0,0.0,0.0,0.8700610536795396,0.0,0.0,0.0,0.865952866199689,0.0,0.0,0.0,0.852953200156872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALDO1,0.445500679505177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204970255876199,0.49223697032683933,0.46894726692101896,0.568832149872413,0.546604090776199,0.5301069693687634,0.5775652879323715,0.0,0.5356670266542679,0.0,0.5391932068726956,0.5031028512196664,0.5497945730502789,0.0,0.5839228003452985,0.453645204886412,0.51646866553869,0.0,0.5343663600774912,0.4656845040810414,0.0,0.4358974358974359,0.48548241609182113,0.451597959567339,0.4599177684539404,0.4706325225341014,0.46460544910186374
TCF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.9780086141366225,0.0,0.0,0.0
TCL1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9813061264845041,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TESPA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8974358974358975,0.0,0.8984844027421414,0.9420964091252058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169476123956534,0.0,0.0,0.0,0.9077885777522356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFRC,0.737659596479856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.6440499516633841,0.0,0.7811512442735525,0.676020330343491,0.7208325862884521,0.754918329226665,0.0,0.0,0.0,0.7943691030526773,0.6251708360818716,0.6708362026092334,0.0,0.7493414603746854,0.0,0.0,0.0,0.0,0.6509467072975941,0.0,0.6176644624807895,0.6678933058029566,0.6708815388190441,0.0,0.691472379060892,0.0
TGFBI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8468604821425217,0.8288582731515933,0.8331702275153918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208534136796609,0.8205128205128205,0.0,0.0,0.830302085631933,0.0,0.0,0.835382084051768,0.8854809342286526,0.0,0.0,0.0
TIPIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
