,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
HLA-DQA1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL13A,0.10089435577392578,0.11400981346766154,0.07031019926071166,0.13172045548756917,0.229802664120992,0.11860713958740235,0.09203528165817261,0.26404784123102826,0.07210569779078166,0.06666666666666667,0.0888779083887736,0.09836255311965943,0.0,0.09729727506637573,0.11521281798680623,0.13162537813186645
ID1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFB9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL7,0.6484626372655232,0.0,0.0,0.0,0.6076779246330262,0.0,0.642505164941152,0.6649613658587138,0.0,0.0,0.6107238372166951,0.0,0.0,0.0,0.630198884010315,0.6
CD52,0.7910508712132772,0.742414120833079,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7721998492876688,0.0,0.0,0.0,0.7670685291290283
LAPTM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.9518110036849976,0.0,0.0,0.0,0.0,0.0
IFITM1,0.0,0.0,0.0,0.0,0.8828503688176473,0.8,0.0,0.0,0.0,0.0,0.8029435555140177,0.0,0.0,0.0,0.0,0.8697123964627583
MYL12A,0.19003250201543173,0.16828327576319377,0.0,0.1671789050102234,0.2014399488766988,0.18134212891260784,0.17295325994491578,0.0,0.18006412188212076,0.13333333333333333,0.14102801481882732,0.1567758282025655,0.14552788337071737,0.18538816372553507,0.18124994436899822,0.20661539634068807
FOSB,0.0,0.0,0.0,0.0,0.8290202260017395,0.8379407405853272,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8336397767066955,0.0
H2AZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187520742416382,0.0,0.0,0.84254576365153,0.0,0.8,0.0,0.0,0.8120289166768392
CMA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
