,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
SH3BGRL3,3.3758314,2.4719892,0.0,2.9574163,0.0,0.0,0.0,0.0,0.0,2.7737622,2.8780398,3.461483,0.0,0.0,2.915173,2.8324609
ANXA4,0.0,0.0,0.0,0.0,0.0,0.0,3.5361285,0.0,4.2651477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-B,3.0676718,2.4322278,0.0,2.696738,0.0,3.2089481,2.9085948,0.0,0.0,3.291131,3.940392,3.0145464,3.0445542,3.1220112,0.0,3.0696275
UQCR10,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5614924,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL26,3.1493726,2.9118779,2.1416118,3.2013793,2.915173,3.0173268,3.574087,3.5072384,3.1178734,0.0,1.3220898,3.0618289,0.0,2.9436815,3.0502548,3.1398094
RPS27A,3.4795938,1.994044,0.0,0.0,3.622469,0.0,3.3099737,3.875517,0.0,0.0,4.0276327,0.0,0.0,0.0,0.0,3.2106566
GSTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0053785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERF2,3.2948744,3.1429856,2.6237786,3.1953697,3.2181082,3.050273,2.962493,3.010935,3.0774934,3.098471,3.6064687,3.2485309,2.9419856,3.1931264,3.1976187,3.166625
NOP10,2.4407964,0.0,0.0,0.0,0.0,0.0,0.0,2.6472259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000211592,0.0,0.0,7.770927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,2.7862883,2.7735267,0.0,2.8367343,3.1493726,0.0,1.4542974,3.143074,2.8079755,0.0,0.0,2.6050076,0.0,0.0,2.915173,2.7777603
MUC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS3,3.2874012,3.481628,2.7032104,3.2659423,3.2533014,3.1424592,3.1998758,4.1371937,2.8079755,0.0,3.1939101,3.105571,2.5040135,3.1178734,3.1976187,3.650971
CD74,3.2948744,4.159277,0.0,5.254237,3.2181082,0.0,1.7870435,0.0,0.0,4.80718,0.0,3.1797805,0.0,0.0,0.0,0.0
LAMTOR3,0.0,0.0,0.0,0.0,0.0,0.0,1.4676012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF1,3.5802836,3.1178734,2.8407748,3.206101,3.1158116,3.008223,1.8007152,3.0381875,3.1178734,2.8287072,1.2967399,3.634961,3.1137543,2.5843675,3.0502548,3.2973788
DAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983948,0.0,0.0,3.04753,0.0,0.0,0.0,0.0,0.0
SNRPD1,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.99811983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.439853,0.0,0.0,1.4272748,0.0,0.0,0.0,0.0,0.0
SRGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.131885,0.0,4.1472034,0.0,0.0,0.0
HMGN1,0.0,0.0,0.0,0.0,0.0,0.0,2.9218986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNG5,0.0,0.0,0.0,0.0,0.0,0.0,1.4676012,1.9965146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEDD8,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1,3.9616964,3.1886563,2.9352024,3.1644506,2.915173,0.0,3.6430876,4.181084,0.0,0.0,3.5740352,3.0275393,3.0173192,0.0,0.0,3.446166
MYL12B,0.0,0.0,0.0,0.0,0.0,0.0,2.962493,0.0,2.8079755,0.0,0.0,0.0,0.0,2.2448308,3.0755208,0.0
RPS5,0.0,0.0,0.0,0.0,0.0,0.0,2.9085948,3.2157474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7369895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPSA,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,2.792017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3-3B,3.0794706,2.9284763,2.4350743,3.229691,2.915173,3.2100863,3.1998758,0.0,3.5859525,2.6576407,3.1550362,3.1953697,2.7935758,3.2066689,3.2580965,3.283688
LGALS1,2.9368918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.993494,3.0053785,0.0,0.0,3.2437847,0.0
ENSG00000269893,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7349663,0.0,0.0,0.0,0.0
GPX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6896734,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MG,0.0,2.7309332,0.0,2.7117,0.0,0.0,1.4542974,0.9983948,0.0,0.0,0.0,2.487523,0.0,0.0,2.915173,2.823494
CFL1,3.3279712,3.0874224,0.0,3.0686498,3.1158116,2.674891,1.7870435,2.471116,2.7369895,2.360999,3.2690372,3.1753745,3.1086316,2.9402802,3.229691,3.3202283
ZFAS1,0.0,0.0,0.0,0.0,0.0,0.0,2.962493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1,2.6700616,0.0,0.0,0.0,0.0,0.0,3.1998758,0.0,2.1065965,0.0,2.7240148,0.0,2.5515816,0.0,0.0,0.0
ATP5MF,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMA7,2.960883,2.2822747,0.0,2.593492,0.0,2.138712,3.1998758,2.6983833,2.8079755,0.0,0.0,2.6601107,0.0,2.5992243,3.1976187,3.0426216
SNRPD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529261,0.0,0.0,1.2967399,0.0,0.0,0.0,0.0,0.0
HLA-DRA,3.8099928,3.4176784,0.0,5.1197853,0.0,0.0,0.0,0.0,0.0,4.2464743,0.0,3.2181082,0.0,0.0,0.0,0.0
