cluster,n_cells,percentage
Basal II cells,187,9.01
Basal cells,334,16.1
Ciliated cells,88,4.24
Club cells,135,6.51
Dendritic cells,41,1.98
Goblet cells,195,9.4
Ionocytes,41,1.98
MT gene enriched cells,102,4.92
Mast cells,53,2.55
Maturing ciliated cells,20,0.96
NK cells,53,2.55
Neutrophils & macrophages,142,6.84
Peri-goblet cells,238,11.47
Secretory cells (HLA-DQA1),133,6.41
Suprabasal cells,68,3.28
T cells,245,11.81
