author_cell_type_final,mean,std,median,count,q1,q3,f_score
Ionocytes,0.9815561188511356,0.0033292775443959405,0.9823356219534504,41,0.9794942476782572,0.984106498563568,0.9248554913294798
Ciliated cells,0.9489031385901857,0.00937421803849454,0.9512975077877033,88,0.9414710813235663,0.9572661070578004,0.95
Mast cells,0.9410183696046616,0.010995020827692987,0.943555351546237,53,0.9336234778902432,0.94996618372051,0.963855421686747
Maturing ciliated cells,0.8850373992217204,0.06542419192075431,0.9107384606592457,20,0.8863460008206903,0.919883612814118,0.9210526315789472
Dendritic cells,0.8462719005592189,0.047420314011610565,0.8774811281666429,41,0.7973468366809394,0.8867473110251464,0.8527131782945736
Neutrophils & macrophages,0.8133364870770541,0.15061422177348513,0.842238860011018,142,0.7995749518350787,0.8609899666525793,0.9561128526645768
Suprabasal cells,0.6397416647990453,0.37479916236571514,0.7603378559031664,68,0.7011550061865076,0.7737382139463236,0.7142857142857143
NK cells,0.5513595088434616,0.3191640143920063,0.6742749948307968,53,0.5893790789524594,0.709811049192612,0.4117647058823529
Club cells,0.6139139420025012,0.16815238651981967,0.6723878916439509,135,0.5893830379400429,0.7171737121572972,0.7070707070707071
T cells,0.5577857065650645,0.2184151911662174,0.6677119633199374,245,0.4305375183148339,0.7164775842804956,0.8504923903312444
Secretory cells (HLA-DQA1),0.572350445813394,0.20955541318131668,0.6527428303617551,133,0.5688474645578449,0.6984271872642466,0.6073211314475874
Basal II cells,0.47979139165608825,0.3172744812291889,0.603633204166543,187,0.42720862369214524,0.659665104517096,0.5102040816326531
Basal cells,0.5556786356875585,0.15657367886184043,0.5961915253133241,334,0.5045118004795748,0.6539581065171748,0.6560636182902585
Peri-goblet cells,0.32270221780518954,0.35171823658970164,0.4713396660485037,238,0.22802313152910642,0.567696206553985,0.4752066115702479
Goblet cells,0.28730281195716323,0.1997210701505781,0.3172995243113379,195,0.1651738527563407,0.4453304240860593,0.7099236641221374
MT gene enriched cells,-0.2393591950587255,0.30169484734389646,-0.1027750930233059,102,-0.24067122424125328,-0.040196681313694305,0.4310344827586206
