,author_cell_type_final,silhouette_score
IDA006_S1_cell_77,Basal cells,0.5123605210897422
IDA006_S1_cell_78,Goblet cells,-0.09680142065249264
IDA006_S1_cell_79,Goblet cells,0.3019120209140495
IDA006_S1_cell_80,T cells,0.6818609952574065
IDA006_S1_cell_82,Neutrophils & macrophages,0.8681903418641411
IDA006_S1_cell_83,Basal cells,0.4951441994905521
IDA006_S1_cell_84,NK cells,0.722136793535944
IDA006_S1_cell_86,Ciliated cells,0.9596965967995535
IDA006_S1_cell_87,Basal cells,0.5974369219757171
IDA006_S1_cell_88,Goblet cells,0.44706856124580546
IDA006_S1_cell_90,Goblet cells,0.21664800279312998
IDA006_S1_cell_91,Goblet cells,0.48842145106172724
IDA006_S1_cell_93,MT gene enriched cells,-0.015399451858299764
IDA006_S1_cell_94,Ionocytes,0.9750420315447935
IDA006_S1_cell_95,Ciliated cells,0.9477202113723627
IDA006_S1_cell_96,NK cells,0.7189318300769945
IDA007_S1_cell_1,Basal cells,0.46277958148969917
IDA007_S1_cell_2,Goblet cells,0.2935447472192659
IDA007_S1_cell_4,Peri-goblet cells,0.6059746379834904
IDA007_S1_cell_5,Goblet cells,0.5611319488871718
IDA007_S1_cell_6,MT gene enriched cells,-0.8091172477586926
IDA007_S1_cell_7,T cells,-0.029742813517709948
IDA007_S1_cell_8,NK cells,0.6951141061573667
IDA007_S1_cell_9,Neutrophils & macrophages,0.745392586854993
IDA007_S1_cell_13,Goblet cells,0.3525227772093727
IDA007_S1_cell_14,T cells,0.7429892406741626
IDA007_S1_cell_16,Peri-goblet cells,0.6005887491656996
IDA007_S1_cell_17,Peri-goblet cells,-0.331644774519753
IDA007_S1_cell_21,NK cells,0.6897214811862808
IDA007_S1_cell_26,Mast cells,0.9468259114206098
IDA007_S1_cell_27,Mast cells,0.9359619363022268
IDA007_S1_cell_28,Neutrophils & macrophages,0.8692454360393984
IDA007_S1_cell_29,Peri-goblet cells,0.46068912155856523
IDA007_S1_cell_30,Mast cells,0.9213676829989235
IDA007_S1_cell_31,MT gene enriched cells,-0.8053604003621363
IDA007_S1_cell_32,Peri-goblet cells,0.3963752764246288
IDA007_S1_cell_35,T cells,0.1652229562990454
IDA007_S1_cell_37,Peri-goblet cells,-0.5774773528409929
IDA007_S1_cell_38,Neutrophils & macrophages,0.7713639796893135
IDA007_S1_cell_39,Neutrophils & macrophages,0.7289626484701442
IDA007_S1_cell_40,NK cells,0.4819417065701698
IDA007_S1_cell_42,Basal cells,0.6576342600417531
IDA007_S1_cell_43,Peri-goblet cells,-0.008433424028738671
IDA007_S1_cell_44,NK cells,-0.3942565822111455
IDA007_S1_cell_49,Peri-goblet cells,0.4386306028451063
IDA007_S1_cell_50,NK cells,0.7231582206374534
IDA007_S1_cell_51,Mast cells,0.9313737091385363
IDA007_S1_cell_52,Peri-goblet cells,0.226404456593319
IDA007_S1_cell_53,NK cells,0.6987407588175489
IDA007_S1_cell_54,Secretory cells (HLA-DQA1),-0.2085299675959588
IDA007_S1_cell_55,Goblet cells,0.4822113346206331
IDA007_S1_cell_56,NK cells,0.6370704067221633
IDA007_S1_cell_61,Neutrophils & macrophages,0.7840524183641274
IDA007_S1_cell_63,Mast cells,0.9499661837205101
IDA007_S1_cell_64,Peri-goblet cells,-0.2124164124357399
IDA007_S1_cell_65,NK cells,0.6742749948307968
IDA007_S1_cell_66,NK cells,0.7134774415763845
IDA007_S1_cell_74,Basal cells,0.547574058950916
IDA007_S1_cell_77,NK cells,0.7147294218346916
IDA007_S1_cell_78,MT gene enriched cells,-0.8052985386165703
IDA007_S1_cell_80,MT gene enriched cells,-0.8207418653067878
IDA007_S1_cell_81,Goblet cells,0.5037710383963679
IDA007_S1_cell_87,NK cells,0.5171502356735935
IDA007_S1_cell_88,Peri-goblet cells,0.3981582226194111
IDA007_S1_cell_89,NK cells,-0.004423860499368179
IDA007_S1_cell_91,NK cells,0.3181519752765435
IDA007_S1_cell_92,NK cells,0.6335570564788651
IDA007_S1_cell_93,Peri-goblet cells,0.542143298398318
IDA008_S1_cell_1,Ciliated cells,0.9392669190202324
IDA008_S1_cell_2,T cells,0.22050316060585834
IDA008_S1_cell_4,Basal cells,0.6768850394878174
IDA008_S1_cell_5,Basal cells,0.6914114990215505
IDA008_S1_cell_7,Ciliated cells,0.9293261493005
IDA008_S1_cell_8,Club cells,0.2052696916140192
IDA008_S1_cell_9,Ciliated cells,0.9612598373024122
IDA008_S1_cell_10,Basal cells,0.6775986154177391
IDA008_S1_cell_11,Basal cells,0.6835710499349504
IDA008_S1_cell_12,Club cells,0.7439889554586465
IDA008_S1_cell_13,Basal cells,0.49384664376711757
IDA008_S1_cell_14,Club cells,0.3792981897868836
IDA008_S1_cell_15,Basal II cells,0.6472034713227365
IDA008_S1_cell_16,Basal cells,0.6715863715677408
IDA008_S1_cell_17,Basal cells,0.6202211454694363
IDA008_S1_cell_18,Basal cells,0.6403347103435669
IDA008_S1_cell_19,Basal cells,0.6639262935822592
IDA008_S1_cell_20,Basal cells,0.6800000457314641
IDA008_S1_cell_21,Basal cells,0.6433078629627049
IDA008_S1_cell_22,Basal cells,0.598599196363744
IDA008_S1_cell_23,Basal cells,0.6084218163633603
IDA008_S1_cell_24,Basal cells,0.5579559085476646
IDA008_S1_cell_25,Basal cells,0.6494751239414467
IDA008_S1_cell_26,Basal cells,0.6609734133670805
IDA008_S1_cell_27,Basal cells,0.620044360227391
IDA008_S1_cell_28,Basal cells,0.6916717320490279
IDA008_S1_cell_29,Basal II cells,0.5913858245667569
IDA008_S1_cell_30,Basal II cells,0.6010502260252468
IDA008_S1_cell_31,Basal cells,0.6629700945129403
IDA008_S1_cell_32,Goblet cells,0.21239371197546814
IDA008_S1_cell_33,T cells,0.7086547704059284
IDA008_S1_cell_34,Basal cells,0.6720274248847727
IDA008_S1_cell_35,Ionocytes,0.9820514254636059
IDA008_S1_cell_36,Basal II cells,0.672891902279679
IDA008_S1_cell_37,Club cells,0.5374453007758824
IDA008_S1_cell_38,Basal cells,0.6790351243950067
IDA008_S1_cell_39,Basal II cells,0.6144273757901731
IDA008_S1_cell_40,T cells,0.7164775842804956
IDA008_S1_cell_41,Basal cells,0.6000108531607724
IDA008_S1_cell_42,Basal cells,0.6376482543752215
IDA008_S1_cell_43,Ciliated cells,0.9579940557352578
IDA008_S1_cell_44,Basal cells,0.6086943403445128
IDA008_S1_cell_45,Basal cells,0.6226791828290746
IDA008_S1_cell_46,Basal cells,0.6576164605975741
IDA008_S1_cell_47,T cells,0.6533869327404693
IDA008_S1_cell_48,Ciliated cells,0.946386357340277
IDA008_S1_cell_50,Basal cells,0.5991814134817368
IDA008_S1_cell_51,Basal cells,0.5576985031616809
IDA008_S1_cell_52,Basal cells,0.6312670323421518
IDA008_S1_cell_54,Basal cells,0.6493904029468862
IDA008_S1_cell_55,Basal cells,0.5990208116343729
IDA008_S1_cell_56,Basal cells,0.6248104724055686
IDA008_S1_cell_57,Club cells,0.6344154864087871
IDA008_S1_cell_60,Basal cells,0.6810286614727306
IDA008_S1_cell_61,Peri-goblet cells,0.4504132923558264
IDA008_S1_cell_62,Basal II cells,0.668279980154786
IDA008_S1_cell_63,Basal II cells,0.7119655764611823
IDA008_S1_cell_64,MT gene enriched cells,-0.23183592392451308
IDA008_S1_cell_65,Basal cells,0.616132027589135
IDA008_S1_cell_66,Basal II cells,0.6419348673285385
IDA008_S1_cell_67,Basal cells,0.3313137186532923
IDA008_S1_cell_68,Neutrophils & macrophages,0.8167124880127823
IDA008_S1_cell_69,Basal cells,0.6632044587820162
IDA008_S1_cell_71,Basal cells,0.6764393348237254
IDA008_S1_cell_72,Club cells,0.6642210568422743
IDA008_S1_cell_73,Basal II cells,-0.839362277330874
IDA008_S1_cell_74,Basal II cells,0.7067303457002946
IDA008_S1_cell_75,Basal cells,0.6000931768085945
IDA008_S1_cell_76,Goblet cells,0.3099163474702654
IDA008_S1_cell_77,Basal cells,0.6457897296397519
IDA008_S1_cell_78,Basal cells,0.6684869356042793
IDA008_S1_cell_79,T cells,0.632132353697005
IDA008_S1_cell_80,Basal cells,0.6583798810373453
IDA008_S1_cell_81,Basal cells,0.5281430115014133
IDA008_S1_cell_82,Ciliated cells,0.9393095847209924
IDA008_S1_cell_83,Basal cells,0.6349548937317767
