,author_cell_type_final,silhouette_score
IDA015_S1_cell_35,Mast cells,0.9518532518109218
IDA015_S1_cell_36,Peri-goblet cells,0.3509909825673831
IDA015_S1_cell_37,Dendritic cells,0.7967651420331208
IDA015_S1_cell_38,Peri-goblet cells,0.39500749767979043
IDA015_S1_cell_39,T cells,0.6811224438884786
IDA015_S1_cell_46,Mast cells,0.9520222461674103
IDA015_S1_cell_47,Dendritic cells,0.7973468366809394
IDA015_S1_cell_49,Mast cells,0.9482574811660296
IDA015_S1_cell_51,Basal cells,0.6693697908056054
IDA015_S1_cell_54,Mast cells,0.9521547009255096
IDA015_S1_cell_56,Mast cells,0.943555351546237
IDA015_S1_cell_58,T cells,0.7269824119549647
IDA015_S1_cell_61,Dendritic cells,0.883344980186506
IDA015_S1_cell_65,T cells,0.6823076286551079
IDA015_S1_cell_66,T cells,0.6010968824138048
IDA015_S1_cell_67,Mast cells,0.9197375220269156
IDA015_S1_cell_72,Mast cells,0.9479529669197425
IDA015_S1_cell_75,Mast cells,0.9466837360144109
IDA015_S1_cell_76,T cells,0.5792448516033466
IDA015_S1_cell_77,Mast cells,0.9515686717972252
IDA015_S1_cell_81,Goblet cells,0.26220843922627973
IDA015_S1_cell_84,NK cells,0.5856901989283517
IDA015_S1_cell_91,Mast cells,0.9359439465378431
IDA015_S1_cell_92,Mast cells,0.9304795437512398
IDA015_S1_cell_96,Ionocytes,0.9849862233139236
IDA017_S1_cell_1,Club cells,0.6353042357523534
IDA017_S1_cell_2,T cells,0.6831703550356892
IDA017_S1_cell_5,Basal cells,0.39916141010418055
IDA017_S1_cell_7,Basal cells,0.49144642135998173
IDA017_S1_cell_8,Ciliated cells,0.9321048735354801
IDA017_S1_cell_9,Basal cells,0.07100351862634982
IDA017_S1_cell_11,Maturing ciliated cells,0.8882545777506196
IDA017_S1_cell_14,Club cells,0.7000576217307988
IDA017_S1_cell_15,Ciliated cells,0.9356909578717774
IDA017_S1_cell_17,Basal cells,0.41748090032862284
IDA017_S1_cell_18,Basal cells,0.379215944359673
IDA017_S1_cell_19,Basal cells,0.42560307189516167
IDA017_S1_cell_20,Ciliated cells,0.9340380604176102
IDA017_S1_cell_21,Basal cells,0.44091946233532625
IDA017_S1_cell_22,Club cells,0.7142706077936928
IDA017_S1_cell_23,Basal II cells,0.6315417202907868
IDA017_S1_cell_24,Club cells,0.6994609406232253
IDA017_S1_cell_25,Basal cells,-0.06787762615398125
IDA017_S1_cell_26,Club cells,0.6481095627963355
IDA017_S1_cell_27,Basal cells,0.4817128041110897
IDA017_S1_cell_28,Basal cells,0.520040492999066
IDA017_S1_cell_29,Club cells,0.7132719515873076
IDA017_S1_cell_30,Basal II cells,0.5730912087082424
IDA017_S1_cell_31,Ciliated cells,0.9369095063713979
IDA017_S1_cell_32,MT gene enriched cells,-0.8230080053421144
IDA017_S1_cell_33,Club cells,0.7047720919582589
IDA017_S1_cell_35,Ciliated cells,0.9356319344108625
IDA017_S1_cell_36,Basal II cells,0.6063343538962473
IDA017_S1_cell_37,Basal II cells,0.6538126844203324
IDA017_S1_cell_38,Basal cells,0.5502129241790599
IDA017_S1_cell_40,Club cells,0.6362922805107679
IDA017_S1_cell_41,Basal cells,0.5335781586424382
IDA017_S1_cell_42,Ciliated cells,0.9347115379046734
IDA017_S1_cell_43,Basal II cells,0.2700631796435023
IDA017_S1_cell_44,Basal cells,-0.14314107043504903
IDA017_S1_cell_45,Club cells,0.5882429287669956
IDA017_S1_cell_46,NK cells,0.6546103918862016
IDA017_S1_cell_47,Basal II cells,0.3416487477778455
IDA017_S1_cell_48,Club cells,0.7164441764992896
IDA017_S1_cell_49,Basal II cells,0.4394541587928474
IDA017_S1_cell_50,NK cells,0.6322881215568518
IDA017_S1_cell_51,Club cells,0.7088749742783403
IDA017_S1_cell_52,Basal cells,-0.04791872440987025
IDA017_S1_cell_53,Club cells,0.5905231471130903
IDA017_S1_cell_54,Basal II cells,0.7006884019647607
IDA017_S1_cell_55,Basal II cells,0.4092985167166868
IDA017_S1_cell_56,Ciliated cells,0.9421365322769565
IDA017_S1_cell_57,Club cells,0.635439434834924
IDA017_S1_cell_58,Club cells,0.606413940605737
IDA017_S1_cell_59,Club cells,0.5537483295537867
IDA017_S1_cell_60,Club cells,0.5956107001110592
IDA017_S1_cell_61,Basal cells,0.4581227163473691
IDA017_S1_cell_62,Basal II cells,0.7113019092621452
IDA017_S1_cell_63,Ciliated cells,0.9391426036935216
IDA017_S1_cell_64,Basal cells,0.5045003520440576
IDA017_S1_cell_65,Club cells,0.7079211821932513
IDA017_S1_cell_66,Basal cells,0.3852894657455313
IDA017_S1_cell_67,Club cells,0.6681446772561506
IDA017_S1_cell_68,Basal II cells,0.48432292763585705
IDA017_S1_cell_69,Basal II cells,0.6842970288849572
IDA017_S1_cell_70,Club cells,0.6411841534898578
IDA017_S1_cell_71,Basal cells,0.6215282239332033
IDA017_S1_cell_72,Basal II cells,0.6088559414404885
IDA017_S1_cell_73,Club cells,0.6802053072140509
IDA017_S1_cell_74,Ciliated cells,0.9396068688174425
IDA017_S1_cell_75,Basal cells,0.6485272367260342
IDA017_S1_cell_76,Club cells,0.615497883285534
IDA017_S1_cell_77,Basal II cells,0.6117322878567562
IDA017_S1_cell_78,Club cells,0.6135626183924644
IDA017_S1_cell_79,Basal II cells,0.5537947762657419
IDA017_S1_cell_80,Basal cells,0.4531822119633689
IDA017_S1_cell_82,Club cells,0.7197537086867214
IDA017_S1_cell_83,Basal cells,0.41402749015471374
IDA017_S1_cell_84,Basal cells,0.4174854459363967
IDA017_S1_cell_86,Basal cells,0.4394830482491058
IDA017_S1_cell_87,T cells,0.48971719018032145
IDA017_S1_cell_88,Club cells,0.7315443082646156
IDA017_S1_cell_89,T cells,0.38726833122222576
IDA017_S1_cell_90,Club cells,0.7179032478153048
IDA017_S1_cell_91,Club cells,0.7387764561964626
IDA017_S1_cell_92,Ciliated cells,0.9422328976039093
IDA017_S1_cell_93,Ciliated cells,0.9483479282888452
IDA017_S1_cell_94,Club cells,0.6265136810733046
IDA017_S1_cell_95,T cells,0.6943880000650756
IDA017_S1_cell_96,Dendritic cells,0.8877020136710625
IDA019_S1_cell_2,Goblet cells,0.5204431457946777
IDA019_S1_cell_3,Goblet cells,0.32810673421208714
IDA019_S1_cell_4,Goblet cells,0.30873666993740423
IDA019_S1_cell_5,Peri-goblet cells,0.5662505141777677
IDA019_S1_cell_6,Goblet cells,0.3246971314543004
IDA019_S1_cell_7,Peri-goblet cells,0.47674194850477253
IDA019_S1_cell_8,T cells,0.23353206034115112
IDA019_S1_cell_13,Peri-goblet cells,-0.30130814597929334
IDA019_S1_cell_15,Neutrophils & macrophages,0.8625426172266993
IDA019_S1_cell_17,Peri-goblet cells,0.581590125548161
IDA019_S1_cell_18,Peri-goblet cells,0.5385310240156932
IDA019_S1_cell_20,Maturing ciliated cells,0.8806202700309022
IDA019_S1_cell_22,Neutrophils & macrophages,0.7666100291748689
IDA019_S1_cell_23,Maturing ciliated cells,0.8907507751920735
IDA019_S1_cell_24,Neutrophils & macrophages,0.7471544545554992
IDA019_S1_cell_25,Ionocytes,0.9850229511912582
IDA019_S1_cell_26,Peri-goblet cells,0.08468384675851873
IDA019_S1_cell_27,Neutrophils & macrophages,0.7166903710898765
IDA019_S1_cell_29,Peri-goblet cells,0.6112551872753945
IDA019_S1_cell_30,Basal cells,0.19538358908313594
IDA019_S1_cell_31,Goblet cells,0.32216182737191207
IDA019_S1_cell_32,Goblet cells,0.5168947542382537
IDA019_S1_cell_33,Peri-goblet cells,0.2763833917509491
IDA019_S1_cell_34,Peri-goblet cells,0.506419701773858
IDA019_S1_cell_37,Peri-goblet cells,0.6032756351561548
IDA019_S1_cell_38,Neutrophils & macrophages,0.7318969552431311
IDA019_S1_cell_40,Goblet cells,0.394462914092049
IDA019_S1_cell_43,Peri-goblet cells,0.43152761127650663
IDA019_S1_cell_44,Neutrophils & macrophages,0.7179527258816834
IDA019_S1_cell_45,Ionocytes,0.9781095466456929
IDA019_S1_cell_46,Peri-goblet cells,0.6070203063088591
IDA019_S1_cell_47,Peri-goblet cells,0.3118473877233295
IDA019_S1_cell_48,Neutrophils & macrophages,0.7593485050683815
IDA019_S1_cell_49,Goblet cells,0.5542971026895748
IDA019_S1_cell_50,T cells,0.712686436967572
IDA019_S1_cell_52,Ionocytes,0.9834112252920013
IDA019_S1_cell_53,Goblet cells,0.5677422000154774
IDA019_S1_cell_54,Dendritic cells,0.864082875484471
IDA019_S1_cell_55,Neutrophils & macrophages,0.7521527368885562
IDA019_S1_cell_56,Goblet cells,0.4113111121322912
IDA019_S1_cell_57,Peri-goblet cells,0.5928412381952763
IDA019_S1_cell_58,Goblet cells,0.5686241754967434
IDA019_S1_cell_59,Peri-goblet cells,0.4038094347263001
IDA019_S1_cell_63,Peri-goblet cells,0.5665313188323035
IDA019_S1_cell_64,Peri-goblet cells,0.37586639619946316
IDA019_S1_cell_65,Goblet cells,0.2976505943855548
IDA019_S1_cell_68,Goblet cells,0.3307063413338757
IDA019_S1_cell_69,Goblet cells,0.5200441862367553
IDA019_S1_cell_71,Peri-goblet cells,0.5317172643899325
IDA019_S1_cell_72,Basal cells,-0.019970419289681504
IDA019_S1_cell_73,Peri-goblet cells,0.5494661351461365
IDA019_S1_cell_75,T cells,0.6128840155806325
IDA019_S1_cell_79,Neutrophils & macrophages,0.7551679787445621
IDA019_S1_cell_80,T cells,0.6666852673562657
IDA019_S1_cell_81,Peri-goblet cells,0.6020800500962656
IDA019_S1_cell_82,Peri-goblet cells,0.5755230651972038
IDA019_S1_cell_83,Peri-goblet cells,0.33494871450267716
IDA019_S1_cell_86,Peri-goblet cells,0.46184123796804166
IDA019_S1_cell_88,Neutrophils & macrophages,0.7816173322763538
IDA019_S1_cell_90,Peri-goblet cells,0.4881055280032377
IDA019_S1_cell_91,Goblet cells,0.512469990556217
IDA019_S1_cell_92,T cells,0.7004217394313562
IDA019_S1_cell_93,Peri-goblet cells,0.4789996521000153
IDA019_S1_cell_94,Peri-goblet cells,0.5106918679274993
IDA019_S1_cell_95,MT gene enriched cells,0.000996091520305793
IDA019_S1_cell_96,Neutrophils & macrophages,0.7279614294723824
IDA020_S1_cell_1,T cells,-0.9425370714147866
IDA020_S1_cell_2,MT gene enriched cells,-0.03888926041355997
IDA020_S1_cell_3,T cells,0.7292512803866531
IDA020_S1_cell_4,Secretory cells (HLA-DQA1),0.3980543819044808
IDA020_S1_cell_6,Mast cells,0.9366991112354891
IDA020_S1_cell_8,Goblet cells,0.0922277918450937
IDA020_S1_cell_9,Secretory cells (HLA-DQA1),0.6690931614890142
IDA020_S1_cell_11,Dendritic cells,0.8855489972064882
IDA020_S1_cell_13,Secretory cells (HLA-DQA1),0.7241822494380434
IDA020_S1_cell_15,Dendritic cells,0.7895440090696242
IDA020_S1_cell_17,Mast cells,0.9554400003082903
IDA020_S1_cell_18,Goblet cells,0.31729952431133795
IDA020_S1_cell_19,Secretory cells (HLA-DQA1),0.7075527829119375
IDA020_S1_cell_20,Secretory cells (HLA-DQA1),0.6215495054803154
IDA020_S1_cell_21,Secretory cells (HLA-DQA1),0.6686014048033122
IDA020_S1_cell_23,Maturing ciliated cells,0.9136687369733741
IDA020_S1_cell_24,Dendritic cells,0.7709119662626163
IDA020_S1_cell_26,MT gene enriched cells,-0.03486571806625181
IDA020_S1_cell_27,Maturing ciliated cells,0.9136225411285833
IDA020_S1_cell_28,Peri-goblet cells,0.006948017551736564
IDA020_S1_cell_31,Secretory cells (HLA-DQA1),0.38832489949198956
IDA020_S1_cell_32,MT gene enriched cells,-0.025092104609736772
IDA020_S1_cell_33,Secretory cells (HLA-DQA1),0.652780268485424
IDA020_S1_cell_34,Secretory cells (HLA-DQA1),0.7002192564790316
IDA020_S1_cell_35,Mast cells,0.9452610216337038
IDA020_S1_cell_36,Goblet cells,0.3827728080996226
IDA020_S1_cell_40,Neutrophils & macrophages,0.8375419577593122
IDA020_S1_cell_42,Goblet cells,0.28139352946875895
IDA020_S1_cell_43,Mast cells,0.9467698220941062
IDA020_S1_cell_45,Secretory cells (HLA-DQA1),0.6619049633846227
IDA020_S1_cell_46,Secretory cells (HLA-DQA1),0.6479175886336697
IDA020_S1_cell_47,Secretory cells (HLA-DQA1),0.5873215358449982
IDA020_S1_cell_48,Secretory cells (HLA-DQA1),0.667933173059599
IDA020_S1_cell_49,Secretory cells (HLA-DQA1),0.6104474008675833
IDA020_S1_cell_50,Dendritic cells,0.8853594341392826
IDA020_S1_cell_52,Goblet cells,0.18044999346620014
IDA020_S1_cell_53,Mast cells,0.9462333173295113
IDA020_S1_cell_54,Ionocytes,0.9849064627395501
IDA020_S1_cell_55,T cells,0.7120501477082548
IDA020_S1_cell_58,T cells,0.7252290399134085
IDA020_S1_cell_59,T cells,0.7104461630695104
IDA020_S1_cell_60,Goblet cells,0.17176162774556347
IDA020_S1_cell_61,Goblet cells,0.483505845901322
IDA020_S1_cell_63,Secretory cells (HLA-DQA1),0.6286081921031983
IDA020_S1_cell_64,MT gene enriched cells,-0.03299761001679422
IDA020_S1_cell_67,Secretory cells (HLA-DQA1),0.6909353195917572
IDA020_S1_cell_68,Maturing ciliated cells,0.9195144271447997
IDA020_S1_cell_70,Secretory cells (HLA-DQA1),0.6953973164065655
IDA020_S1_cell_71,Secretory cells (HLA-DQA1),0.359216004030452
IDA020_S1_cell_72,Secretory cells (HLA-DQA1),0.7111867553547163
IDA020_S1_cell_73,Goblet cells,0.2756126387105703
IDA020_S1_cell_74,Goblet cells,-0.07461029683025702
IDA020_S1_cell_76,Mast cells,0.9514272534751042
IDA020_S1_cell_77,T cells,0.6337182436626658
IDA020_S1_cell_79,Goblet cells,0.20538408162313088
IDA020_S1_cell_80,T cells,0.713606419321761
IDA020_S1_cell_83,Secretory cells (HLA-DQA1),0.6444631233201679
IDA020_S1_cell_87,T cells,0.7405576604653726
IDA020_S1_cell_88,Secretory cells (HLA-DQA1),0.7220283074103391
IDA020_S1_cell_90,Goblet cells,0.23278374512087535
IDA020_S1_cell_91,Goblet cells,0.1876832767241223
IDA020_S1_cell_93,Mast cells,0.9535142910619686
IDA020_S1_cell_94,Mast cells,0.9426223853539044
IDA020_S1_cell_95,MT gene enriched cells,-0.014409841090526213
IDA020_S1_cell_96,Goblet cells,-0.029112306972140282
IDA005_S2_cell_4,Suprabasal cells,0.7511743618532082
IDA005_S2_cell_5,Suprabasal cells,0.7804056546772066
IDA005_S2_cell_6,Neutrophils & macrophages,0.8684849961115556
IDA005_S2_cell_7,Basal II cells,0.6675484600657007
IDA005_S2_cell_8,Suprabasal cells,0.7648471523889412
IDA005_S2_cell_9,Suprabasal cells,0.6309904302612438
IDA005_S2_cell_11,Suprabasal cells,0.7802422417931075
IDA005_S2_cell_12,Suprabasal cells,0.6095922138886632
IDA005_S2_cell_13,Suprabasal cells,0.7663049969471066
IDA005_S2_cell_14,Suprabasal cells,0.7787609977701756
IDA005_S2_cell_15,Suprabasal cells,0.7747127401768164
IDA005_S2_cell_16,Suprabasal cells,0.7303264805620745
IDA005_S2_cell_17,Ciliated cells,0.953695622918873
IDA005_S2_cell_18,Suprabasal cells,0.761896903134832
IDA005_S2_cell_19,Suprabasal cells,0.7707145300277233
IDA005_S2_cell_20,T cells,0.7180477197783232
IDA005_S2_cell_21,Ionocytes,0.9851135772391558
IDA005_S2_cell_23,T cells,0.44516804105157265
IDA005_S2_cell_24,Suprabasal cells,0.778479930885414
IDA005_S2_cell_25,Ciliated cells,0.9571730792976111
IDA005_S2_cell_26,Suprabasal cells,0.7628355614954577
IDA005_S2_cell_27,T cells,0.744715325785283
IDA005_S2_cell_29,Neutrophils & macrophages,0.8636520355926457
IDA005_S2_cell_31,Goblet cells,0.472719968626001
IDA005_S2_cell_32,Dendritic cells,0.8894120281460396
IDA005_S2_cell_33,Suprabasal cells,0.7340849196145531
IDA005_S2_cell_34,Suprabasal cells,0.7751505518295212
IDA005_S2_cell_35,Suprabasal cells,0.6437032839271339
IDA005_S2_cell_36,Suprabasal cells,0.7609887084743757
IDA005_S2_cell_37,T cells,0.6083437902198298
IDA005_S2_cell_38,Maturing ciliated cells,0.9244638102434906
IDA005_S2_cell_39,Suprabasal cells,0.7791416167975279
IDA005_S2_cell_40,Suprabasal cells,0.7578730304657915
IDA005_S2_cell_41,Suprabasal cells,0.6503733178105389
IDA005_S2_cell_43,Suprabasal cells,0.7266281374578623
IDA005_S2_cell_45,T cells,0.7104511764979864
IDA005_S2_cell_46,T cells,0.6767366511037592
IDA005_S2_cell_48,Suprabasal cells,0.7059860249835743
IDA005_S2_cell_49,Suprabasal cells,0.7804806570266859
IDA005_S2_cell_50,Suprabasal cells,0.6348135525725942
IDA005_S2_cell_51,T cells,0.7164815937873332
IDA005_S2_cell_52,Goblet cells,0.44475073788518105
IDA005_S2_cell_53,T cells,0.7242068541350349
IDA005_S2_cell_55,Suprabasal cells,0.7807209000707933
IDA005_S2_cell_56,Suprabasal cells,0.7473993326492946
IDA005_S2_cell_57,Suprabasal cells,0.7421211892420918
IDA005_S2_cell_59,T cells,0.6561043757324058
IDA005_S2_cell_60,Suprabasal cells,0.6866619497953074
IDA005_S2_cell_61,Suprabasal cells,0.7767711159825794
IDA005_S2_cell_62,Basal II cells,0.6536836795981168
IDA005_S2_cell_64,T cells,0.7391443379973237
IDA005_S2_cell_65,T cells,0.3506683013896176
IDA005_S2_cell_66,T cells,0.6448798563422866
IDA005_S2_cell_70,T cells,0.7426335254300603
IDA005_S2_cell_72,Suprabasal cells,0.76840678440195
IDA005_S2_cell_73,T cells,0.6722170288558871
IDA005_S2_cell_75,Suprabasal cells,0.7241749846031186
IDA005_S2_cell_78,Goblet cells,0.14457351092087423
IDA005_S2_cell_79,T cells,0.6460254947897188
IDA005_S2_cell_80,T cells,0.6992039238709721
IDA005_S2_cell_81,Suprabasal cells,0.7719541761223182
IDA005_S2_cell_82,Goblet cells,0.3515101345784997
IDA005_S2_cell_83,Suprabasal cells,0.6015984964889937
IDA005_S2_cell_84,T cells,0.7286353881103272
IDA005_S2_cell_87,Suprabasal cells,0.7763594400056323
IDA005_S2_cell_88,Suprabasal cells,0.7596870033319569
IDA005_S2_cell_89,Suprabasal cells,0.7799582427097637
IDA005_S2_cell_90,Suprabasal cells,0.7620525136622625
IDA005_S2_cell_92,T cells,0.7450953139481505
IDA005_S2_cell_93,Suprabasal cells,0.7763076937188256
IDA005_S2_cell_94,Suprabasal cells,0.76887209916086
IDA005_S2_cell_95,T cells,0.7430643207384593
IDA005_S2_cell_96,T cells,0.7174857383485311
IDA006_S2_cell_2,Goblet cells,0.045529788613539526
IDA006_S2_cell_3,Neutrophils & macrophages,0.8418851992454486
IDA006_S2_cell_4,Ciliated cells,0.9601857621184133
IDA006_S2_cell_5,Goblet cells,0.27297113909012494
IDA006_S2_cell_6,Ciliated cells,0.958414163007122
IDA006_S2_cell_7,T cells,0.7383038720446208
IDA006_S2_cell_8,Club cells,0.6123283359951042
IDA006_S2_cell_9,Basal cells,0.60186619426012
IDA006_S2_cell_10,Goblet cells,0.11455538432061926
IDA006_S2_cell_12,Ciliated cells,0.9477250119808
IDA006_S2_cell_13,T cells,0.7409510264038532
IDA006_S2_cell_14,Basal II cells,0.603633204166543
IDA006_S2_cell_15,Basal cells,0.6764917180569007
IDA006_S2_cell_16,Ciliated cells,0.9578813823345872
IDA006_S2_cell_17,T cells,0.6974039230835057
IDA006_S2_cell_19,Basal cells,0.42279145073082575
IDA006_S2_cell_20,MT gene enriched cells,-0.029376049191609053
IDA006_S2_cell_21,T cells,0.690961007928728
IDA006_S2_cell_22,Goblet cells,0.15833145152866382
IDA006_S2_cell_23,Ciliated cells,0.9362391933999848
IDA006_S2_cell_24,NK cells,0.7297255381288269
IDA006_S2_cell_25,Goblet cells,0.19431905405320088
IDA006_S2_cell_26,Goblet cells,0.4574214324574172
IDA006_S2_cell_28,Ciliated cells,0.9419258667909188
IDA006_S2_cell_29,Goblet cells,0.43632801677042343
IDA006_S2_cell_30,T cells,0.6855440608160239
IDA006_S2_cell_31,Goblet cells,0.34554448983932184
IDA006_S2_cell_32,Goblet cells,0.4370317638230753
IDA006_S2_cell_33,Mast cells,0.9535473567334788
IDA006_S2_cell_34,Goblet cells,0.06923489305672233
IDA006_S2_cell_35,T cells,0.720911067624324
IDA006_S2_cell_36,Goblet cells,0.08941828119981463
IDA006_S2_cell_37,Goblet cells,0.19731310811316197
IDA006_S2_cell_38,Mast cells,0.9514644559489311
IDA006_S2_cell_40,Ciliated cells,0.9617819816241673
IDA006_S2_cell_41,T cells,0.7292938432063147
IDA006_S2_cell_42,Peri-goblet cells,0.273724315745821
IDA006_S2_cell_43,MT gene enriched cells,-0.262700015171566
IDA006_S2_cell_44,T cells,0.7285117942668744
IDA006_S2_cell_45,MT gene enriched cells,-0.7931401391361371
IDA006_S2_cell_46,MT gene enriched cells,-0.1156940867882252
IDA006_S2_cell_47,MT gene enriched cells,-0.0423585420982416
IDA006_S2_cell_48,Ciliated cells,0.9365784198014966
IDA006_S2_cell_49,Ionocytes,0.9819666391139993
IDA006_S2_cell_50,Goblet cells,-0.3770482714410163
IDA006_S2_cell_51,Peri-goblet cells,0.19299221153985513
IDA006_S2_cell_52,T cells,0.7245913165305004
IDA006_S2_cell_53,Ciliated cells,0.9385057085627089
IDA006_S2_cell_54,Basal II cells,0.565572547371208
IDA006_S2_cell_55,Peri-goblet cells,-0.21141876507762009
IDA006_S2_cell_56,Peri-goblet cells,-0.343062935441852
IDA006_S2_cell_57,Dendritic cells,0.8889041478409356
IDA006_S2_cell_58,Goblet cells,0.028038971085877367
IDA006_S2_cell_59,NK cells,0.7265141517644325
IDA006_S2_cell_60,Ciliated cells,0.9530243502285994
IDA006_S2_cell_61,MT gene enriched cells,-0.19130470823570372
IDA006_S2_cell_63,Goblet cells,0.4366391221191796
IDA006_S2_cell_64,Peri-goblet cells,0.024346072613520515
IDA006_S2_cell_65,Basal cells,0.5003600475751814
IDA006_S2_cell_66,Ciliated cells,0.9533678487424582
IDA006_S2_cell_67,Basal cells,0.5573667979100844
IDA006_S2_cell_68,MT gene enriched cells,-0.3024324927372618
IDA006_S2_cell_69,NK cells,0.7199008324743601
IDA006_S2_cell_73,Basal cells,0.5581296718278543
IDA006_S2_cell_74,Peri-goblet cells,-0.4784894144145097
IDA006_S2_cell_75,T cells,0.7383578831503752
IDA006_S2_cell_76,Goblet cells,0.1768709065357944
IDA006_S2_cell_77,Basal cells,0.5674153504611953
IDA006_S2_cell_78,Basal cells,0.6082298416063654
IDA006_S2_cell_79,T cells,0.7443288079356618
IDA006_S2_cell_80,Goblet cells,0.2640391601838541
IDA006_S2_cell_81,Basal cells,0.5836692823585087
IDA006_S2_cell_82,Neutrophils & macrophages,0.8347616731510319
IDA006_S2_cell_83,T cells,0.2942811516231554
IDA006_S2_cell_84,T cells,0.32858575442354004
IDA006_S2_cell_86,Goblet cells,0.23619154149844035
IDA006_S2_cell_87,Basal cells,0.5641493067050682
IDA006_S2_cell_88,Mast cells,0.9536620928055243
IDA006_S2_cell_89,Basal cells,0.613311476899771
IDA006_S2_cell_90,Ciliated cells,0.9490520892932256
IDA006_S2_cell_91,T cells,0.1429821824686303
IDA006_S2_cell_92,Goblet cells,0.1457312239871006
IDA006_S2_cell_93,T cells,0.6687833410187225
IDA006_S2_cell_94,NK cells,0.5932404722800413
IDA006_S2_cell_95,NK cells,0.709811049192612
IDA006_S2_cell_96,Goblet cells,0.054150981528169585
IDA007_S2_cell_2,Peri-goblet cells,-0.1652690862086418
IDA007_S2_cell_3,T cells,0.15428008471901336
IDA007_S2_cell_4,NK cells,0.7067435767244742
IDA007_S2_cell_5,Goblet cells,0.49430867177313587
IDA007_S2_cell_6,Neutrophils & macrophages,0.7894905392846403
IDA007_S2_cell_7,MT gene enriched cells,-0.27027455531922634
IDA007_S2_cell_9,MT gene enriched cells,-0.05529246849165631
IDA007_S2_cell_10,MT gene enriched cells,-0.13719313955545595
IDA007_S2_cell_13,Neutrophils & macrophages,0.844496024198266
IDA007_S2_cell_15,Neutrophils & macrophages,0.7581748704343514
IDA007_S2_cell_17,Dendritic cells,0.8833667185263413
IDA007_S2_cell_18,NK cells,0.40322746178270025
IDA007_S2_cell_19,Neutrophils & macrophages,0.7747897197322374
IDA007_S2_cell_21,NK cells,0.7285193115801322
IDA007_S2_cell_22,NK cells,0.6643989175787399
IDA007_S2_cell_24,MT gene enriched cells,-0.07817119465093894
IDA007_S2_cell_25,Peri-goblet cells,0.40540769464284493
IDA007_S2_cell_28,Goblet cells,0.5030924058949037
IDA007_S2_cell_29,Dendritic cells,0.8057329258767142
IDA007_S2_cell_31,NK cells,0.7147062865756035
IDA007_S2_cell_32,MT gene enriched cells,-0.8071406705498343
IDA007_S2_cell_33,MT gene enriched cells,-0.10444193915173185
IDA007_S2_cell_38,Goblet cells,0.4625750236057855
IDA007_S2_cell_39,Basal cells,0.6538128494690388
IDA007_S2_cell_40,Peri-goblet cells,0.3697211979842459
IDA007_S2_cell_41,NK cells,0.5965519778747091
IDA007_S2_cell_42,Neutrophils & macrophages,0.8376086114630962
IDA007_S2_cell_43,NK cells,0.695790899131617
IDA007_S2_cell_44,NK cells,0.7076380327454512
IDA007_S2_cell_45,Ciliated cells,0.9321381887662136
IDA007_S2_cell_51,Peri-goblet cells,0.5677069634272705
IDA007_S2_cell_52,NK cells,0.29318542407290327
IDA007_S2_cell_53,Neutrophils & macrophages,0.725586346572272
IDA007_S2_cell_54,NK cells,-0.04372320420162054
IDA007_S2_cell_55,NK cells,0.5893790789524594
IDA007_S2_cell_56,T cells,0.3142863083933871
IDA007_S2_cell_58,MT gene enriched cells,-0.21212311624079627
IDA007_S2_cell_59,MT gene enriched cells,-0.18783598221952807
IDA007_S2_cell_61,Basal cells,0.6154583829261997
IDA007_S2_cell_62,Peri-goblet cells,0.539642012332112
IDA007_S2_cell_63,Basal II cells,0.5768655419006138
IDA007_S2_cell_64,MT gene enriched cells,-0.8126009907033281
IDA007_S2_cell_65,T cells,0.32253823213302873
IDA007_S2_cell_66,MT gene enriched cells,-0.10310264753071129
IDA007_S2_cell_67,Mast cells,0.9406043546268175
IDA007_S2_cell_68,NK cells,0.7282809890575085
IDA007_S2_cell_69,NK cells,0.7067367613347172
IDA007_S2_cell_72,MT gene enriched cells,-0.1568382377635888
IDA007_S2_cell_75,Goblet cells,0.541586162965919
IDA007_S2_cell_76,T cells,0.42833638472620444
IDA007_S2_cell_77,NK cells,0.6780726500633424
IDA007_S2_cell_78,Neutrophils & macrophages,0.8550084090715278
IDA007_S2_cell_79,NK cells,0.642640722880351
IDA007_S2_cell_80,T cells,0.2296359799454651
IDA007_S2_cell_82,MT gene enriched cells,-0.0836717916302096
IDA007_S2_cell_83,MT gene enriched cells,-0.17688013492483287
IDA007_S2_cell_84,MT gene enriched cells,-0.11012611026332685
IDA007_S2_cell_85,MT gene enriched cells,-0.10953174125386553
IDA007_S2_cell_87,Peri-goblet cells,-0.5468836969987348
IDA007_S2_cell_88,Dendritic cells,0.7873963421967166
IDA007_S2_cell_90,NK cells,0.6239133684422762
IDA007_S2_cell_91,MT gene enriched cells,-0.15467253031242634
IDA007_S2_cell_92,NK cells,0.7304340086170145
IDA007_S2_cell_93,T cells,0.6988990908485126
IDA007_S2_cell_95,MT gene enriched cells,-0.10244753851590063
IDA007_S2_cell_96,MT gene enriched cells,-0.11003210110424605
IDA008_S2_cell_1,NK cells,0.4286702783472163
IDA008_S2_cell_3,Neutrophils & macrophages,0.8608342915021249
IDA008_S2_cell_4,Club cells,0.2231141615030945
IDA008_S2_cell_5,Basal II cells,0.5939413075026672
IDA008_S2_cell_6,Basal cells,0.413004183638324
