cluster_order
Mast cells
Dendritic cells
Neutrophils & macrophages
NK cells
MT gene enriched cells
T cells
Suprabasal cells
Basal cells
Basal II cells
Ionocytes
Peri-goblet cells
Secretory cells (HLA-DQA1)
Goblet cells
Club cells
Maturing ciliated cells
Ciliated cells
