cluster,n_cells,percentage
Diff. Keratinocytes,1399,9.05
EpSC and undiff. progenitors,1187,7.68
Erythrocytes,310,2.01
Lymphatic EC,294,1.9
Macrophages+DC,2228,14.41
Melanocytes,123,0.8
Mesenchymal fibroblasts,594,3.84
Pericytes,1220,7.89
Pro-inflammatory fibroblasts,1793,11.6
Secretory-papillary fibroblasts,1675,10.84
Secretory-reticular fibroblasts,1886,12.2
T cells,1281,8.29
Vascular EC,1467,9.49
