clusterName,gene
Erythrocytes,ENSG00000244734
T cells,ENSG00000167286
T cells,ENSG00000169442
Macrophages+DC,ENSG00000196735
Macrophages+DC,ENSG00000011600
Mesenchymal fibroblasts,ENSG00000106819
Secretory-papillary fibroblasts,ENSG00000154856
Secretory-papillary fibroblasts,ENSG00000145423
Secretory-reticular fibroblasts,ENSG00000124107
Pro-inflammatory fibroblasts,ENSG00000107562
Pro-inflammatory fibroblasts,ENSG00000163734
Pericytes,ENSG00000149591
Pericytes,ENSG00000107796
Vascular EC,ENSG00000213088
Lymphatic EC,ENSG00000160180
Lymphatic EC,ENSG00000137077
Melanocytes,ENSG00000080166
Melanocytes,ENSG00000120215
Diff. Keratinocytes,ENSG00000188508
Diff. Keratinocytes,ENSG00000167656
EpSC and undiff. progenitors,ENSG00000065618
EpSC and undiff. progenitors,ENSG00000230937
