cluster,n_cells,percentage
acinar,219,10.32
alpha,812,38.25
beta,448,21.1
delta,193,9.09
duct,246,11.59
endothelial,21,0.99
mesenchymal,78,3.67
pp,98,4.62
unclear,8,0.38
