,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
ENSG00000162511,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000156599,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
ENSG00000123843,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000168961,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1
ENSG00000116690,0.1,0.1,0.1,3.1,0.1,0.1,0.1,0.1,0.1
ENSG00000169032,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.6
ENSG00000077721,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.6
ENSG00000147862,1.1,0.1,0.1,0.1,2.1,2.1,0.1,0.1,0.1
ENSG00000131507,1.1,2.1,2.1,2.1,1.1,1.1,1.1,2.1,0.6
ENSG00000171928,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000153560,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000198848,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000181061,1.1,2.1,0.1,0.1,1.1,1.1,1.1,0.1,1.1
ENSG00000168172,1.1,1.1,1.1,1.1,1.1,2.1,1.1,1.1,0.1
ENSG00000111880,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000274211,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000163499,0.1,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000175066,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000227051,0.1,0.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1
ENSG00000166887,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000138794,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000115263,10.1,493.1,16.1,17.1,12.1,10.1,11.1,23.1,15.6
ENSG00000139263,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000135318,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000143751,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000175582,0.1,0.1,1.1,0.1,1.1,1.1,0.6,0.1,0.1
ENSG00000183337,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000185909,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000128656,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000214160,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
ENSG00000115520,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000164182,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000104413,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000078053,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000183495,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000101337,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000188786,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000198053,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000047932,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000160294,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000135069,1.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.6
ENSG00000133059,0.1,0.1,1.1,1.1,0.1,1.1,0.1,1.1,0.1
ENSG00000231074,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000170677,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000007944,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
ENSG00000070961,0.1,1.1,1.1,1.1,0.1,1.1,1.1,1.1,1.1
ENSG00000122970,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000139055,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000115112,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000163735,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000102225,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000028839,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000155304,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000197989,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000082438,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
ENSG00000180979,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.6
ENSG00000135387,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.1
ENSG00000164237,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000090054,0.1,0.1,0.1,1.1,1.1,1.1,0.1,0.1,0.1
ENSG00000079999,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000136750,0.1,1.1,3.1,4.1,0.1,0.1,0.1,4.1,0.1
ENSG00000177646,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000135823,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000213639,1.1,1.1,1.1,1.1,2.1,1.1,0.1,1.1,1.5999999
ENSG00000046647,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000163931,1.1,0.1,1.1,0.1,1.1,1.1,2.1,0.1,1.0999999
ENSG00000061273,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ENSG00000154874,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000254635,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
ENSG00000156671,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000241553,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000082212,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000145425,8.1,5.1,7.1,6.1,5.1,5.1,8.1,5.1,5.1
ENSG00000104427,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000134108,0.1,0.1,1.1,1.1,1.1,2.1,1.1,0.1,1.1
ENSG00000172572,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
