cluster,n_cells,percentage
Acinar-mix,3433,2.82
Activated stellate cells,2066,1.69
Alpha cells,17540,14.39
Beta cells,14594,11.97
Delta cells,3662,3.0
Ductal cells,18107,14.85
Endothelial cells,2106,1.73
Gamma cells,336,0.28
Idling acinar cells,35308,28.96
MUC5B+ ductal cells,62,0.05
Macrophages,551,0.45
Quiescent stellate cells,142,0.12
Secretory acinar cells,21444,17.59
Stressed beta cells,2565,2.1
