,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
ENSG00000121410,0.0,0.0,0.4796903,0.42123884,0.4412285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46123344
ENSG00000127837,0.0,0.0,0.422096,0.0,0.36683145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006071,0.0,0.0,0.0,0.79556596,0.4692044,0.0,0.0,1.0504466,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25357616,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000146386,0.0,0.0,0.0,0.3559735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37883005
ENSG00000228262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1038404,0.0,0.0,0.0,0.0
ENSG00000167315,0.0,0.0,0.0,0.0,0.19948605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072778,0.0,0.0,0.69641316,0.3719827,0.5336642,0.0,0.0,0.5619513,0.0,0.0,0.0,0.0,0.0,0.54968554
ENSG00000075239,0.0,0.0,0.0,0.38497105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131473,0.0,0.0,0.0,0.35437995,0.0,0.0,0.0,0.6021112,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112304,0.0,0.0,0.0,0.0,0.25260746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143727,0.0,0.0,0.9595171,0.630393,0.7577778,0.0,0.0,0.3331004,0.0,0.0,0.0,0.0,0.0,0.5211131
ENSG00000107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3861609,0.0,0.0
ENSG00000075624,0.0,0.0,2.859849,1.9451144,2.5762396,0.0,0.0,2.0130467,0.0,0.0,0.0,0.0,0.0,1.7379704
ENSG00000072110,0.0,0.0,0.42573503,0.0,0.41043442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131966,0.0,0.0,0.5093765,0.23167226,0.37725133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37431034
ENSG00000138071,0.0,0.0,0.5033782,0.22593826,0.19544503,0.0,0.0,0.61613303,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115091,0.0,0.0,0.62306833,0.23534921,0.4904505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170634,0.0,0.0,0.0,0.0,0.28072384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160710,0.0,0.0,0.37858695,0.27987233,0.31451166,0.0,0.0,0.56248116,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141433,0.0,0.0,0.0,0.673117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49164355
ENSG00000205336,0.0,0.0,0.0,0.36077636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159346,0.0,0.0,0.4284109,0.38116837,0.25935775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42955074
ENSG00000130706,0.0,0.0,0.6407097,0.37529814,0.5964494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48489565
ENSG00000072364,0.0,0.0,0.0,0.1698398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169692,0.0,0.0,0.46976,0.32208133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.0,0.0,0.0,0.29838532,0.0,0.0,0.0,0.37393582,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135541,0.0,0.0,0.5581838,0.48785505,0.60676146,0.0,0.0,0.6075713,0.0,0.0,0.0,0.0,0.0,0.39720586
ENSG00000100591,0.0,0.0,0.0,0.0,0.2583456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3932654
ENSG00000146416,0.0,0.0,0.2786621,0.20095798,0.11523187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164022,0.0,0.0,0.50740916,0.22323112,0.43538237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106992,0.0,0.0,0.50450647,0.0,0.6116222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004455,0.0,0.0,0.6805641,0.42145503,0.46750137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28533486
ENSG00000147853,0.0,0.0,0.44347084,0.2572655,0.30916008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131016,0.0,0.0,0.0,0.0,0.5258242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170776,2.4374537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127914,1.7481267,0.0,0.655418,0.6493512,0.7743584,0.0,0.0,1.0168703,0.0,0.0,0.0,0.0,0.0,0.366471
ENSG00000174574,0.0,0.0,0.36378166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117448,0.0,0.0,0.54368067,0.41581807,0.5453369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41409752
ENSG00000053371,0.0,0.0,0.35775608,0.27876514,0.36711752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170017,0.0,0.0,0.41793385,0.37876472,0.4511246,0.0,0.0,0.48808986,0.0,0.0,0.0,0.0,0.0,0.0
