author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
Ascending vasa recta endothelium,0.17616180809499218,0.22693541587414442,0.2593597108013652,241
B cell,0.7382037755903124,0.20145282397554018,0.7856001355397427,947
CD4 T cell,-0.18910758760672583,0.23392359488210096,-0.17174932069038837,2305
CD8 T cell,0.18518108282298987,0.33860068570253554,0.30933116097400504,941
Connecting tubule,-0.04880377901371848,0.3922016378745533,0.17636404841399184,63
Descending vasa recta endothelium,-0.14122087563050212,0.19892584515137343,-0.13672083185511336,163
Distinct proximal tubule 1,0.16957544358161897,0.25012689776460273,0.26786402741426096,62
Distinct proximal tubule 2,-0.7453880538719345,0.11273493582026331,-0.7632703920178978,57
Epithelial progenitor cell,-0.06957786903690016,0.22233273304864132,-0.04671913752909562,188
Fibroblast,-0.1407886468388799,0.3027928522418207,-0.026764188803119128,10
Glomerular endothelium,0.7388394158486055,0.17357350701963967,0.7923464568704413,596
Indistinct intercalated cell,-0.11832611638776837,0.25502644967275445,-0.08002933217552136,24
MNP-a/classical monocyte derived,0.05250865366884116,0.355897499745002,0.21281559585320436,340
MNP-b/non-classical monocyte derived,-0.03818648530843623,0.1923397492462795,-0.025306404763986285,297
MNP-c/dendritic cell,-0.2326292180004194,0.09766432966296676,-0.22779369698344235,172
MNP-d/Tissue macrophage,0.14361851880035686,0.15137168437376552,0.19690264892861706,73
Mast cell,0.6888268468821668,0.19557657214944418,0.7804177094990323,40
Myofibroblast,0.6963897847853256,0.15494073913703374,0.7729668552283421,115
NK cell,0.35120738570884685,0.3845345609457531,0.5592581976985177,1150
NKT cell,0.2149025131141576,0.34886986791715685,0.3421838799645496,712
Neutrophil,0.09739834867479279,0.2027823153566173,0.19643938408226266,39
Pelvic epithelium,0.7612561860240993,0.34723449447495636,0.8627956008093658,14
Peritubular capillary endothelium 1,0.010566667265462093,0.23709830542054014,0.07597841165839131,653
Peritubular capillary endothelium 2,0.20642393634059097,0.21620171796884086,0.28425862257355744,163
Plasmacytoid dendritic cell,0.46265528989500193,0.41427334404278915,0.6657269340781677,18
Podocyte,0.8733623236282309,0.06641703974210364,0.9038677503506187,23
Principal cell,-0.1990544573355545,0.2950683203250695,-0.06492477031818644,80
Proliferating Proximal Tubule,-0.009842606297064157,0.07190567761486227,-0.025544980546355848,57
Proximal tubule,0.008046634979994699,0.06811716709512321,0.018176717201101752,10202
Thick ascending limb of Loop of Henle,0.35390169739574145,0.19916387054173929,0.4228697717609233,302
Type A intercalated cell,0.2659658394585763,0.34709611461422557,0.47465390156050796,193
Type B intercalated cell,0.5574553579168842,0.2421262711728558,0.6529731418692422,103
