,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
ENSG00000035862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5888016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108679,0.0,0.0,0.0,0.0,0.9655255,0.0,0.95099634,0.0,0.0,0.8676576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0832441,0.0,0.0,0.0,0.42975694,0.8029921
ENSG00000141543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86959577,0.0,0.0,0.0,0.0,0.0,1.1339939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184009,2.0031424,0.0,0.0,2.3623042,2.7784305,2.1685889,2.8323526,2.2193952,3.0824587,2.502465,0.0,1.9094954,2.4167647,2.6559348,2.491132,0.0,0.0,2.533557,2.758695,2.3942695,0.0,2.83657,0.0,2.1655078,2.3906631,3.3547008,3.0975118,0.0,0.0,1.9636142,2.5675378,2.653382
ENSG00000185624,0.0,0.0,0.0,0.0,0.0,0.0,0.6810341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1266112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141552,0.0,0.0,0.0,0.0,0.90515715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2633946,0.0,0.0,0.0,1.1161381,0.87066686
ENSG00000169738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123639,0.0,0.0,0.9418894
ENSG00000173762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4065785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0151882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101608,2.9376438,1.9976152,2.554855,2.6309242,1.3462977,2.1229374,2.0353718,1.8277884,1.9797537,2.311395,1.9737649,0.0,2.0167677,2.236076,1.6288099,0.0,0.0,1.8732845,2.8566728,2.8007083,0.0,0.0,2.7378905,2.317285,2.7772436,2.4695103,2.0968454,0.0,0.0,0.0,1.2464516,1.4652482
ENSG00000118680,2.5860686,0.0,0.0,0.0,2.0331643,2.0709567,2.1546159,2.0212734,2.3856611,0.0,2.4445128,2.5033545,0.0,1.8413492,1.3163798,0.0,0.0,1.684392,0.0,1.8502235,0.0,0.0,2.4015396,2.3355255,1.5851696,2.3398228,2.3064332,0.0,0.0,2.3618884,2.0989265,2.075514
ENSG00000177426,0.0,0.0,0.0,0.0,0.0,0.0,0.8265789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178127,0.0,0.0,0.0,0.0,1.2790132,0.0,0.0,0.0,0.0,0.0,0.0,0.93131834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457976,0.0,0.46735433,0.0,0.0,0.0,1.5822424,1.3153443
ENSG00000101745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99921507,1.2670534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128791,0.0,0.0,0.0,0.0,0.6092966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16228499,0.0,0.0,0.0,0.0,0.0
ENSG00000017797,0.0,0.0,0.0,0.0,1.9659128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6953187,0.0,0.0,0.0,0.0,0.0
ENSG00000101558,0.0,0.0,0.0,0.0,1.1856236,0.0,0.97379786,0.0,0.0,1.1433159,0.0,0.75550693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842125,0.0,0.95047057,0.0,0.0,0.0,1.407378,1.2967191
