filename,s3_path
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_2D_projection.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_2D_projection.html
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_2D_projection.svg,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_2D_projection.svg
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_X_umap_dataset_summary.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_X_umap_dataset_summary.csv
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_adata_filtered.h5ad,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_adata_filtered.h5ad
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_annotation.json,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_annotation.json
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores.csv
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores.pkl
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores_symbols.csv,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores_symbols.csv
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores_symbols.pkl,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_binary_scores_symbols.pkl
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_f_score.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_f_score.html
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_onTarget.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_onTarget.html
bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_precision.html,s3://lifebit-user-data-6941eed90a4dd7a1d1026d7a/deploit/teams/69d8dd1e5d3e1f8c350e006f/users/68af3d99c99eb7bd2ff47bc8/projects/69f80768ca774c668fbaaed8/jobs/69f8ca495e58f854e0b3e1ae/results/bone_marrow_Dominguez_Conde_Science_2022_Manually_curated_celltype_X_umap_04d255_boxplot_precision.html
