cluster,n_cells,percentage
ASDC,552,0.21
BFU-E,6554,2.49
Basophilic Erythroblast,5253,2.0
CD4 Central Memory,12152,4.62
CD4 Effector Memory,7361,2.8
CD4 Naive,24063,9.14
CD4 Regulatory,1538,0.58
CD8 Central Memory,2458,0.93
CD8 Effector Memory 1,3360,1.28
CD8 Effector Memory 2,8486,3.22
CD8 Naive,8502,3.23
CD8 Tissue Resident Memory,1478,0.56
CD14 Mono,23957,9.1
CD16 Mono,4996,1.9
CFU-E,7318,2.78
CLP,1274,0.48
Cycling Progenitor,9366,3.56
Early GMP,11432,4.34
Early ProMono,5086,1.93
EoBasoMast Precursor,1930,0.73
GMP-Cycle,1993,0.76
GMP-Mono,4557,1.73
GMP-Neut,3518,1.34
HSC,12641,4.8
Immature B,1751,0.67
LMPP,6718,2.55
Large Pre-B,3488,1.33
Late ProMono,2993,1.14
MEP,4856,1.85
MLP,1242,0.47
MLP-II,506,0.19
MPP-MkEry,5771,2.19
MPP-MyLy,5591,2.12
Mature B,6730,2.56
Megakaryocyte,54,0.02
Megakaryocyte Precursor,2053,0.78
NK,5771,2.19
NK CD56high,1935,0.74
NK Proliferating,215,0.08
Orthochromatic Erythroblast,3734,1.42
Plasma Cell,2539,0.96
Polychromatic Erythroblast,5061,1.92
Pre-ProB,787,0.3
Pre-cDC,3704,1.41
Pre-pDC,2179,0.83
Pre-pDC Cycling,1880,0.71
Pro-B Cycling,1118,0.42
Pro-B VDJ,4909,1.87
Pro-Erythroblast,7390,2.81
Small Pre-B,1213,0.46
Stromal,213,0.08
T Proliferating,580,0.22
cDC1,370,0.14
cDC2,3714,1.41
pDC,4269,1.62
