cluster,count
CD4 Naive,24063
CD14 Mono,23957
HSC,12641
CD4 Central Memory,12152
Early GMP,11432
Cycling Progenitor,9366
CD8 Naive,8502
CD8 Effector Memory 2,8486
Pro-Erythroblast,7390
CD4 Effector Memory,7361
CFU-E,7318
Mature B,6730
LMPP,6718
BFU-E,6554
NK,5771
MPP-MkEry,5771
MPP-MyLy,5591
Basophilic Erythroblast,5253
Early ProMono,5086
Polychromatic Erythroblast,5061
CD16 Mono,4996
Pro-B VDJ,4909
MEP,4856
GMP-Mono,4557
pDC,4269
Orthochromatic Erythroblast,3734
cDC2,3714
Pre-cDC,3704
GMP-Neut,3518
Large Pre-B,3488
CD8 Effector Memory 1,3360
Late ProMono,2993
Plasma Cell,2539
CD8 Central Memory,2458
Pre-pDC,2179
Megakaryocyte Precursor,2053
GMP-Cycle,1993
NK CD56high,1935
EoBasoMast Precursor,1930
Pre-pDC Cycling,1880
Immature B,1751
CD4 Regulatory,1538
CD8 Tissue Resident Memory,1478
CLP,1274
MLP,1242
Small Pre-B,1213
Pro-B Cycling,1118
Pre-ProB,787
T Proliferating,580
ASDC,552
MLP-II,506
cDC1,370
NK Proliferating,215
Stromal,213
Megakaryocyte,54
