,ActMac,AntiB,Arterial,C-Hepato,C-Hepato2,CD3T-lrNK,CD4T,CD8T,CD8T-cNK,Chol,CholMucus,Fibroblast,Hepato,Hepato--Mac,I-Hepato,Kupffer,Kupffer--LSEC-Doublet,LAM-like,MHCII,MatB,Monocyte,NKT--Mac-Doublet,Neutrophil,P-Hepato,P-Hepato2,Prolif,Stellate,Tcell,cDC,cNK,cvEndo,cvLSEC,cvLSEC--T-Doublet,lrNK,pDC,ppLSEC
ENSG00000005022,0.8215198,0.0,0.0,0.46525303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25976542,0.0,0.0,0.6600062,0.6632942,0.0,0.5990279,0.0,0.7374093,0.0,0.0,0.0,0.0,0.0,0.7807031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005421,0.0,0.0,0.0,0.40937802,0.2988075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35684645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35353175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27684957,0.0
ENSG00000005471,0.0,0.0,0.0,0.0,0.18230957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33244452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21097569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007933,0.0,0.0,0.0,0.15662447,0.11373459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19382256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14576726,0.0
ENSG00000008018,0.35306677,0.0,0.0,0.28882205,0.09823018,0.0,0.0,0.0,0.0,0.0,0.5227922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008130,0.0,0.0,0.0,0.0,0.04027942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42764437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0,0.47275925,0.49586242,1.5989215,1.0004796,0.93904257,1.0503796,0.9577324,0.8915757,1.0408834,0.8830468,1.0785236,1.0999479,1.0603516,1.3088164,0.6689335,0.6695448,0.0,0.0,1.0098542,0.42843565,0.9177404,0.48264056,1.1102462,0.92234576,0.7603722,1.0537146,1.0685453,0.42417273,0.9527019,1.0079432,0.92066294,0.84174937,1.0187271,1.2053888,0.7141655
ENSG00000008517,0.0,0.0,0.0,0.0,0.13564274,1.009234,0.68941814,1.1039742,0.950145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6201197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61255234,0.0,0.0,0.0
ENSG00000008952,0.0,0.41208303,0.55844903,0.32046506,0.19869262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29903254,0.0,0.0,0.1652571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273786,0.29479674
ENSG00000008988,0.55709416,0.0,0.0,0.17308274,0.0,0.0,0.0,0.0,0.0,0.0,0.45773208,0.0,0.0,0.0,0.0,0.0,0.0,0.27954572,0.3798787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510996,0.0,0.0,0.0,0.0,0.0,0.2710451,0.0
ENSG00000009307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14951627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009724,0.0,0.0,0.0,0.4611938,0.4405297,0.0,0.0,0.0,0.0,0.24389425,0.0,0.0,0.47556478,0.5410881,0.39147213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44025123,0.0,0.0,0.0,0.33088225,0.0,0.0,0.0,0.0,0.0,0.0,0.2774462,0.0
