cluster,count
P-Hepato,10263
Monocyte,6729
CD8T,6236
CD4T,5501
Kupffer,5343
cNK,5152
MatB,4358
P-Hepato2,4214
lrNK,3824
cvLSEC,3507
Tcell,2489
LAM-like,2444
C-Hepato,2334
MHCII,2210
CD8T-cNK,2019
CD3T-lrNK,1919
NKT--Mac-Doublet,1885
I-Hepato,1850
Chol,1516
Fibroblast,1463
Stellate,1354
Neutrophil,1241
Arterial,1224
ppLSEC,1197
ActMac,1084
Prolif,904
cvEndo,778
AntiB,771
Hepato,752
Kupffer--LSEC-Doublet,748
cvLSEC--T-Doublet,707
C-Hepato2,609
RBC,473
pDC,446
MatB--CD4T-Doublet,385
cDC,354
CholMucus,317
Hepato--Mac,262
Mac--B-Doublet,232
Mac--Fibro-Doublet,187
MAST,116
MatB--RBC,111
CD4T--RBC-Doublet,57
cNK--RBC-Doublet,49
NKT,23
