Broad cell type,mean,std,median,count,q1,q3,f_score
Melanocyte,0.9234878037867646,0.19080764024298993,0.953032,272,0.9457042425,0.956249525,0.9285714285714286
Endothelial cell (lymphatic),0.8805143050511945,0.20562015409519926,0.9110166,293,0.896495,0.91978425,0.9487179487179488
Endothelial cell (vascular),0.809195192369863,0.23459633576075967,0.86409248,730,0.83242456,0.874681775,0.8705179282868526
Adipocyte,0.7843962380645162,0.3155617871673642,0.84499675,62,0.8321095900000001,0.8534907350000001,0.8157894736842105
Fibroblast,0.6644842241587902,0.33848780561186737,0.76930314,529,0.74116635,0.78006566,0.899491591709034
Immune (T cell),0.5414801737333333,0.5442028710324521,0.7425489,75,0.72954465,0.7502362149999999,0.6748466257668712
Immune (Langerhans),0.6260714639583334,0.36826372060338836,0.7359521499999999,48,0.7121739075,0.74446625,0.7954545454545454
Sweat gland cell,0.5697356632,0.3226119607812026,0.713032135,300,0.511185175,0.7403234675,0.8056478405315615
Epithelial cell (mature keratinocyte),0.5942794985282052,0.20111678247527998,0.6591909,195,0.565454,0.7114355750000001,0.7544141252006421
Epithelial cell (basal keratinocyte),0.3711383492270454,0.2816285000199738,0.5041413349999999,1320,0.298022305,0.5626684875,0.8221225710014948
Pericyte/SMC,0.3408276884408602,0.33547701129510404,0.463505295,186,0.42892020000000003,0.49770229499999996,0.7662538699690402
Sebaceous gland cell,0.15306837535913043,0.478615942627707,0.44409789,230,-0.29137491,0.475570555,0.894919168591224
Epithelial cell (suprabasal keratinocyte),0.009017352486921296,0.3018071699955311,0.08090418299999999,432,-0.1882086075,0.2566389025,0.3397212543554007
Immune (DC/macrophage),-0.16800886833057851,0.34452799882049223,-0.12591481,121,-0.35531446,0.17422722,0.7654320987654321
Epithelial cell (cornified keratinocyte),-0.33404414830555557,0.25175577180534164,-0.26349,72,-0.5702351475,-0.1038577425,0.8254716981132075
Unknown,-0.4248146748893806,0.15296230777081002,-0.443844915,452,-0.5052662375,-0.28052040749999996,0.694888178913738
Immune (mast cell),-0.623245001,0.22595242930816534,-0.48637998,10,-0.8502150625,-0.45359519,0.8333333333333334
