cluster,n_cells,percentage
Adipocyte,62,1.16
Endothelial cell (lymphatic),293,5.5
Endothelial cell (vascular),730,13.7
Epithelial cell (basal keratinocyte),1320,24.78
Epithelial cell (cornified keratinocyte),72,1.35
Epithelial cell (mature keratinocyte),195,3.66
Epithelial cell (suprabasal keratinocyte),432,8.11
Fibroblast,529,9.93
Immune (DC/macrophage),121,2.27
Immune (Langerhans),48,0.9
Immune (T cell),75,1.41
Immune (mast cell),10,0.19
Melanocyte,272,5.11
Pericyte/SMC,186,3.49
Sebaceous gland cell,230,4.32
Sweat gland cell,300,5.63
Unknown,452,8.49
