,2_Smooth muscle,3_EC arterial,3_Fibromyocytes,3_Lymphatic EC mature,3_Mast cells,4_Adventitial fibroblasts,4_Alveolar fibroblasts,4_Alveolar macrophages,4_B cells,4_Basal resting,4_CD4 T cells,4_CD8 T cells,4_Classical monocytes,4_DC2,4_Deuterosomal,4_EC general capillary,4_EC venous pulmonary,4_EC venous systemic,4_Ionocyte,4_Neuroendocrine,4_Peribronchial fibroblasts,4_Pericytes,4_Plasma cells,4_SMG duct,4_SMG mucous,4_Suprabasal,4_Tuft,Alveolar Mφ CCL3+,Club (nasal),Club (non-nasal),Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Interstitial Mφ perivascular,Monocyte-derived Mφ,Multiciliated (nasal),Multiciliated (non-nasal),None,SMG serous (bronchial),SMG serous (nasal),Unknown
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28386,0.69786364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.61915517,0.0,0.0,0.0,0.0,0.0,1.0761656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0676398,0.0,0.0,0.4299258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66538656,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16895925,0.0,0.0,0.35852748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36828575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63841593,0.0,0.0,0.0,0.0,0.0,0.0,2.046053,0.0,0.0,0.0,0.8199231,1.105594,0.0,0.0,0.0,0.7454314,0.8895783,0.813823,1.1970252,0.7154734,0.0,0.6126417,0.9760627,0.0,0.0,0.0,0.0,0.0,0.54842603,0.0,0.4042072,0.0,0.0
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44214445,0.0,0.0,0.0,0.0,1.5986459,0.0,1.2137356,0.0,0.0,0.0,0.6272874,1.0433611,0.0,0.0,0.0,0.51881886,0.0,0.56125486,0.64117897,0.76320714,0.0,0.6341745,0.94260603,0.0,0.0,0.0,0.0,0.0,0.6446899,0.0,0.42447853,0.0,0.0
ENSG00000160075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327268,0.0,0.0,0.0,0.0,0.0,0.0,0.82414854,0.0,0.0,0.0,0.0,0.5488194,0.0,0.0,0.0,0.6405934,0.0,0.4689754,0.82627356,0.6696261,0.0,0.3865848,0.70583427,0.0,0.0,0.0,0.0,0.0,0.24811156,0.0,0.26561752,0.0,0.0
ENSG00000078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51502055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2557251,0.0,0.34870324,0.66322577,0.0,0.0,0.0,0.48741373,0.20249118,0.40003973,0.0,0.0,0.0,0.0
ENSG00000142609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5615216,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420091,0.0,0.0,0.30011755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046104547,0.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56698084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29711142,0.6419146,0.0,0.3438745,0.67505157,0.0,0.0,0.0,0.0,0.0,0.2708444,0.0,0.0,0.5002028,0.0
ENSG00000078900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13870348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,2.471776,2.4209461,2.5327032,0.0,2.6590908,0.0,0.0,2.2173903,2.3642373,2.7900085,2.7324545,2.317388,2.8205047,2.7536666,2.3276486,2.8443415,2.071866,2.7505996,1.8850361,1.8191515,2.152965,0.0,1.2249644,2.3988326,2.5817277,2.7152476,2.8538837,1.8443174,1.8902669,1.7976972,1.6331161,1.6745725,0.99515593,1.6093313,1.7810785,0.80413944,1.4423677,2.0820618,2.1979158,2.173463,2.5695958
ENSG00000187017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956387,0.0,0.0,0.0,1.7615752,1.0123014,0.0,0.0,0.0,0.4311673,0.7772597,0.89729565,0.9582114,0.6979374,0.0,0.7430913,0.6303109,0.0,0.0,0.0,0.0,0.0,0.6399567,0.0,0.0,0.5002028,0.0
