Level_5,mean,std,median,count,q1,q3,f_score
4_B cells,0.847177256373472,0.04075735177286869,0.8524891818518148,12,0.8274299179593088,0.8830801480420059,0.4166666666666667
3_Mast cells,0.7775019464687851,0.31200108032723584,0.843058869297058,58,0.8366185945913781,0.84705689667167,0.569620253164557
4_CD8 T cells,0.7869030341705003,0.21537257541513166,0.8400918385074336,739,0.8143948946372122,0.8524295203393897,0.3515028018339277
4_SMG mucous,0.7773171699614847,0.17363818637873246,0.8276163435936826,259,0.7881483651562038,0.8458295252332568,0.8316151202749141
3_Fibromyocytes,0.7777480343361555,0.08143406038458048,0.8085553984700466,85,0.7603643509158909,0.8259429157128589,0.7673860911270983
4_SMG duct,0.668493238469234,0.2609276518083881,0.7690002205094236,60,0.657022180652949,0.7779925017897436,0.3409090909090909
4_Basal resting,0.7001978810324362,0.11028356746736,0.7322967787316765,10362,0.6698014141792289,0.7668530746565587,0.6140276120674961
4_Classical monocytes,0.3540917032952078,0.5155802154284488,0.6386231419050084,11,0.3146531248103456,0.6595425725202568,0.5263157894736842
4_Alveolar macrophages,0.4962655371296438,0.2978966956264296,0.633422135859774,14,0.4647573155375414,0.6723979332236181,0.7894736842105263
4_Suprabasal,0.5353461437526061,0.22525191872260905,0.6095434892407803,4464,0.4896680704083119,0.6696141828008844,0.6073281452658884
4_EC venous systemic,0.47883867677546693,0.2893441266481102,0.6044354797738603,1011,0.46122033290596176,0.6414378319430487,0.4875100725221595
4_Plasma cells,0.5340375872949018,0.280207965389545,0.5950079156859325,114,0.5640657333879885,0.6262424840250685,0.4533678756476684
4_Tuft,0.4076076731731431,0.2540853207798444,0.530653557866942,12,0.37468447149662515,0.5703456614459663,0.7142857142857143
SMG serous (bronchial),0.35228187036751735,0.2900867210601575,0.4889511917367765,1610,0.27287900466121295,0.5445309869025071,0.9076809453471196
4_Deuterosomal,0.3445272935415552,0.14598984291996345,0.41768326940213774,28,0.2411371479702121,0.4395399603234358,0.6666666666666666
4_Neuroendocrine,0.3073499111751059,0.29953281374690444,0.4111390886121854,23,0.3466120880485408,0.4527579286989679,0.9223300970873788
4_DC2,0.3278503112372776,0.2300813204140386,0.3960891504416034,242,0.31100673078185215,0.4561980889269376,0.4545454545454545
3_EC arterial,0.25603015844529625,0.19509492644427634,0.3094548663905305,36,0.23469700404315944,0.3775756229051528,0.4017857142857143
Alveolar Mφ CCL3+,0.18363997814836505,0.3325925281446455,0.29590732753984916,14,0.12522462076985635,0.4136120605883541,0.7894736842105263
4_CD4 T cells,0.10267587307677538,0.40385111646312954,0.2782640916485583,47,0.17063867349771544,0.3274406673173693,0.202020202020202
4_Adventitial fibroblasts,0.15395781878984424,0.19907781376505404,0.20523810734613296,6,0.175307290963115,0.230841710909509,0.5
Goblet (subsegmental),0.07494980829227713,0.18083155090804792,0.1593734284102056,23,-0.0210184245301932,0.21042843166899067,0.1851851851851851
4_Peribronchial fibroblasts,0.039785508546446705,0.2098872124397112,0.10125094642534545,224,-0.09739194080595293,0.22049756184930805,0.6169871794871795
4_Alveolar fibroblasts,-0.05178667546267637,0.4035679508677315,0.0293550678572671,7,-0.27177687437595865,0.25822244471739264,0.6666666666666666
Goblet (bronchial),-0.042870854846727105,0.14361687992173264,-0.0209744678791437,327,-0.14794182654004023,0.08348740544119079,0.5959475566150179
4_EC venous pulmonary,-0.20399826694395878,0.24508485343193828,-0.118415228277205,15,-0.4173427088167988,-0.0346573206481732,0.4347826086956521
Club (non-nasal),-0.1665579620315965,0.136351154159732,-0.15580787327974455,2436,-0.27333408869666875,-0.045502403191421445,0.6442039106145251
Multiciliated (non-nasal),-0.2088036379170527,0.24080884753533457,-0.164357350249594,9428,-0.3844459115467222,-0.011512221229129,0.9487216317150244
Interstitial Mφ perivascular,-0.2772943852645838,0.26688587255208307,-0.2824791545300488,73,-0.453747172457784,-0.0966143897411609,0.2752293577981651
4_EC general capillary,-0.34768688351481986,0.2018357731517294,-0.330666274451192,6,-0.4004584498252316,-0.28964966797319636,0.7142857142857143
Monocyte-derived Mφ,-0.38396407213136124,0.19458789591345005,-0.3573318589363367,20,-0.4560018360099507,-0.25394877515825504,0.25
Club (nasal),-0.35199123237254926,0.2524796445736232,-0.3891744151502914,105,-0.5616859381838444,-0.1187215070462806,0.0867052023121387
Goblet (nasal),-0.38478931559750346,0.1608902025076661,-0.3973218005898316,371,-0.44898073144753303,-0.2876740913674747,0.3129445234708393
SMG serous (nasal),-0.42856097296619466,0.21240876421197372,-0.4117510856022995,5,-0.6398729549955382,-0.2712955921327472,0.7692307692307693
Multiciliated (nasal),-0.2659580037355805,0.28757880747058306,-0.43183186512075755,12,-0.5070291022903882,0.0396001709478946,0.3125
2_Smooth muscle,-0.6048219623600906,0.21780818640963437,-0.6668989991579076,200,-0.7974540316357552,-0.42167157249694476,0.5043859649122807
4_Pericytes,-0.6906974776211222,0.07304004788785547,-0.7097699811245893,6,-0.7243026670902537,-0.6738195170953403,0.5769230769230769
Unknown,-0.7439539276074333,0.1351034489465538,-0.7322279928911766,2874,-0.8491431553942594,-0.6327945321370765,0.1296566837107377
3_Lymphatic EC mature,-0.8081325497019463,0.09344569170113498,-0.8098141743305682,6,-0.8857964075604949,-0.7326776275328286,0.7142857142857143
4_Ionocyte,-0.8233317801579659,0.13072823637019168,-0.879377268087912,19,-0.8965910500614254,-0.8511887668513509,0.4651162790697674
