Level_5,mean_silhouette,std_silhouette,median_silhouette,count
2_Smooth muscle,-0.6048219623600906,0.21780818640963437,-0.6668989991579076,200
3_EC arterial,0.2560301584452963,0.1950949264442764,0.30945486639053055,36
3_Fibromyocytes,0.7777480343361555,0.08143406038458048,0.8085553984700466,85
3_Lymphatic EC mature,-0.8081325497019463,0.09344569170113498,-0.8098141743305682,6
3_Mast cells,0.7775019464687851,0.31200108032723584,0.843058869297058,58
4_Adventitial fibroblasts,0.15395781878984427,0.19907781376505404,0.20523810734613296,6
4_Alveolar fibroblasts,-0.05178667546267634,0.4035679508677315,0.029355067857267183,7
4_Alveolar macrophages,0.4962655371296438,0.2978966956264296,0.633422135859774,14
4_B cells,0.847177256373472,0.04075735177286869,0.8524891818518148,12
4_Basal resting,0.7001978810324362,0.11028356746736,0.7322967787316765,10362
4_CD4 T cells,0.1026758730767754,0.40385111646312954,0.2782640916485583,47
4_CD8 T cells,0.7869030341705003,0.21537257541513163,0.8400918385074336,739
4_Classical monocytes,0.3540917032952078,0.5155802154284488,0.6386231419050084,11
4_DC2,0.32785031123727765,0.2300813204140386,0.3960891504416034,242
4_Deuterosomal,0.34452729354155526,0.14598984291996345,0.41768326940213774,28
4_EC general capillary,-0.3476868835148199,0.2018357731517294,-0.3306662744511921,6
4_EC venous pulmonary,-0.2039982669439588,0.24508485343193828,-0.11841522827720505,15
4_EC venous systemic,0.47883867677546693,0.28934412664811027,0.6044354797738603,1011
4_Ionocyte,-0.8233317801579659,0.13072823637019165,-0.879377268087912,19
4_Neuroendocrine,0.3073499111751059,0.2995328137469045,0.4111390886121854,23
4_Peribronchial fibroblasts,0.03978550854644671,0.20988721243971123,0.10125094642534549,224
4_Pericytes,-0.6906974776211222,0.07304004788785547,-0.7097699811245893,6
4_Plasma cells,0.5340375872949018,0.280207965389545,0.5950079156859325,114
4_SMG duct,0.668493238469234,0.2609276518083881,0.7690002205094236,60
4_SMG mucous,0.7773171699614847,0.17363818637873246,0.8276163435936826,259
4_Suprabasal,0.5353461437526061,0.22525191872260905,0.6095434892407803,4464
4_Tuft,0.4076076731731431,0.25408532077984447,0.530653557866942,12
Alveolar Mφ CCL3+,0.18363997814836508,0.33259252814464557,0.2959073275398493,14
Club (nasal),-0.3519912323725493,0.2524796445736232,-0.38917441515029144,105
Club (non-nasal),-0.16655796203159653,0.136351154159732,-0.15580787327974455,2436
Goblet (bronchial),-0.042870854846727105,0.14361687992173267,-0.020974467879143772,327
Goblet (nasal),-0.38478931559750346,0.16089020250766609,-0.3973218005898316,371
Goblet (subsegmental),0.07494980829227713,0.18083155090804792,0.15937342841020563,23
Interstitial Mφ perivascular,-0.2772943852645838,0.26688587255208307,-0.28247915453004885,73
Monocyte-derived Mφ,-0.38396407213136124,0.19458789591345005,-0.35733185893633673,20
Multiciliated (nasal),-0.26595800373558043,0.28757880747058306,-0.43183186512075755,12
Multiciliated (non-nasal),-0.20880363791705273,0.24080884753533457,-0.16435735024959403,9428
None,-0.7485581338274485,0.13768471614778313,-0.7683064262081678,45246
SMG serous (bronchial),0.35228187036751735,0.29008672106015754,0.48895119173677654,1610
SMG serous (nasal),-0.42856097296619466,0.21240876421197372,-0.4117510856022995,5
Unknown,-0.7439539276074333,0.13510344894655377,-0.7322279928911766,2874
