cluster,count
None,45246
4_Basal resting,10362
Multiciliated (non-nasal),9428
4_Suprabasal,4464
Unknown,2874
Club (non-nasal),2436
SMG serous (bronchial),1610
4_EC venous systemic,1011
4_CD8 T cells,739
Goblet (nasal),371
Goblet (bronchial),327
4_SMG mucous,259
4_DC2,242
4_Peribronchial fibroblasts,224
2_Smooth muscle,200
4_Plasma cells,114
Club (nasal),105
3_Fibromyocytes,85
Interstitial Mφ perivascular,73
4_SMG duct,60
3_Mast cells,58
4_CD4 T cells,47
3_EC arterial,36
4_Deuterosomal,28
Goblet (subsegmental),23
4_Neuroendocrine,23
Monocyte-derived Mφ,20
4_Ionocyte,19
4_EC venous pulmonary,15
Alveolar Mφ CCL3+,14
4_Alveolar macrophages,14
4_B cells,12
Multiciliated (nasal),12
4_Tuft,12
4_Classical monocytes,11
4_Alveolar fibroblasts,7
4_Adventitial fibroblasts,6
4_EC general capillary,6
3_Lymphatic EC mature,6
4_Pericytes,6
SMG serous (nasal),5
