,AntiB,C-Hepato,C-Hepato2,CD4T,Chol,Chol--Stellate-Doublet,Chol-Doublet,CholMucus,Fibroblast,Hepato-Doublet,I-Hepato,Kupffer,Kupffer-Doublet,Monocyte,P-Hepato,P-Hepato2,Prolif,Stellate,Stellate-Doublet,Tcell-Doublet,VSMC,aStellate,cvEndo,cvLSEC,cvLSEC--Mac,cvLSEC-Doublet,lrNK,ppLSEC
DPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYL3,0.0,0.0,0.0,0.0,0.0,0.0,0.9731798348603425,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.5042415195041232,0.507912050794672,0.0,0.25925925925925924,0.0,0.45548402821576156,0.3352914165567469,0.43113040924072266,0.535737607214186,0.4579732020696004,0.2838829998616819,0.48056193855073714,0.0,0.5293379911669979,0.4818053664984526,0.44370583693186444,0.3656918340259128,0.48230678284609757,0.48647206359439427,0.38200541778847025,0.3861736875993234,0.2957083693257085,0.0,0.2676345705986023,0.4600728463243555,0.0,0.0
GCLC,0.0,0.7481509866537871,0.0,0.0,0.0,0.0,0.680883906505726,0.0,0.0,0.7499687097690724,0.0,0.0,0.6904137553992095,0.0,0.6862610821370725,0.6666666666666666,0.6717386621016043,0.0,0.6704492900106642,0.6944750679863824,0.0,0.0,0.0,0.0,0.0,0.670841760105557,0.0,0.0
SEMA3F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CFTR,0.0,0.0,0.0,0.0,0.9093780473426536,0.9223819198431792,0.8888888888888888,0.9675280032334505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKIB1,0.0,0.40920420046205874,0.0,0.0,0.4905707460862619,0.4896340745466727,0.4971169696913825,0.45964485186117665,0.5280338194635179,0.4365286606329459,0.0,0.0,0.4160670991297121,0.0,0.40447307957543266,0.3827059578012537,0.441702112003609,0.0,0.42805399276592115,0.49331039411050304,0.37037037037037035,0.0,0.6087403275348522,0.5581171843740675,0.37512872616449994,0.4514209848863107,0.0,0.0
KRIT1,0.0,0.5850949419869317,0.0,0.0,0.0,0.7737264809785066,0.6303330659866333,0.0,0.5185185185185185,0.5971497385590164,0.0,0.0,0.597031052465792,0.0,0.5791570919531362,0.5629233629615219,0.5889517267545065,0.0,0.595895402961307,0.6084286570549011,0.5257793400022719,0.0,0.0,0.0,0.7104375274093063,0.5897426450694049,0.0,0.0
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.973201228512658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASP1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM176A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9551227622561984,0.956076635254754,0.9259259259259259,0.0,0.0
ALS2,0.0,0.7782947310694942,0.0,0.0,0.0,0.0,0.8236229640466196,0.0,0.0,0.8466226061185201,0.0,0.0,0.0,0.0,0.0,0.7917962184658757,0.7903886260809722,0.0,0.8046412136819627,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
