,AntiB,C-Hepato,C-Hepato2,CD4T,Chol,Chol--Stellate-Doublet,Chol-Doublet,CholMucus,Fibroblast,Hepato-Doublet,I-Hepato,Kupffer,Kupffer-Doublet,Monocyte,P-Hepato,P-Hepato2,Prolif,Stellate,Stellate-Doublet,Tcell-Doublet,VSMC,aStellate,cvEndo,cvLSEC,cvLSEC--Mac,cvLSEC-Doublet,lrNK,ppLSEC
BTBD7,0.0,0.18525997,0.0,0.0,0.0,0.09051539,0.2105099,0.2794276,0.0,0.19932626,0.0,0.0,0.13069141,0.0,0.171949,0.14709142,0.19249186,0.0,0.19985,0.0,0.3008747,0.0,0.48921943,0.29622164,0.3509693,0.21914193,0.0,0.3502787
AKAP8L,0.0,0.11821715,0.0,0.0,0.0,0.0,0.1466322,0.0,0.0,0.14597817,0.0,0.0,0.13069141,0.0,0.11709267,0.11249699,0.088610984,0.0,0.19728991,0.12795487,0.0,0.0,0.0,0.0,0.0,0.10588534,0.0,0.0
MBTD1,0.0,0.15564117,0.0,0.0,0.1426924,0.0,0.2105099,0.22698379,0.0,0.18951178,0.0,0.0,0.16922177,0.0,0.14213309,0.12103373,0.14115855,0.0,0.15370116,0.14040625,0.0,0.0,0.0,0.0,0.4018161,0.16330804,0.0,0.0
RNF216,0.0,0.0,0.0,0.0,0.0,0.0,0.12795348,0.0,0.1491693,0.15283716,0.0,0.0,0.11464013,0.0,0.0,0.09867506,0.14145896,0.0,0.13826072,0.17557237,0.1795479,0.0,0.0,0.0,0.31985623,0.13410528,0.0,0.0
TTC19,0.0,0.16842899,0.0,0.0,0.0,0.13570695,0.21815796,0.18471944,0.0,0.18529725,0.0,0.0,0.10132166,0.0,0.15229245,0.11624779,0.14300136,0.0,0.17708346,0.11566372,0.0,0.0,0.37056816,0.0,0.4018161,0.14237633,0.0,0.0
PTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05614249,0.0,0.0,0.0,0.0,0.0,0.0,0.14444527,0.0,0.0,0.08390076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666869,0.0,0.0,0.0,0.0,0.16761541,0.16310783,0.09072435,0.0,0.11786878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887776,0.0,0.0,0.0,0.0,0.0,0.0,0.11093952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18841822,0.0,0.0,0.0
PIK3C2A,0.0,0.24488115,0.0,0.0,0.0,0.28802276,0.23257783,0.2199404,0.13631651,0.24754667,0.21546811,0.0,0.2963985,0.0,0.24307162,0.18330184,0.23572966,0.0,0.20012406,0.21311596,0.31937575,0.0,1.0980138,0.9303796,0.3950807,0.45292217,0.0,0.93908197
RABGAP1,0.0,0.2758398,0.0,0.0,0.3577029,0.46987033,0.30959836,0.34057936,0.3275929,0.2815858,0.1715498,0.36521235,0.26909554,0.0,0.25233445,0.19346835,0.28254792,0.0,0.27328914,0.2826882,0.2838555,0.0,0.37759548,0.37499592,0.77905345,0.3067743,0.0,0.45857492
DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80758834,0.1717568,0.0,0.0,0.5990258,0.0,0.0,0.0,0.0,0.0,0.0
MAP4K3,0.0,0.30213135,0.0,0.0,0.621838,0.4758825,0.4042397,0.42800128,0.2706496,0.2935502,0.31538165,0.0,0.2933767,0.0,0.26664492,0.1960333,0.2651072,0.9424148,0.3880144,0.2878201,0.31886557,0.56639546,0.0,0.3473618,0.63313174,0.30736828,0.0,0.3413424
BRCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103419214,0.0,0.0,0.0,0.0,0.0,0.0,0.2916854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR1H4,0.0,0.88060844,0.788103,0.0,0.5441813,1.395993,0.81664366,0.32078907,0.52532566,0.97997224,0.8177023,0.0,0.78180104,0.0,0.9529588,0.78748405,0.6404301,1.7686993,1.094231,0.7434111,0.0,0.9029999,0.0,0.0,0.0,0.6951532,0.0,0.0
ELOVL5,0.0,0.13208738,0.0,0.0,0.0,0.0,0.1400053,0.0,0.0,0.16102834,0.0,0.0,0.0,0.0,0.0,0.15365626,0.20181246,0.0,0.1609443,0.03832412,0.0,0.0,0.0,0.0,0.0,0.15935682,0.0,0.0
