,AntiB,C-Hepato,C-Hepato2,CD4T,Chol,Chol--Stellate-Doublet,Chol-Doublet,CholMucus,Fibroblast,Hepato-Doublet,I-Hepato,Kupffer,Kupffer-Doublet,Monocyte,P-Hepato,P-Hepato2,Prolif,Stellate,Stellate-Doublet,Tcell-Doublet,VSMC,aStellate,cvEndo,cvLSEC,cvLSEC--Mac,cvLSEC-Doublet,lrNK,ppLSEC
GCFC2,0.0,0.22633885,0.0,0.0,0.0,0.0,0.19039483,0.0,0.0,0.25870106,0.22957444,0.0,0.13075131,0.0,0.20335265,0.17393535,0.2215876,0.0,0.1922683,0.13773176,0.0,0.0,0.0,0.0,0.14469332,0.20387267,0.0,0.0
CROT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12758975,0.0,0.0,0.0,0.0,0.0,0.08979496,0.10396446,0.0,0.084688514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,1.135225,0.74112636,0.0,0.0,0.0,0.66151536,0.0,0.16002795,0.96789086,1.0393779,0.0,0.88015217,0.0,0.86741084,0.6656859,0.8792844,0.0,0.77251244,0.89937437,0.0,0.0,0.0,0.0,0.0,0.75231886,0.0,0.0
KMT2E,0.34793943,0.24668738,0.0,0.46099538,0.34111094,0.40946323,0.29822394,0.32078907,0.28633195,0.25570777,0.16391167,0.40335134,0.25905487,0.4354304,0.23331371,0.1784955,0.19012256,0.44518176,0.32264262,0.2807668,0.2504745,0.3116164,0.35372424,0.2658998,0.5805986,0.29853788,0.31796992,0.36427072
IBTK,0.0,0.39485815,0.20356034,0.0,0.0,0.24233398,0.3312967,0.2483965,0.16468695,0.3791862,0.33196265,0.0,0.35264993,0.0,0.36300063,0.28657535,0.24981272,0.0,0.3447914,0.4257203,0.0,0.0,0.0,0.0,0.10095533,0.31137183,0.0,0.0
MYCBP2,0.73845375,0.41235974,0.28479487,0.5955348,0.21864843,0.3268372,0.36270112,0.39967513,0.34509143,0.4440931,0.3386,0.7252495,0.51273286,0.6580891,0.39791584,0.29837716,0.45031354,0.30050373,0.39361387,0.5457109,0.31458902,0.25488862,0.4318093,0.32975334,0.66610825,0.38965687,0.44378215,0.32746518
FBXL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08783347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16695477,0.0,0.0,0.0
ITGAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34922117,0.0
ZFX,0.0,0.18790457,0.0,0.0,0.0,0.15231581,0.16967148,0.0,0.0,0.21005055,0.0,0.0,0.16272213,0.0,0.17347404,0.14030111,0.18193097,0.0,0.15566978,0.10363585,0.0,0.0,0.0,0.0,0.43161988,0.15384178,0.0,0.0
LAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.10472548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09104639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K14,0.0,0.0,0.0,0.0,0.0,0.0,0.15174831,0.0,0.0,0.089992784,0.0,0.0,0.0,0.0,0.0,0.0,0.12451176,0.0,0.056331728,0.08763404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.13477503,0.18471944,0.0,0.08686013,0.0,0.0,0.0,0.0,0.0,0.0,0.10416527,0.0,0.0537021,0.0,0.0,0.0,0.0,0.0,0.26350644,0.104386285,0.0,0.0
RALA,0.0,0.0,0.0,0.0,0.0,0.09051539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33792073,0.0,0.0,0.0,0.0,0.0
BAIAP2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.17416565,0.34157783,0.0,0.12203556,0.0,0.0,0.098699376,0.0,0.0,0.13377738,0.14977665,0.0,0.15055381,0.13773176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
