,AntiB,C-Hepato,C-Hepato2,CD4T,Chol,Chol--Stellate-Doublet,Chol-Doublet,CholMucus,Fibroblast,Hepato-Doublet,I-Hepato,Kupffer,Kupffer-Doublet,Monocyte,P-Hepato,P-Hepato2,Prolif,Stellate,Stellate-Doublet,Tcell-Doublet,VSMC,aStellate,cvEndo,cvLSEC,cvLSEC--Mac,cvLSEC-Doublet,lrNK,ppLSEC
ENSG00000000419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074658744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000457,0.0,0.0,0.0,0.0,0.0,0.0,0.116846114,0.0,0.0,0.084613465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15371569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,0.0,1.8686279,1.8850361,0.0,0.19739512,0.0,1.5948303,0.60803586,1.3774545,2.0054462,1.6138525,0.33888963,1.7559471,0.0,1.978178,1.7633241,1.4937985,0.8427524,1.7659832,1.7861152,0.98095965,1.0118555,0.39256477,0.0,0.2550764,1.6277609,0.0,0.0
ENSG00000001084,0.0,0.34575224,0.0,0.0,0.0,0.0,0.2579127,0.0,0.0,0.34826586,0.0,0.0,0.27185932,0.0,0.2662878,0.2137518,0.24142724,0.0,0.23806563,0.2766297,0.0,0.0,0.0,0.0,0.0,0.23940232,0.0,0.0
ENSG00000001617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10095533,0.0,0.0,0.0
ENSG00000001626,0.0,0.0,0.0,0.0,0.43839025,0.5788689,0.19586958,1.3836751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001629,0.0,0.17117448,0.0,0.0,0.24353269,0.2428312,0.24777786,0.2199404,0.2670306,0.20113643,0.0,0.0,0.17959635,0.0,0.1640734,0.1279166,0.20576191,0.0,0.19268022,0.24539354,0.099295765,0.0,0.32399026,0.28687316,0.11393343,0.21368863,0.0,0.0
ENSG00000001631,0.0,0.19101863,0.0,0.0,0.0,0.38863763,0.23055798,0.0,0.048097804,0.20635295,0.0,0.0,0.20625684,0.0,0.1780573,0.13472503,0.19743872,0.0,0.20518687,0.21465158,0.059826277,0.0,0.0,0.0,0.30369407,0.19847289,0.0,0.0
ENSG00000002586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416424,0.13013896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
