,AT1,AT2,Artery_cell,B_cell,CD4T,CD8T,Capillary_Cell,Cilia,Club/Basal,DC1,DC2,Fibroblast,Lymphatic_Cell,Macrophage,Mast_cell,Mono,NK/NKT,Neutrophil,Plasma_cell,Prolif.immune,SM/Pericyte,Vein_cell
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217983241347312,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22760303213239846,0.0,0.0,0.0,0.47625392469372996,0.0,0.2762629065943427,0.0,0.0,0.0,0.302218686225065,0.0,0.0
TNFRSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12868147011501727,0.0,0.0,0.0
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09599678090414536,0.0,0.0,0.0
SDF4,0.0,0.213310050230902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773344664336014,0.0,0.0,0.0,0.3290951142030863,0.0,0.0,0.0,0.0,0.2887232978016174,0.20595983895809966,0.0,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14532948699116197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11081306143050179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.3710963671096155,0.0,0.0,0.0,0.0,0.0,0.0,0.24998377465643165,0.41228671824840646,0.19080645618324948,0.0,0.0,0.5081252369042066,0.0,0.26631846068918796,0.0,0.0,0.24357460322227195,0.43210041101011804,0.0,0.0
MRPL20,0.0,0.44524638190554916,0.0,0.0,0.0,0.0,0.0,0.0,0.41048063516760946,0.4043223676925915,0.27549785570650226,0.0,0.0,0.5115020830109589,0.5009497544249096,0.2224077214164159,0.0,0.0,0.2601253933006512,0.149514224771338,0.0,0.0
VWA1,0.0,0.24797754493175606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.0,0.4312034593927769,0.0,0.0,0.0,0.0,0.0,0.0,0.2377250849112206,0.37370089352865904,0.28839558508038643,0.0,0.0,0.4683204440376846,0.0,0.3096364232683297,0.0,0.0,0.1225246659153795,0.31724437270120986,0.0,0.0
CDK11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12383094467507488,0.0,0.0,0.0,0.0,0.0,0.22333189842400064,0.0,0.0
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157424281703158,0.0,0.0,0.0,0.1349526192985605,0.0,0.0,0.0,0.0,0.0,0.1418265494800798,0.0,0.0
NADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09366260301136936,0.0,0.25381152867338086,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.6845732497852962,0.4859455641940262,1.0173475212457646,0.7974387868010261,0.7296425659605865,0.0,1.0416256304047842,0.0,0.3507980742816138,1.0629101645261592,1.1404442474328031,0.20082873992565578,1.0500596579169368,0.975907755002803,0.733367528097951,1.1613086267099362,0.7435256659649097,0.0,0.2977412568240074,0.929117542469154,0.6295474471981863,0.927677139342032
PRKCZ,0.7975843697916487,0.2604866415403168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.21985269753616746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528655610503496,0.0,0.0,0.0,0.1515917337328987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKI,0.0,0.22709673835855182,0.39933580376493666,0.0,0.0,0.0,0.0,0.0,0.0,0.3402028351662976,0.4376061239566728,0.0,0.0,0.3816025276560063,0.0,0.0,0.0,0.0,0.0,0.31138104041415143,0.0,0.17894484931706123
RER1,0.0,0.2822042425489121,0.0,0.0,0.0,0.0,0.0,0.0,0.17938965611653634,0.37598514870051897,0.2174726986105247,0.0,0.0,0.5318336166526583,0.0,0.25658881100932474,0.0,0.0,0.22297720227738488,0.4818886973817731,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16739491491271544,0.0,0.0,0.0,0.16335602252303497,0.0,0.35021898631843407,0.0,0.0,0.0,0.0,0.0,0.0
PRDM16,0.0,0.16974081719306106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4638758702645789,0.0,0.0,0.0,0.5420602193258635,0.0,0.6140040844784644,0.0,0.0,0.0,0.4824582845049318,0.0,0.0
RPL22,0.7180771396179355,1.840694231126941,1.5508500076246083,2.440551418303699,2.1216972665434737,1.265364112988365,0.8612122992624907,0.0,1.863123493740674,1.875190686455421,1.6330100115083672,1.454534593382579,1.783126322083352,1.7207926964531959,2.485885405338672,1.8605328378880261,1.881841109333521,0.0,1.3396570503115597,1.618884873089936,1.7128792288721004,1.5542231930813029
ACOT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3151767129558585,0.0,0.0,0.0,0.0,0.0,0.3764689209964899,0.0,0.0
CAMTA1,0.0,0.3254038900136661,0.9535914103036405,0.0,0.0,0.0,0.4064082648509128,0.0,0.4420111930278263,0.44451751936484707,0.5015434961261169,0.0,0.38434818466724163,0.45456685690387877,0.0,0.21744520872071785,0.0,0.0,0.19199800243810441,0.3943650903139161,0.0,0.5713285453981456
VAMP3,0.0,0.1980086113028344,0.5205459002127246,0.0,0.0,0.0,0.0,0.0,0.0,0.27808729633299106,0.27094214376134673,0.0,0.0,0.34422565698665447,0.0,0.18729371951361753,0.0,0.0,0.0,0.0,0.0,0.3699856215133498
PER3,0.0,0.2221146254933296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23056340344997667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.0,0.6734269815021761,0.2893443613326067,0.0,0.5371804731231825,0.0,0.0,0.0,0.4908035800242298,0.7321214434473458,0.3889939297736663,0.0,0.0,0.8126946038182054,0.7082095981781894,0.47952218125822327,0.6879762411437133,0.0,0.3747674890855606,0.8589637151865048,0.6646084348308683,0.3062945820895676
ERRFI1,1.3105528054533166,1.2461286679287702,0.0,0.0,0.0,0.0,0.0,0.0,0.8317855095876032,0.0,0.0,0.0,0.0,0.1611448114557031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8532089952848376
RERE,0.9541594443945447,0.9118631845073064,1.3053510923603113,1.2746955220493728,0.0,0.0,1.2765805335119542,0.1337609764852738,0.7946898611706715,0.6792214023022853,1.1567674165492403,0.8664982695229839,0.8749117894141343,0.445805581533047,0.9516122462353952,0.6330059158879316,0.5088646126403842,0.0,0.20142805776409903,0.5487470244758997,0.8847870849767585,1.2241041856366945
ENO1,0.45258753793608086,1.0119567489629868,0.33867882396893223,0.0,0.7263158210540868,0.0,0.0,0.0,0.6798552545971952,1.2247777482846527,0.6274497764557297,0.0,0.0,1.2138050427205886,0.7010940665749846,0.9782215999885076,0.7154384768145675,0.0,0.1732879059990181,1.130892437475402,0.0,0.4287266509340538
