cluster_name,skos,manual_mapped_cid,cell_ontology_id
AT1,,,CL:0002062
AT2,,,CL:0002063
Artery_cell,,,CL:0000115
B_cell,,,CL:0000236
CD4T,,,CL:0000624
CD8T,,,CL:0000625
Capillary_Cell,,,CL:0002144
Cilia,,,CL:1000271
Club/Basal,,,CL:0000158
DC1,,,CL:0000990
DC2,,,CL:0000990
Fibroblast,,,CL:0000057
Lymphatic_Cell,,,CL:0002138
Macrophage,,,CL:0000235
Mast_cell,,,CL:0000097
Mono,,,CL:0000576
NK/NKT,,,CL:0000623
Neutrophil,,,CL:0000775
Plasma_cell,,,CL:0000786
Prolif.immune,,,CL:0000738
SM/Pericyte,,,CL:0000192
Vein_cell,,,CL:0002543
