cluster,n_cells,percentage
CD4T,7178,20.05
NK/NKT,5679,15.86
CD8T,2599,7.26
AT1,335,0.94
AT2,1296,3.62
Club/Basal,134,0.37
Cilia,1054,2.94
Artery_cell,587,1.64
Vein_cell,1186,3.31
Capillary_Cell,4401,12.29
Lymphatic_Cell,137,0.38
SM/Pericyte,836,2.34
Fibroblast,2281,6.37
Mono,1789,5.0
Macrophage,2287,6.39
DC1,1191,3.33
DC2,485,1.35
Neutrophil,357,1.0
Prolif.immune,191,0.53
Mast_cell,1220,3.41
B_cell,367,1.03
Plasma_cell,209,0.58
