,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
ENSG00000187634,1.2713513,0.0,0.0,0.0,0.0,1.6076974,1.336606,1.9619175,1.7870618,0.0,0.0,0.0
ENSG00000188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4442293,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.6234363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37873974
ENSG00000078808,0.9908217,1.3368948,0.9293037,0.9390636,0.89854014,1.2815913,0.7193189,0.85846895,0.0,0.0,0.7776447,0.94348687
ENSG00000160087,0.0,0.0,0.5993455,0.0,0.54744565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,1.5452113,1.1960759,1.8685244,1.7718269,1.7944432,1.2743493,1.5942122,1.6081893,1.7839,1.1442422,1.3806156,1.6939864
ENSG00000242485,1.5934951,0.0,1.8191925,1.7895356,1.5603445,1.2773138,1.7346818,1.7699126,2.0487242,0.6538351,1.3097348,1.8089375
ENSG00000235098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076028,0.0,0.0,0.0,0.0
ENSG00000179403,0.7962611,1.3667178,0.4382771,0.8495954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752077
ENSG00000160075,1.4794432,0.0,1.5925626,1.6240278,1.4266413,1.029769,1.3732523,1.4731644,1.5686891,1.5501847,1.1868591,1.526149
ENSG00000078369,1.053914,0.0,1.1422534,0.9285538,0.9915261,0.0,0.8359573,0.86621815,0.0,0.0,0.5748905,0.8716667
ENSG00000162585,1.189326,0.0,1.0072334,1.1526499,0.85873294,0.0,0.9020522,1.1196643,1.2597754,1.3051006,0.70245653,0.95051056
ENSG00000157916,0.0,0.0,0.8487049,0.71449596,0.9254635,1.0187641,0.57741684,0.5822493,0.0,0.0,0.48929137,0.73679984
ENSG00000116251,2.6243217,1.8203635,2.7512293,2.9007277,2.7370434,2.075495,2.8513944,2.9225748,3.34305,3.6291707,3.0027354,2.792882
ENSG00000171735,1.0136766,0.0,0.7800273,0.9624973,0.75994945,0.0,0.6135343,0.759199,0.0,0.0,0.77369577,0.85690355
ENSG00000049245,0.0,0.0,0.64650744,0.6244607,0.7012952,0.0,0.616857,0.5457486,0.0,0.0,0.5082142,0.0
ENSG00000116288,1.9770684,1.7383676,2.0977983,2.2821918,2.0266507,1.8200372,1.8349392,2.1022184,2.5304146,2.0619009,1.7247329,2.246018
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64639485,0.0
ENSG00000074800,2.007017,2.32827,2.7197201,2.436346,2.4868088,2.4948502,2.2460818,2.381345,2.7509055,1.5860608,1.7405919,2.5044837
ENSG00000175279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3090567,0.0,0.0,0.0,0.0
ENSG00000175262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43198332,0.0,0.9882759,0.0,0.0
ENSG00000120948,0.0,0.0,0.0,0.0,0.0,0.0,0.42241263,0.4054483,0.0,0.0,0.0,0.0
ENSG00000116649,0.0,0.0,0.61762244,0.0,0.0,0.0,0.5949064,0.65023226,0.0,0.0,0.40542778,0.48785582
ENSG00000116661,0.0,0.0,0.0,0.35646573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116670,0.0,0.0,0.5593899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177674,0.0,0.0,0.3910866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.6673059,0.42982098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579343,0.0,0.0,0.0,0.0
ENSG00000185519,0.0,0.0,0.0,0.50063443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055070,0.0,0.0,0.6640993,0.6805601,0.4901094,0.0,0.65451217,0.5757224,0.0,0.0,0.48076302,0.5861948
ENSG00000117118,0.0,0.0,0.70409906,0.65280944,0.7521339,0.0,0.6649889,0.55912215,0.9480181,0.6179303,0.62416416,0.66420805
ENSG00000053372,0.0,0.0,0.65486175,0.0,0.6304018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053371,0.8355579,0.0,0.0,0.7054213,0.0,0.0,0.46339944,0.68839216,0.0,0.0,0.0,0.60840845
ENSG00000077549,1.6090404,1.6628458,1.9433576,1.9247006,1.7696847,1.2122407,1.0889294,1.22033,1.5792788,0.7270665,0.43252313,1.6657507
ENSG00000173436,1.6675801,1.2109036,1.7420936,1.9279567,1.4799488,1.2491745,1.1387861,1.5201789,1.9971335,1.3251462,1.0220697,1.8593869
ENSG00000158747,1.5579778,0.0,0.61392254,0.69364494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162545,1.1048677,0.0,0.36225873,0.8390566,0.0,0.0,0.5696929,0.8988123,0.0,0.0,0.0,0.8485928
ENSG00000244038,0.7545616,1.6658604,0.71710485,0.7867971,0.67247707,1.6360732,0.61087036,0.7005183,0.0,0.39468175,0.7963628,0.8710627
ENSG00000127483,0.5458286,0.0,0.0,0.557181,0.0,0.0,0.6735436,0.65763265,0.0,0.0,0.0,0.6013191
ENSG00000070831,1.391757,0.0,1.7601653,1.6235487,1.7316071,0.99798554,1.5389973,1.303753,1.4322312,1.3449128,1.3586394,1.407771
ENSG00000162552,0.8286548,0.0,0.0,0.66189814,0.0,0.601813,0.0,0.95298195,0.0,0.0,0.0,0.0
ENSG00000125944,0.8180078,0.0,0.959751,0.866669,0.86601156,0.0,0.7195815,0.7144487,0.0,0.0,0.8813186,0.8711987
ENSG00000117318,0.6979584,0.0,0.0,0.0,0.0,0.0,0.0,0.5233755,0.0,0.0,0.0,0.0
ENSG00000142676,3.680913,2.7434824,3.6967466,3.7828174,3.4466627,3.1381488,3.827023,3.8953748,4.356303,4.574689,4.0276065,3.7183173
ENSG00000057757,0.0,0.0,0.6914868,0.6112264,0.8716815,0.0,1.1653426,0.765952,0.89709675,1.5292971,1.4185584,0.67284226
ENSG00000011009,0.0,0.0,0.64206797,0.55614436,0.51555353,0.0,0.44127575,0.0,0.0,0.0,0.0,0.0
ENSG00000117305,0.0,0.0,0.0,0.0,0.6645669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179163,0.0,0.0,0.0,0.0,0.0,1.2223662,0.0,0.37575793,0.0,0.0,0.0,0.64809823
ENSG00000117602,0.70542717,0.0,0.0,0.4675767,0.0,0.0,0.46718952,0.65496707,0.0,0.0,0.0,0.66685724
ENSG00000133226,0.8539414,0.0,0.8369378,0.84177786,0.913403,0.0,0.7781228,0.7884951,0.0,0.0,0.87806016,0.85142267
ENSG00000117614,0.5839462,0.0,0.6840394,0.69323486,0.7269058,0.0,0.814482,0.6683763,0.0,1.3684443,1.1729581,0.7514067
ENSG00000117616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064709,0.0,0.0,0.517914,0.0
ENSG00000183726,0.8188964,1.2555418,1.0336486,1.0146548,1.0851455,1.4485531,0.8187903,0.8327926,0.0,0.0,0.5195711,0.91310996
ENSG00000157978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5567378,0.0,0.0,0.0,0.0
ENSG00000117632,0.91249496,0.0,0.7306176,0.87234837,0.70117986,0.0,0.0,0.0,0.0,0.0,0.0,0.7823968
ENSG00000142684,0.6528017,0.0,0.9314917,0.8294465,0.9456133,0.0,0.6730106,0.654847,0.0,0.0,0.7605366,0.6561602
ENSG00000142669,1.5454684,0.0,2.179416,1.8734949,1.7654905,0.0,1.322118,1.4684025,1.7727375,1.3158847,1.3460755,2.0056539
ENSG00000198830,1.9458424,0.0,1.4778837,1.8209032,1.1846393,0.89180017,1.4207755,1.6743361,1.8447926,1.8822086,1.1810665,1.8970646
ENSG00000090273,1.181011,0.0,1.755617,1.5930159,1.7664338,1.0655861,1.3399932,1.2739645,1.4786797,1.6947086,1.2541791,1.5170844
ENSG00000186501,0.0,0.0,0.0,0.0,0.6381875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34972495,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.0,0.0,0.0,0.52783215,0.0,0.7511329,0.6308928,0.0,0.0,0.0,0.6789343
ENSG00000126709,0.9085957,1.5410552,1.1246761,1.1273614,1.2189653,1.398377,0.89487284,0.91568506,0.0,1.3885674,0.72272474,0.9544652
ENSG00000117758,0.0,0.0,0.35523486,0.0,0.53367895,0.0,0.35439748,0.0,0.0,0.5812353,0.5206089,0.0
ENSG00000117748,0.0,0.0,0.3555166,0.0,0.6422407,0.0,0.6001252,0.43406278,0.0,0.0,0.0,0.0
ENSG00000126698,0.61060524,0.0,0.92356753,0.88950354,1.0306007,0.0,0.8684513,0.7012849,1.0758097,0.69673866,0.67803764,0.8272308
ENSG00000130770,1.6413774,1.5475483,1.3941451,1.6864636,1.2747436,1.3834376,1.3942307,1.650331,2.1960218,1.5696183,1.1461142,1.6237825
ENSG00000130766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865382,0.0
ENSG00000197989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593282,0.0
ENSG00000198492,0.0,0.0,0.59721136,0.43738234,0.6842331,0.0,0.70820296,0.5310689,0.0,0.0,0.79242265,0.43520457
ENSG00000121766,0.0,0.0,0.0,0.0,0.0,0.0,0.56665915,0.4438858,0.0,0.0,0.5493766,0.0
ENSG00000168528,0.0,0.0,0.7192842,0.0,0.38919413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162517,0.0,0.0,0.75459343,0.6395623,1.0037212,0.0,0.68416077,0.517616,0.0,0.0,0.69505084,0.5420911
ENSG00000184007,0.80695295,0.0,1.1312673,0.85419405,0.9663858,0.0,1.1756282,0.8694346,0.0,0.0,1.0284718,0.9759716
ENSG00000121774,0.88864654,0.0,0.86506885,0.80266,0.8348988,0.0,0.80420387,0.70159364,0.0,0.0,0.83364874,0.8423776
ENSG00000025800,0.0,0.0,0.0,0.0,0.0,0.0,0.61304736,0.6531055,0.0,0.0,0.0,0.0
ENSG00000084623,0.82217205,0.0,1.4354537,1.2708323,1.5459523,0.0,1.1666832,0.991191,1.1035669,0.93716526,1.4720491,1.2030413
ENSG00000116478,0.0,0.0,0.48608056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175130,0.9180443,0.0,0.63667196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46634763
ENSG00000160058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51976407,0.0
ENSG00000176261,0.0,0.0,0.7224608,0.75997436,0.7467672,0.0,0.7387723,0.7608367,1.1007022,0.0,0.9556684,0.7134865
ENSG00000162521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510799,0.0,0.0,0.48491594,0.0
ENSG00000134684,0.0,0.0,0.0,0.0,0.5670234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121900,0.0,0.0,1.0798877,0.9321738,0.88400626,0.0,0.0,0.51649404,0.0,0.0,0.0,0.0
ENSG00000004455,0.87278676,0.0,1.0110258,1.1314784,1.0051106,0.0,0.81580997,0.96284115,1.0902934,0.0,0.84291226,0.7974177
ENSG00000163866,0.0,0.0,0.6879379,0.587467,0.7262263,0.0,0.6556047,0.5185654,0.0,0.0,0.59033275,0.0
ENSG00000116560,0.872281,0.0,0.93969107,0.8192198,0.76911145,0.0,1.0509441,0.72707313,0.0,0.0,1.0094438,0.8630447
ENSG00000126067,1.0189402,0.0,1.4472411,1.4264523,1.3873873,0.76650846,1.3680044,1.1557531,1.6165683,0.8410317,1.1211147,1.3272371
ENSG00000054116,0.89781934,0.0,0.90479666,0.8971522,0.96013284,0.9949058,1.1071944,0.88234496,0.75403476,1.0011953,1.2295897,0.85424256
ENSG00000116871,0.0,0.0,0.0,0.0,0.0,0.0,0.6275377,0.0,0.0,0.0,0.0,0.0
ENSG00000054118,0.0,0.0,0.88946736,0.7921328,1.1798737,0.0,1.0144534,0.71819824,0.0,0.0,0.9751715,0.74250776
ENSG00000181817,0.77146745,0.0,0.68825865,0.7491052,0.65244216,0.0,0.9686817,0.77134997,0.0,0.9053579,0.9565584,0.70986277
ENSG00000116898,0.8121036,0.0,0.8052336,0.85405725,0.6930431,0.0,0.6150688,0.7991947,1.0600824,0.834646,0.0,0.85819143
ENSG00000163875,1.0689933,0.0,1.0717496,1.019119,0.94941515,0.0,1.1284889,1.0361366,1.2533581,1.3711411,0.72922283,1.2245654
ENSG00000163879,0.0,0.0,0.590127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602057
ENSG00000196449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60351056,0.0
