louvain_anno_fine,mean,std,median,count,q1,q3,f_score
PP,0.9044407752727274,0.08944073506204885,0.9200861,121,0.9007025,0.93016684,0.7610993657505285
delta,0.7095227201938388,0.16268647717778048,0.74950343,2889,0.68525785,0.78053784,0.807109252483011
beta_mtDNA deficient,0.6378998431386861,0.3386258525132088,0.73334782,274,0.6989846875,0.756041025,0.2051671732522796
beta_stress I,0.49350211249218634,0.30768131504900703,0.60778767,1331,0.483231035,0.65770065,0.5982905982905983
alpha_MHC II,0.42401555452727274,0.29252867381674796,0.574241845,110,0.362550355,0.6108169525,0.4022988505747126
beta_stress II,0.3657244958644956,0.2912343931020667,0.49103236,1259,0.29788232000000003,0.557279925,0.6942590120160214
alpha_immature,0.407561742054768,0.24014658976192013,0.4898391,1961,0.3273767,0.5743734,0.5192338135190755
beta_immature,0.3205626429513384,0.2844678790599378,0.42773747,1711,0.182592205,0.53537128,0.3375430539609644
alpha_stress II,0.26626632568279945,0.2571099250445829,0.35256398,3715,0.13065151,0.471645285,0.5228127712935275
beta_mature,0.19372610774500446,0.2541124467238992,0.30565065,6999,0.0553042,0.38840233999999996,0.7402348600418632
beta_MHC/autoantigen,0.05035710556750716,0.3262682929206464,0.23955283,349,-0.35069767,0.34313938,0.4369538077403246
alpha_mature,0.06791066694278593,0.29804655338314257,0.1339774,5755,-0.16458435999999999,0.32387156,0.6769077354100385
