,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.7680519998073578,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7461462140083313,0.0,0.7325572490692138
MRPL20,0.9213786959648133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
SSU72,0.6132638096809387,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6183746814727783,0.6157321333885193,0.6114491522312164
MIB2,0.7700492560863494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.788898354768753,0.7514235377311707
GNB1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867223984003067,0.0,0.8061713874340057
RPL22,0.08404912948608398,0.08676453828811645,0.05938006043434143,0.02027842402458191,0.013600683212280274,0.043876010179519656,0.0,0.060939478874206546,0.010895317792892456,0.06291061639785767,0.07437478303909302
KLHL21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,0.6309255599975586,0.6801585257053375,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7147529482841491,0.7142993927001953
PARK7,0.6,0.0,0.0,0.0,0.665861165523529,0.0,0.0,0.7586037755012512,0.0,0.6509513974189758,0.6751492500305176
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENO1,0.5937193751335144,0.559689748287201,0.0,0.0,0.5292791187763214,0.0,0.0,0.0,0.5,0.5850487232208252,0.6645100057125092
CLSTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CTNNBIP1,0.7881109952926636,0.7459925770759582,0.0,0.0,0.0,0.0,0.0,0.0,0.8283247351646423,0.0,0.7
CASZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EPHA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IFFO2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803627490997314,0.0,0.0
UBR4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9676505088806152,0.0,0.0
CAPZB,0.5829498171806335,0.5,0.0,0.0,0.5153510272502899,0.0,0.0,0.0,0.5395456552505493,0.5051994085311889,0.5218797385692596
MICOS10,0.7449423909187317,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7180330395698548,0.0,0.7442762017250061
NBL1,0.7041800558567047,0.0,0.0,0.0,0.7856808006763458,0.0,0.0,0.0,0.0,0.7,0.7314545333385467
HP1BP3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404550790786743
HSPG2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.4692647039890289,0.4297131776809692,0.4273194134235382,0.0,0.4,0.0,0.0,0.0,0.4920607030391693,0.43244468569755556,0.4121226787567139
HNRNPR,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533856630325317
ID3,0.6,0.6034339964389801,0.78515065908432,0.0,0.0,0.0,0.0,0.0,0.0,0.6424801111221313,0.6436532139778137
RPL11,0.07047220468521118,0.08833810091018676,0.07111943960189819,0.018905389308929443,0.01516825556755066,0.06688490509986877,0.0,0.036417460441589354,0.012840569019317627,0.06336813569068908,0.059759867191314694
PITHD1,0.8040303230285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8057676732540131
GRHL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SRRM1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9245031237602234
SYF2,0.7355278313159943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7604743421077729,0.7571304619312287
RSRP1,0.6429711759090424,0.6222486615180969,0.0,0.0,0.0,0.0,0.0,0.0,0.673526155948639,0.6181147456169128,0.6
TMEM50A,0.5634268641471862,0.5,0.0,0.0,0.0,0.0,0.0,0.6795260190963746,0.6024644076824188,0.5099148035049439,0.5134789884090424
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SH3BGRL3,0.3326324880123138,0.3257232427597046,0.33701890110969546,0.0,0.3844638288021088,0.5797395825386047,0.0,0.0,0.3683453261852264,0.3228706896305084,0.3
CD52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.5552275359630585,0.0,0.0,0.0,0.5750543355941773,0.0,0.0,0.5998369693756104,0.5,0.6046089112758637,0.7668857395648956
