,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
ZC3H12A,0.0,0.76253664,0.0,0.0,0.0,0.0,0.0,0.0,0.6711705,1.2744282,0.859602
POU3F1,0.34932888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,1.3739355,1.1995211,0.8946904,0.93034774,1.2451426,0.0,0.0,1.717464,1.1670403,1.3163091,1.4907284
MACF1,0.60278386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107932,0.0,0.17680377
MFSD2A,0.37276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.50193965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609645,0.0,0.0
PPCS,0.51706254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38479388,0.0,0.0
YBX1,1.9605374,1.9799247,2.0439796,1.4637783,1.8202345,1.569572,0.0,2.1178484,1.2277712,2.1807556,2.3159657
SLC2A1,0.40657926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341313,0.33288655
ELOVL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208064,0.0,0.0
PTPRF,0.8009739,0.5250319,0.0,0.0,0.0,0.0,0.0,0.0,0.6368475,0.0,0.0
ATP6V0B,0.7104346,0.6209121,0.0,0.0,0.0,0.0,0.0,0.0,0.9412455,0.5835055,0.6754168
RPS8,4.097065,4.190099,3.4962492,3.1310413,3.0239959,3.1875992,2.601533,3.678142,3.6346712,4.0027285,4.1051707
PRDX1,1.7574754,1.5414608,1.689057,1.6239954,1.6947818,1.5301204,1.688995,1.7571962,1.6302671,1.7613757,1.8280084
NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6992028
GPBP1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33100146,0.0,0.0
UQCRH,1.47409,1.4435539,0.9717362,0.0,0.0,0.0,0.0,1.3888497,1.2839007,1.514247,1.6363451
PDZK1IP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773535,0.0,0.0
CMPK1,0.61732984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75817,0.0,0.594223
RNF11,0.50506675,0.48350918,0.0,0.0,0.0,0.0,0.0,0.0,0.5534314,0.0,0.0
BTF3L4,0.5174664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185572,0.0,0.48183554
SCP2,0.91801924,0.55861783,0.0,0.0,0.0,0.0,0.0,0.0,0.9909675,0.0,0.6948823
MAGOH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869527
TMEM59,1.1064398,0.89695156,1.3405418,1.5839492,1.8909832,0.0,1.613933,1.350668,1.0489366,1.111134,1.0224446
DHCR24,0.4713953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1386414,0.0,0.0
PLPP3,0.0,0.0,0.0,1.7178391,2.10191,0.0,0.0,0.0,0.0,0.0,0.0
TACSTD2,2.1362867,2.6374564,0.0,0.0,0.0,0.0,0.0,0.0,3.135775,2.4992356,2.1675115
JUN,2.777844,2.0464833,1.695621,2.0392044,1.9690843,1.5984201,2.1449342,1.9938613,2.7206388,3.2133927,2.5750365
JAK1,0.26392636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56067324,0.0,0.0
LEPROT,0.0,0.0,1.0383532,0.4819765,0.7862973,0.0,0.0,0.0,0.0,0.0,0.0
SERBP1,1.5177481,1.5455132,1.140446,0.0,0.0,0.0,0.0,0.0,1.4600441,1.383153,1.5070724
GADD45A,0.0,0.7328595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84343195,0.79340565
GNG12,0.68869376,0.6194417,0.0,0.0,0.0,0.0,0.0,0.0,1.0639243,0.0,0.51778793
SRSF11,0.7392631,0.67439103,0.8152186,0.0,0.0,0.0,0.0,0.0,0.5069326,0.7703099,0.7318224
ADGRL4,0.0,0.0,1.6260844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNG5,0.8225441,0.8436957,0.9588838,0.0,0.0,0.0,0.0,0.0,0.68378067,0.9801007,0.9750348
CCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3390234,0.0,0.0,0.0
CLCA2,0.6125886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85805035,0.0,0.50314957
