cluster,n_cells,percentage
cd3_gd,626,9.13
cd4_cm,172,2.51
cd4_naive,29,0.42
cd4_tem,326,4.75
cd4_temra,79,1.15
cd4_treg,56,0.82
cd4_trm,217,3.16
cd8_cm,23,0.34
cd8_mait,507,7.39
cd8_naive,20,0.29
cd8_tem,346,5.05
cd8_temra,811,11.83
cd8_trm,680,9.92
dc1,11,0.16
dc2,32,0.47
ilc1,7,0.1
ilc3,5,0.07
macrophage,44,0.64
monocyte_classical,422,6.15
monocyte_nonclassical,230,3.35
nk_cd56br,576,8.4
nk_cd56dim,1454,21.2
nk_ilc_precursor,155,2.26
pdc,12,0.17
progenitor,18,0.26
