,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,progenitor
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29645294,0.0
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17175296,0.18875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34105346,0.37049374
SSU72,0.0,0.358446,0.0,0.068053335,0.5674081,0.16965047,0.0,0.0,0.0,0.5019626,0.0,0.0,0.0,0.31828564,0.3384136,0.5368143,1.0250169,0.18167454,0.25493568,0.3806393,0.0,0.0,0.0,0.19973049,0.34782887
CDK11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04027592
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34105346,0.0
NADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21143991,0.0,0.0,0.0,0.3427034,0.0
GNB1,0.5834566,0.4652449,0.0,0.5418349,0.66217077,0.5530244,0.0,0.46858236,0.512952,0.5046593,0.610886,0.6144734,0.56669664,0.5855073,0.836512,0.5368143,0.0,0.6346895,0.7882947,0.7001119,0.5621475,0.6111176,0.5500667,0.7215534,0.4916255
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22231652,0.2109153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22110273,0.14396885
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16942969,0.17853028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07872557
ENSG00000272449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18165639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.39596763,0.0,0.0,0.0,0.527501,0.0,0.0,0.0,0.23717868,0.0,0.0,0.0,0.17175296,0.22619897,0.0,0.9078567,0.0,0.0,0.42565763,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17175296,0.27315587,0.0,0.0,0.0,0.0,0.39562625,0.0,0.0,0.0,0.0,0.217065
RPL22,1.6218399,2.2107284,2.4419076,1.7684625,1.6042608,1.8088887,1.6443657,2.0080006,1.815405,2.088105,1.6530759,1.6289698,1.5940887,1.9125437,1.8046589,1.6271884,1.5557745,1.5901347,1.5894545,1.5331771,1.5272061,1.3220501,1.4203904,1.6877617,2.1728697
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16685241,0.08506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18145952,0.0,0.0,0.0,0.0,0.28870097,0.0,0.0,0.0,0.0,0.0
PARK7,0.44642407,0.45412043,0.45138597,0.53154546,0.0,0.625398,0.0,0.0,0.50181544,0.0,0.4204511,0.4300715,0.0,0.69374925,0.5474968,0.6394809,0.5583298,0.598355,0.45903245,0.5182985,0.556527,0.5671695,0.57687706,1.2807939,0.7140418
RERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671298,0.097860724
ENO1,0.6328373,0.57519644,0.55224055,0.6932107,0.6435797,0.7579915,0.6181521,0.7486102,0.6195791,0.51957166,0.64430344,0.60217065,0.584684,1.1757892,1.0135579,0.7042781,0.0,1.1868855,1.2340109,0.8627992,0.70549357,0.6515721,0.66447675,0.37725705,1.2329407
SLC25A33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156412,0.2014175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046593,0.0,0.0,0.0,0.0,0.0,0.5368143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLSTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16942969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049898613
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341401,0.0,0.0,0.49034965,0.9522399,0.49609876,0.0,0.0,0.0,0.40343016,0.65938246
DFFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049898613
TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15440318,0.08506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2722277
SRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881239,0.18931746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46769214
EXOSC10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15955304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07393226
MAD2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15440318,0.0,0.5368143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20630361
AGTRAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431553,0.38375574,0.0,0.0,0.0,0.0,0.18616563
MIIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16942969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.7587105,0.0,0.0,0.46716636,0.6029811,0.61103517,0.5679656,0.0,0.0,0.52905583,0.5773846,0.71156895,0.6235665,0.0,0.65606284,0.6771769,0.0,0.9793921,1.0715878,1.0088587,0.45604783,0.71701247,0.5652681,0.6638472,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124584585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156412,0.17853028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.8829189,0.0,0.0,0.75209016,1.3953127,0.5107457,0.7004447,0.581107,0.8378771,0.5543617,0.9846949,0.8671186,0.6994013,1.163464,1.0331563,1.0685301,0.7381015,1.2120343,1.348012,1.1875322,1.1342041,1.6785043,1.4587027,0.12252927,0.14396885
PLEKHM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17620616,0.0,0.0,0.18293622,0.36062804,0.2591412,0.0,0.0,0.0,0.0,0.097860724
SPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124584585,0.20075981,0.4928851,0.0,0.2023266,0.0,0.2891439,0.0,0.0,0.0,0.37762332,0.26595265
