,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,progenitor
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9670888334512711
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF4,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811888138453165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7214129318793615,0.763610544304053,0.8612871815760931,0.0,0.0,0.0,0.0,0.7588130806883177,0.8338956659038862,0.7569647009174029,0.7104959736267725,0.7083333333333334
B3GALT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944826314846674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334
CPTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.0,0.0,0.7334809551636378,0.0,0.7313021346926689,0.0,0.0,0.0,0.0,0.0,0.7145504355430603,0.6566027452548345,0.0,0.0,0.625,0.6826738268136978,0.6853672862052917,0.0,0.0,0.6354677304625511,0.6585217316945394,0.6496086567640305
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.8787527134021124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142901425560316,0.9211008424560229
SSU72,0.0,0.5732966512441635,0.0,0.4583333333333333,0.6898291409015656,0.4832858939965566,0.0,0.0,0.0,0.6577147295077642,0.0,0.0,0.0,0.5522457957267761,0.5615294724702835,0.6745267063379288,0.8283019016186396,0.48714980979760486,0.5238129049539566,0.5884581829110781,0.0,0.0,0.0,0.4958449477950732,0.5666311184565226
CDK11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.9742926508188248,0.0
GNB1,0.17244525253772736,0.125,0.0,0.14584975441296896,0.24223588158686957,0.15155212581157684,0.0,0.12529677152633667,0.13488527139027914,0.13230898727973303,0.19449642300605774,0.19772386302550635,0.16029332081476846,0.1740302915374438,0.38903501133124035,0.14370660235484442,0.0,0.21664211402336755,0.3516643171509107,0.2765272632241249,0.15720708419879278,0.1946911762158076,0.14990256478389105,0.2955494498213132,0.12918880333503088
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8920482670267423,0.8882253815730413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8914556453625361,0.875
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389729003111521,0.9420837586124738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666
ENSG00000272449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.8081668217976888,0.0,0.0,0.0,0.8432659457127253,0.0,0.0,0.0,0.7634226232767105,0.0,0.0,0.0,0.75,0.7600291520357132,0.0,0.9089312603076299,0.0,0.0,0.8157347813248634,0.0,0.0,0.0,0.0,0.0
