,ActMac,AntiB,Arterial,C-Hepato,C-Hepato2,CD3T-lrNK,CD4T,CD8T,CD8T-cNK,Chol,CholMucus,Fibroblast,Hepato,Hepato--Mac,I-Hepato,Kupffer,Kupffer--LSEC-Doublet,LAM-like,MHCII,MatB,Monocyte,NKT--Mac-Doublet,Neutrophil,P-Hepato,P-Hepato2,Prolif,Stellate,Tcell,cDC,cNK,cvEndo,cvLSEC,cvLSEC--T-Doublet,lrNK,pDC,ppLSEC
CFH,0.0,0.1783678378377642,0.0,0.20482134648731776,0.5099236982209342,0.17142857142857143,0.23728690828595841,0.22981941018785748,0.2674738304955619,0.3275996276310512,0.21216485670634677,0.3949804425239563,0.44499864067350114,0.3730685046740941,0.36625951528549194,0.1963234918458121,0.18966456140790666,0.0,0.0,0.37875544513974874,0.0,0.20469788653509957,0.2546078988483974,0.5122921296528408,0.4814752221107483,0.22471502338136945,0.4464697548321315,0.3931140371731349,0.0,0.2656852330480303,0.24313492264066425,0.3054181933403015,0.21008717332567486,0.2699588826724461,0.22701063326426915,0.18856504474367414
CD99,0.0,0.0,0.767837005002158,0.6626387017113822,0.0,0.7773276669638497,0.0,0.7326226268495832,0.7371302315167019,0.0,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.7404891916683742,0.0,0.0,0.0,0.7469533784048897,0.0,0.0,0.0,0.0,0.7208262307303293,0.0,0.6613594157355173,0.0,0.6850855895451137,0.0,0.759236022404262,0.0,0.0,0.7774948188236781
TMEM176A,0.0,0.0,0.4850627677781241,0.7440619707107544,0.625487288406917,0.0,0.5058815836906433,0.48100699867521013,0.0,0.4901867525918143,0.654717949458531,0.5429407528468541,0.5111260397093637,0.0,0.6429043122700282,0.0,0.0,0.46457948173795427,0.0,0.5310244236673628,0.0,0.45714285714285713,0.0,0.5515754342079162,0.5101356642586844,0.0,0.5355122208595275,0.5435453159468514,0.0,0.0,0.4957932370049613,0.0,0.0,0.5082961968013219,0.611686020238059,0.0
M6PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776337657655988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,0.0,0.0,0.7714285714285715,0.7825111440249852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876915352685111,0.0,0.8415476611682347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8163602777889797,0.0,0.0,0.0,0.0,0.8610638431140355,0.842390615599496,0.0,0.772894937651498,0.8824092132704598
SLC7A2,0.0,0.0,0.0,0.0,0.9667519433157784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491061159542629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9428571428571428,0.0
ARF5,0.952313472543444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9594446761267525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFAB1,0.0,0.0,0.0,0.9716420497213091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDK4,0.0,0.0,0.0,0.0,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755655561174665,0.0,0.0,0.0,0.0,0.0,0.9517083116940089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
