cluster,n_cells,percentage
Aberrant erythroid,182,0.37
CD4+ cytotoxic T cells,418,0.85
CD4+ memory T cells,4555,9.29
CD4+ naive T cells,505,1.03
CD8+ central memory T cells,2364,4.82
CD8+ effector memory T cells,3769,7.68
CD8+ naive T cells,339,0.69
CD8+CD103+ tissue resident memory T cells,1886,3.85
CD11c+ memory B cells,103,0.21
CD56brightCD16- NK cells,300,0.61
CD56dimCD16+ NK cells,5112,10.42
CD69+PD-1+ memory CD4+ T cells,52,0.11
Class switched memory B cells,1449,2.95
Classical Monocytes,3083,6.29
Conventional dendritic cell 1,1180,2.41
Conventional dendritic cell 2,586,1.19
Early erythroid progenitor,1950,3.98
Early promyelocytes,947,1.93
Eosinophil-basophil-mast cell progenitors,199,0.41
Erythro-myeloid progenitors,492,1.0
GammaDelta T cells,667,1.36
HSCs & MPPs,1908,3.89
Immature B cells,466,0.95
Late erythroid progenitor,1887,3.85
Late promyelocytes,712,1.45
Lymphomyeloid prog,1454,2.96
Mature naive B cells,4068,8.29
Megakaryocyte progenitors,666,1.36
Mesenchymal cells_1,17,0.03
Myelocytes,1401,2.86
NK T cells,152,0.31
NK cell progenitors,26,0.05
Non-classical monocytes,996,2.03
Nonswitched memory B cells,2811,5.73
Plasma cells,486,0.99
Plasmacytoid dendritic cell progenitors,571,1.16
Plasmacytoid dendritic cells,344,0.7
Pre-B cells,456,0.93
Pre-pro-B cells,17,0.03
Pro-B cells,474,0.97
