,Cell_label,silhouette_score
736152_Aged2_736152_4,Late erythroid progenitor,0.1263324620836034
601976_Aged2_601976_4,Pre-B cells,0.5101222456279773
791723_Aged2_791723_4,Pre-B cells,0.42603026655758003
52764_Aged2_52764_4,Early erythroid progenitor,0.439014087652497
31881_Aged2_31881_4,Lymphomyeloid prog,-0.1943455113440293
558564_Aged2_558564_4,Pre-B cells,0.5122890933456259
849916_Aged2_849916_4,Early erythroid progenitor,0.37168489067013594
814894_Aged2_814894_4,Pre-B cells,0.29090299564986327
66094_Aged2_66094_4,Conventional dendritic cell 1,0.18491128727926703
142476_Aged2_142476_4,Lymphomyeloid prog,0.09550155190592605
113429_Aged2_113429_4,Pro-B cells,-0.17142338306110114
711733_Aged2_711733_4,Pre-B cells,0.5217439450746983
311544_Aged2_311544_4,Lymphomyeloid prog,0.2120286553912616
849521_Aged2_849521_4,Late erythroid progenitor,0.3615123647371424
406501_Aged2_406501_4,Pre-B cells,0.3631070485364036
141819_Aged2_141819_4,Conventional dendritic cell 2,-0.17923218238381822
780621_Aged2_780621_4,Conventional dendritic cell 2,-0.10417980452774828
476220_Aged2_476220_4,Conventional dendritic cell 2,0.6321771635359198
261061_Aged2_261061_4,Pre-B cells,0.48207777081017233
593669_Aged2_593669_4,Pro-B cells,-0.24569130633770667
702146_Aged2_702146_4,Lymphomyeloid prog,0.1440201680416051
50845_Aged2_50845_4,Pre-B cells,0.3334023172884774
173627_Aged2_173627_4,Pre-B cells,0.5369428415055137
783811_Aged2_783811_4,Conventional dendritic cell 2,0.6077825468488454
866797_Aged2_866797_4,Late erythroid progenitor,0.5470884335678421
339702_Aged2_339702_4,Late erythroid progenitor,0.5365219050524694
154090_Aged2_154090_4,Pre-B cells,0.38323360118032934
174817_Aged2_174817_4,Late promyelocytes,-0.07761267541607819
314796_Aged2_314796_4,Pre-B cells,0.39370615712235013
392687_Aged2_392687_4,Conventional dendritic cell 2,0.23712181947842972
252668_Aged2_252668_4,Plasmacytoid dendritic cell progenitors,0.46651568633006846
461493_Aged2_461493_4,Pre-B cells,0.5007301054827091
849048_Aged2_849048_4,Conventional dendritic cell 1,0.3359933931536023
27730_Aged2_27730_4,Pre-B cells,-0.040987444377360994
374112_Aged2_374112_4,Conventional dendritic cell 2,0.5299896026776328
511500_Aged2_511500_4,Conventional dendritic cell 1,-0.20516771944347245
657312_Aged2_657312_4,Conventional dendritic cell 1,0.39725685698665886
239803_Aged2_239803_4,Late erythroid progenitor,0.5337229036043478
853984_Aged2_853984_4,Pro-B cells,-0.21341632214704795
180373_Aged2_180373_4,Pre-B cells,0.5398975307278213
110366_Aged2_110366_4,Pre-B cells,0.5221277125211363
790508_Aged2_790508_4,Late erythroid progenitor,0.5509169980726786
536095_Aged2_536095_4,Conventional dendritic cell 2,0.46325390611113
468956_Aged2_468956_4,Pro-B cells,-0.11636297874874535
853967_Aged2_853967_4,Pre-B cells,0.43677195577354316
803439_Aged2_803439_4,Pre-B cells,0.5304001617017798
7048_Aged2_7048_4,Pro-B cells,0.11152115581553887
793612_Aged2_793612_4,Conventional dendritic cell 2,0.6157085913838679
57064_Aged2_57064_4,Early erythroid progenitor,-0.2159954816338563
184063_Aged2_184063_4,Pro-B cells,-0.30132219362630674
100758_Aged2_100758_4,Pre-B cells,0.3633261965760856
673842_Aged2_673842_4,Conventional dendritic cell 2,0.47460412888994025
865128_Aged2_865128_4,Conventional dendritic cell 2,0.039122003746194504
746882_Aged2_746882_4,Pre-B cells,-0.7778807680138405
517524_Aged2_517524_4,Pre-B cells,0.40088248537504323
305793_Aged2_305793_4,Non-classical monocytes,0.6887846375090092
50688_Aged2_50688_4,Pre-B cells,0.5340641767222358
237537_Aged2_237537_4,Pre-B cells,0.4506301049488076
326019_Aged2_326019_4,Conventional dendritic cell 2,0.5493509294555398
855261_Aged2_855261_4,Pre-B cells,0.47527637640003645
385637_Aged2_385637_4,Pro-B cells,0.18490446505919117
62407_Aged2_62407_4,Pre-B cells,0.3156932188773297
102706_Aged2_102706_4,Early erythroid progenitor,0.5593645107049481
238365_Aged2_238365_4,Classical Monocytes,0.2914958076397552
521736_Aged2_521736_4,Conventional dendritic cell 2,0.6192771741289639
653843_Aged2_653843_4,Pre-B cells,0.5205112327412585
29515_Aged2_29515_4,Early erythroid progenitor,0.2137986783271801
805577_Aged2_805577_4,Pre-B cells,-0.14364945028733794
353931_Aged2_353931_4,Early erythroid progenitor,0.39789067812819995
687948_Aged2_687948_4,Pre-B cells,0.43941243576114225
548637_Aged2_548637_4,Late erythroid progenitor,0.4855304071887223
318509_Aged2_318509_4,Pre-B cells,0.3541725481750918
594335_Aged2_594335_4,Pre-B cells,0.5179445709644719
385501_Aged2_385501_4,Conventional dendritic cell 2,0.2517111109763279
702190_Aged2_702190_4,Pre-B cells,0.3118515278347494
772676_Aged2_772676_4,Lymphomyeloid prog,-0.1244599865502977
22093_Aged2_22093_4,Pre-B cells,0.33898397732744817
373530_Aged2_373530_4,Conventional dendritic cell 1,0.14957675540898793
745914_Aged2_745914_4,Conventional dendritic cell 2,0.5408377443705595
40080_Aged2_40080_4,Pre-B cells,0.4974743028553854
776671_Aged2_776671_4,Conventional dendritic cell 1,0.3895354915537372
784913_Aged2_784913_4,Plasmacytoid dendritic cell progenitors,0.4220217552850315
483715_Aged2_483715_4,Pre-B cells,0.23287889013263707
570888_Aged2_570888_4,Early promyelocytes,0.033636269320173266
247678_Aged2_247678_4,Early erythroid progenitor,-0.07608676785994467
98871_Aged2_98871_4,CD4+ memory T cells,-0.5596868416276185
371525_Aged2_371525_4,Conventional dendritic cell 2,0.1885045150636068
95277_Aged2_95277_4,Pre-B cells,0.40005887875002055
185552_Aged2_185552_4,Pre-B cells,0.5277606098647958
425630_Aged2_425630_4,Myelocytes,0.09966634789653572
548657_Aged2_548657_4,Late promyelocytes,-0.3076905140609206
791284_Aged2_791284_4,Pre-B cells,0.3754307317338851
1745_Aged2_1745_4,Conventional dendritic cell 2,0.6148048221427341
581840_Aged2_581840_4,Pre-B cells,0.5029551395973609
543281_Aged2_543281_4,Pro-B cells,0.3590924231971722
509685_Aged2_509685_4,Pro-B cells,0.4162400003452178
413878_Aged2_413878_4,Plasmacytoid dendritic cell progenitors,0.1877189506624392
198359_Aged2_198359_4,Pre-B cells,0.3630783466707451
447624_Aged2_447624_4,Late promyelocytes,0.25157884631686017
761826_Aged2_761826_4,Pro-B cells,-0.21182704914448222
372497_Aged2_372497_4,Pre-B cells,0.52452455290935
174379_Aged2_174379_4,Pre-B cells,0.5153755660558054
419331_Aged2_419331_4,Plasma cells,0.8377318992154682
482457_Aged2_482457_4,Pre-B cells,0.5332080539781229
849260_Aged2_849260_4,Pre-B cells,0.502833014190569
434624_Aged2_434624_4,Pre-B cells,0.4005003871538912
785840_Aged2_785840_4,Conventional dendritic cell 2,0.6268532160990017
407841_Aged2_407841_4,Pre-B cells,0.5227564301481867
74810_Aged2_74810_4,Pre-B cells,0.3392285941669222
187125_Aged2_187125_4,Pre-B cells,0.40617811463460074
131529_Aged2_131529_4,Late erythroid progenitor,0.5210005453312866
622974_Aged2_622974_4,Pre-B cells,0.5263792722178023
315027_Aged2_315027_4,Pro-B cells,0.4249696016402568
293054_Aged2_293054_4,Early erythroid progenitor,0.3330740052861137
611215_Aged2_611215_4,Pro-B cells,0.3861671171668425
376915_Aged2_376915_4,Pre-B cells,-0.09318326950198448
786874_Aged2_786874_4,Pro-B cells,0.19252127212695672
526302_Aged2_526302_4,Pre-B cells,0.5245781578262995
32073_Aged2_32073_4,Early erythroid progenitor,0.20201102468738236
608282_Aged2_608282_4,Early erythroid progenitor,0.5619841041428005
825823_Aged2_825823_4,Conventional dendritic cell 2,0.4055907855550626
744230_Aged2_744230_4,Pre-B cells,-0.053155697077166206
209347_Aged2_209347_4,Conventional dendritic cell 2,0.2873027861689405
544091_Aged2_544091_4,Plasmacytoid dendritic cell progenitors,0.2794184151842499
