,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000196735,0.0,0.0,0.0,0.0,0.9500049569390037,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0
ENSG00000142541,0.02419933405789462,0.12606335228139703,0.0,0.13131230527704413,0.0757872841574929,0.028596233237873424,0.07369554584676569,0.009039748798717152,0.03863611546429721,0.015667308460582386,0.12269623171199452,0.026969633319161156
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9145943088964983,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,0.056860874999653206,0.1006013263355602,0.0,0.13631051236932928,0.02897898175499656,0.05674046277999878,0.11581812663511797,0.014109671115875244,0.02291981198570945,0.02624037049033425,0.1746657653288408,0.07541542703455145
ENSG00000169442,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.8312341299923983,0.0,0.0,0.863001519983465
ENSG00000128951,0.0,0.0,0.0,0.9108633995056152,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.0,0.8538996414704756,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.898994808847254,0.0,0.0,0.0
ENSG00000147123,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101608,0.8181818181818182,0.0,0.0,0.0,0.8361696600914001,0.0,0.0,0.0,0.0,0.0,0.0,0.8264776576649059
ENSG00000118363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000164032,0.24576044624502008,0.34372323751449585,0.0,0.2613179250196977,0.2590176192196933,0.24736220186406915,0.30446242744272406,0.18181818181818182,0.0,0.23301194472746414,0.24888009374791925,0.31707379492846405
ENSG00000173113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221983,0.04772440953688188,0.09654237465424971,0.0,0.013967476107857445,0.08596880327571522,0.029985427856445312,0.05241656303405762,0.06184946406971325,0.08016354929317128,0.03297668695449829,0.06058335846120661,0.07437759095972235
ENSG00000206172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
