cluster,n_cells,percentage
Antigen presenting cell (RPS high),821,9.44
B cell,76,0.87
B cell (Plasmocyte),210,2.41
CB CD34+,23,0.26
Dendritic cell,67,0.77
Erythroid cell,1580,18.16
Erythroid progenitor cell (RP high),1437,16.52
Macrophage,8,0.09
Monocyte,29,0.33
Neutrophil,3975,45.68
Neutrophil (RPS high),406,4.67
T cell,69,0.79
