author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
VCAM1_PT,0.292661726705401,0.2811205171600816,0.3805474440298644,214
unknown,0.4122989920074957,0.30885578953833914,0.536956272859214,107
CNT,0.668477151675914,0.12095547049477626,0.6928839392648337,122
PT,0.23231630031134792,0.36399159431773337,0.4029150791579289,20769
PC,0.4599905755667651,0.2568470479095621,0.5875709532070936,455
Endothelial,0.56387322645258,0.30869945801305704,0.7188321832724169,572
ICA,0.684635256364786,0.22644976978587725,0.7521691596659532,304
CTAL,0.6336066785032525,0.14112134427881876,0.6616521842450855,1156
ICB,0.7391013887268548,0.2108750697077885,0.8229376510300432,130
PEC,0.7995769942644302,0.159823201624914,0.8435986114356804,64
DCT,0.356637338282896,0.4343400433585732,0.5575419605556995,109
CCDlike,0.16917864142102373,0.5344013306170814,0.4608990072866773,45
LOHlike,0.614515270877777,0.32610512022481075,0.7229731193615647,1011
NK,0.837868530615956,0.09246062637607697,0.8573369882947142,466
MNP,0.7378682632395683,0.05968228882975037,0.7635630679494102,999
T cell,0.10208481545264438,0.3294695053426318,0.21091788076735557,938
B,0.6612862753347484,0.33191463003140936,0.7679527829009543,68
Mesangial,0.8552573883753829,0.22441229467260915,0.9004026300463142,130
Podocytes,-0.6528662969848538,0.2929752173481386,-0.6236615761960906,16
