,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000197312,0.0,0.0,0.86966753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065526,0.0,0.0,1.8692137,0.9768796,0.96286166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701885,0.98999393,0.0,0.0,0.0,0.9822864,0.96413946
ENSG00000183888,0.0,0.0,1.9907691,0.0,0.0,0.0,0.9969063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186510,0.0,0.0,5.947071,2.98748,2.9884892,0.0,2.9812038,0.99874204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184908,0.0,0.0,9.983068,2.9809394,3.9897707,0.0,4.990322,2.989977,0.0,0.0,0.0,0.0,0.82638174,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055070,0.0,0.0,0.9923392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107436,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157191,0.0,0.0,0.89840126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117118,0.0,0.968767,3.5884116,1.7703383,0.9949887,0.0,1.8274964,0.98083854,0.0,0.0,0.0,0.0,0.983144,0.0,0.98404074,0.0,0.0,0.9340112,0.0
ENSG00000074964,0.0,0.0,0.96561164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9150972,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159423,0.0,0.0,0.8310475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93887484,0.0,0.9661509,0.0,0.0,0.0,0.0
ENSG00000127481,0.0,0.0,1.895014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94624,0.0
