cluster,n_cells,percentage
VCAM1_PT,214,0.77
unknown,107,0.39
CNT,122,0.44
PT,20769,75.05
PC,455,1.64
Endothelial,572,2.07
ICA,304,1.1
CTAL,1156,4.18
ICB,130,0.47
PEC,64,0.23
DCT,109,0.39
CCDlike,45,0.16
LOHlike,1011,3.65
NK,466,1.68
MNP,999,3.61
T cell,938,3.39
B,68,0.25
Mesangial,130,0.47
Podocytes,16,0.06
